niche,platform,content,source_alpha,category,status,generated_at
tech,twitter,"built this. i built 31 n8n workflows this month that replace
the most overpriced saas tools businesses pay for",ALPHA17740,TOOL_ALPHA,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951736
finance,twitter,"alpha: i built 31 n8n workflows this month that replace
the most overpriced saas tools businesses pay for",ALPHA17740,TOOL_ALPHA,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951742
faith,twitter,"every hustle needs purpose. i was getting 4,000 visitors a month and making $0",ALPHA17997,MONETIZATION,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951751
tech,twitter,"built this. i was getting 4,000 visitors a month and making $0",ALPHA17997,MONETIZATION,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951758
finance,twitter,"alpha: i was getting 4,000 visitors a month and making $0",ALPHA17997,MONETIZATION,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951765
tech,twitter,built this. i spent 4 months building a micro saas nobody used,ALPHA18001,TOOL_ALPHA,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951773
finance,twitter,alpha: i spent 4 months building a micro saas nobody used,ALPHA18001,TOOL_ALPHA,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951780
faith,twitter,every hustle needs purpose. i spent > $60k/month on pr agencies at a startup that raised $680m,ALPHA18002,GENERAL,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951787
fitness,twitter,discipline compounds. i spent > $60k/month on pr agencies at a startup that raised $680m,ALPHA18002,GENERAL,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951795
tech,twitter,built this. i spent > $60k/month on pr agencies at a startup that raised $680m,ALPHA18002,GENERAL,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951802
finance,twitter,alpha: i spent > $60k/month on pr agencies at a startup that raised $680m,ALPHA18002,GENERAL,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951809
faith,twitter,"every hustle needs purpose. it's so fking hard to juggle a 9-5, family, and build a saas i'm eusebiu, dev for 8+ years, a dad, a normal wfh job",ALPHA18014,APP_FACTORY,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951816
fitness,twitter,"discipline compounds. it's so fking hard to juggle a 9-5, family, and build a saas i'm eusebiu, dev for 8+ years, a dad, a normal wfh job",ALPHA18014,APP_FACTORY,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951823
tech,twitter,"built this. it's so fking hard to juggle a 9-5, family, and build a saas i'm eusebiu, dev for 8+ years, a dad, a normal wfh job",ALPHA18014,APP_FACTORY,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951830
finance,twitter,"alpha: it's so fking hard to juggle a 9-5, family, and build a saas i'm eusebiu, dev for 8+ years, a dad, a normal wfh job",ALPHA18014,APP_FACTORY,BLOCKED_QUALITY_GATE_C17,2026-03-07T21:29:10.951904
