method_id,method_name,category,sub_category,status,priority,revenue_model,automation_level,monthly_potential,notes,created_date,source_file,monthly_potential_low,monthly_potential_high,stacks_with,synergy_score,synergy_type,cross_sell_products,shared_audience,automation_combo,revenue_multiplier,synergy_notes
MM011,ROBLOX_GAMES,CORE,N/A,New,Phase4,Robux + Premium,Medium,$100-10k,Roblox experiences,2026-01-22,MONEY_METHODS_TRACKER.csv,$100,10k,"CF004,AI007,MM002,SWARM001",70,Meme content + gaming personas + courses + swarm promo,"Games -> Robux, dev courses, coordinated launch","Kids/teens 8-16, dev parents 25-45",FALSE,1.5,"Stack: Gaming content promotes games, courses teach dev"
CF001,RELAX_CHANNELS,CONTENT_FARM,Sub,New,Phase1,Ads + Affiliate,High,$200-2k,Sleep ambient content,2026-01-22,MONEY_METHODS_TRACKER.csv,$200,2k,"CF002,AI004,MM001,CF013",95,Sleep content + ASMR + sleep apps + YouTube Shorts,"Ambient -> sleep app affiliate, meditation products",Sleep-deprived 25-55,TRUE,2.2,Stack: Relax content -> ASMR crossover -> app affiliate
CF002,SLEEP_TIMER_ALARM,CONTENT_FARM,Sub,New,Phase1,Ads + App Affiliate,High,$200-1k,Sleep productivity,2026-01-22,MONEY_METHODS_TRACKER.csv,$200,1k,"CF001,AI004,MM001,CF013",95,Relax content + ASMR + productivity apps + Shorts,"Sleep tips -> alarm app affiliate, supplements",Sleep optimizers 25-50,TRUE,2.2,Stack: Sleep content -> app affiliate -> supplement affiliate
CF003,NEWS_SOCIALS,CONTENT_FARM,Sub,New,Phase2,Ads + Traffic Arbitrage,High,$500-5k,Breaking news viral formats,2026-01-22,MONEY_METHODS_TRACKER.csv,$500,5k,"CF008,CF009,MM003,MM015,CF011",85,Finance/tech news + affiliate sites + newsletter + crypto,"News -> newsletter, affiliate products, breaking news premium",News junkies 25-55,TRUE,2.0,"Stack: Breaking news builds following, newsletter monetizes"
CF004,MEME_CHANNELS,CONTENT_FARM,Sub,New,Phase2,Ads + Creator Fund,Medium,$200-2k,Entertainment memes,2026-01-22,MONEY_METHODS_TRACKER.csv,$200,2k,"CF006,CF010,MM010,SWARM001,CF013",80,Clips + sports + streamer content + swarm + Shorts,"Memes -> merch, creator fund, coordinated virality",Gen Z 16-30,TRUE,1.8,"Stack: Memes drive engagement, cross-promote other content"
CF005,WOMEN_APPRECIATION,CONTENT_FARM,Sub,New,Phase2,Ads + Sell Ads,Medium,$200-3k,Lifestyle fan pages,2026-01-22,MONEY_METHODS_TRACKER.csv,$200,3k,"AI006,MM008,CF007,MM016",75,Lifestyle personas + UGC + motivation + TikTok Shop,"Fan page -> affiliate, sell ad space, TikTok Shop products",Men 18-45,TRUE,1.6,Stack: Fan page audience sells to other accounts
CF006,CLIP_CHANNELS,CONTENT_FARM,Sub,New,Phase2,Creator Fund + Payments,High,$500-5k,Streamer clips,2026-01-22,MONEY_METHODS_TRACKER.csv,$500,5k,"MM010,CF004,AI007,CF013,MM037",90,Streamer clips + memes + gaming personas + Shorts + TikTok creativity,"Clips -> streamer deals, creator fund, cross-platform revenue",Gamers 16-30,TRUE,2.3,"Stack: Clips feed meme accounts, gaming personas"
CF007,MOTIVATION_QUOTES,CONTENT_FARM,Sub,New,Phase2,Affiliate + Funnel,High,$200-2k,Self-improvement,2026-01-22,MONEY_METHODS_TRACKER.csv,$200,2k,"AI001,MM002,CF008,MM015",90,Niche experts + courses + finance content + newsletter,"Quotes -> course funnel, coaching, newsletter signup",Self-improvers 20-40,TRUE,2.1,Stack: Motivation content -> expert account -> course sale
CF008,FINANCE_NEWS,CONTENT_FARM,Sub,New,Phase3,Affiliate + Course,Medium,$500-5k,Money crypto news,2026-01-22,MONEY_METHODS_TRACKER.csv,$500,5k,"MM003,CF003,AI001,MM012,CF011,CF012,MM015",85,Affiliate sites + news + finance expert + algo trading + crypto + stocks + newsletter,"Finance news -> course, affiliate products, trading signals",Finance bros 25-45,TRUE,2.2,Stack: Finance content -> newsletter -> course/affiliate
CF009,TECH_EXPLAINERS,CONTENT_FARM,Sub,New,Phase3,Affiliate + SaaS,Medium,$300-3k,Tech AI content,2026-01-22,MONEY_METHODS_TRACKER.csv,$300,3k,"MM003,MM004,AI001,MM027,MM028",85,Affiliate + SaaS promo + tech expert + AI wrappers + micro-SaaS,"Tech content -> SaaS affiliate, courses, tool launches",Tech enthusiasts 25-45,TRUE,2.0,"Stack: Tech content drives SaaS trials, course sales"
CF010,SPORTS_HIGHLIGHTS,CONTENT_FARM,Sub,New,Phase3,Ads + Betting Affiliate,High,$500-5k,Sports clips,2026-01-22,MONEY_METHODS_TRACKER.csv,$500,5k,"CF004,MM003,AI007,CF013",80,Memes + betting affiliate + sports personas + Shorts,"Sports -> betting affiliate, merch, creator fund",Sports fans 18-45,TRUE,1.9,Stack: Sports clips -> betting affiliate -> merch
AI001,NICHE_EXPERTS,AI_INFLUENCER,Sub,New,Phase1,Sponsorships + Courses,Medium,$500-10k,Thought leader personas,2026-01-22,MONEY_METHODS_TRACKER.csv,$500,10k,"MM002,MM005,MM007,MM015,MM020",95,Courses + agency + outbound + newsletter + X launch,"Expert -> course, consulting, coaching, newsletter, product launches",B2B/B2C 25-55,TRUE,2.6,Stack: Expert persona sells everything else
AI002,FINDOM,AI_INFLUENCER,Sub,New,Phase4,Tributes + Custom,Medium,$500-20k,Financial domination,2026-01-22,MONEY_METHODS_TRACKER.csv,$500,20k,"AI003,MM002,AI006,MM031",60,Adult + courses + lifestyle + paid community,"Findom -> custom content, coaching, premium community",Niche fetish 25-55,FALSE,1.4,"Stack: Specialized audience, high-ticket"
AI003,ONLYFANS_FANSLY,AI_INFLUENCER,Sub,New,Phase4,Subs + PPV,Medium,$1k-50k,Adult content,2026-01-22,MONEY_METHODS_TRACKER.csv,$1k,50k,"AI002,AI004,AI006,MM031",70,Findom + ASMR + lifestyle + paid community,"Adult -> PPV, custom, girlfriend experience, community",Adult consumers 18-45,FALSE,1.5,Stack: Multiple revenue per subscriber
AI004,ASMR,AI_INFLUENCER,Sub,New,Phase3,Ads + Patreon,High,$500-5k,Relaxation sensory,2026-01-22,MONEY_METHODS_TRACKER.csv,$500,5k,"CF001,CF002,AI006,CF013,MM031",90,Relax channels + sleep + lifestyle + Shorts + paid community,"ASMR -> Patreon, affiliate, app promo, community",Relaxation seekers 18-45,TRUE,2.2,"Stack: ASMR feeds relax channels, Patreon monetizes"
AI005,FITNESS_COACHES,AI_INFLUENCER,Sub,New,Phase3,Programs + Affiliate,Medium,$500-10k,Health fitness,2026-01-22,MONEY_METHODS_TRACKER.csv,$500,10k,"MM001,MM002,CF007,MM016,MM030",95,Fitness apps + courses + motivation + TikTok Shop + course platform,"Fitness persona -> app affiliate, program sales, TikTok Shop products",Fitness 20-45,TRUE,2.6,Stack: Fitness persona -> app promo -> program sale -> TikTok supplements
AI006,LIFESTYLE_CURATORS,AI_INFLUENCER,Sub,New,Phase3,Sponsorships + Affiliate,Medium,$300-5k,Aesthetic travel,2026-01-22,MONEY_METHODS_TRACKER.csv,$300,5k,"MM008,CF005,AI004,MM016,MM024",80,UGC + women accounts + ASMR + TikTok Shop + POD,"Lifestyle -> brand deals, affiliate, TikTok Shop, custom merch",Aspirational 20-40,TRUE,1.9,Stack: Lifestyle content -> brand partnerships -> TikTok Shop
AI007,GAMING_PERSONAS,AI_INFLUENCER,Sub,New,Phase3,Sponsorships + Merch,Medium,$300-5k,Gaming esports,2026-01-22,MONEY_METHODS_TRACKER.csv,$300,5k,"MM010,CF006,CF004,MM011,SWARM001",85,Clips + gaming clips + memes + Roblox + swarm,"Gaming -> sponsorships, merch, affiliate, Roblox promotion",Gamers 16-30,TRUE,2.1,"Stack: Gaming persona promotes clips, earns sponsorships"
AI008,RELATIONSHIP_ADVICE,AI_INFLUENCER,Sub,New,Phase3,Courses + Coaching,Medium,$500-10k,Dating self-help,2026-01-22,MONEY_METHODS_TRACKER.csv,$500,10k,"MM002,CF007,AI001,MM030,MM031",90,Courses + motivation + expert + course platform + community,"Dating persona -> course, coaching, paid community",Singles 18-45,TRUE,2.3,Stack: Dating content -> course -> coaching -> community upsell
MM012,ALGO_TRADING,CORE,N/A,Planning,Phase3,Signals + Courses,Medium,$1k-50k,Automated trading strategies + education,2026-01-24,MONEY_METHODS_TRACKER.csv,$1k,50k,"MM002,AI001,CF008,CF011,CF012,MM015",85,Trading + info products + finance expert + crypto + stocks + newsletter,"Trading signals -> courses, signal subscriptions, newsletter monetization",Traders investors 25-55,TRUE,2.3,Stack: Trade profitably + sell education + finance content builds authority
MM013,PAID_ADS,CORE,N/A,Planning,Phase2,Traffic Arbitrage,Medium,$500-20k,Facebook TikTok Google ads,2026-01-24,MONEY_METHODS_TRACKER.csv,$500,20k,"MM001,MM002,MM003,MM016,MM022",80,Traffic to apps + courses + affiliate + TikTok Shop + dropship,"Paid traffic -> product sales, affiliate conversions, app installs",Buyers all demos,TRUE,2.0,Stack: Paid ads drive traffic to all monetization channels
MM014,YOUTUBE_LONGFORM,CORE,N/A,Planning,Phase3,Ads + Sponsorships,Low,$1k-20k,Long-form YouTube content,2026-01-24,MONEY_METHODS_TRACKER.csv,$1k,20k,"MM002,MM003,AI001,MM035,MM039",85,Courses + affiliate + expert + automation + faceless,"YouTube -> course sales, affiliate revenue, sponsorships",Content consumers 25-45,TRUE,2.2,"Stack: YouTube builds trust, course/affiliate monetizes"
MM015,NEWSLETTER,CORE,N/A,Planning,Phase2,Subs + Sponsors + Affiliate,Medium,$500-68k,Substack Beehiiv ConvertKit Ghost - $20-200 CPM sponsors 5-10% paid conversion $5-50/mo - Faith Fitness AI niches - NEWSLETTER_DEEP_DIVE.md,2026-01-25,MONEY_METHODS_TRACKER.csv,$500,68k,"MM002,MM003,MM007,CF008,MM032",90,Info products + affiliate + outbound + finance content + premium,"Newsletter -> course sales, affiliate, premium tier, sponsorships",Info seekers 25-55,TRUE,2.4,"Stack: Newsletter nurtures, products monetize"
MM016,TIKTOK_SHOP,CORE,N/A,Planning,Phase2,Product Sales,High,$500-20k,TikTok Shop affiliate and products,2026-01-24,MONEY_METHODS_TRACKER.csv,$500,20k,"MM006,MM009,MM013,MM022,MM024",90,Content farm + AI influencer + paid ads + dropship + POD,"TikTok Shop -> product sales, affiliate commissions, brand deals",Gen Z millennials 18-35,TRUE,2.5,Stack: Content drives TikTok Shop sales at scale
SWARM001,SWARM_PROMOTION,STRATEGY,N/A,New,Phase2,Coordinated Traffic,High,$500-10k,Multi-account coordinated virality,2026-01-24,MONEY_METHODS_TRACKER.csv,$500,10k,"CF004,CF006,AI007,MM011,MM001,MM017",95,Meme + clips + gaming persona + Roblox + apps + clipper network,All accounts funnel to single monetization point,Gen Z 13-25,TRUE,2.8,Stack: 10-20 coordinated accounts across platforms all funneling to Roblox game or app
CF011,CRYPTO_NEWS,CONTENT_FARM,Sub,New,Phase2,Affiliate + Signals,High,$500-10k,Crypto trading content,2026-01-24,MONEY_METHODS_TRACKER.csv,$500,10k,"CF008,MM012,MM015,AI001,MM034",85,Finance news + algo trading + newsletter + expert + memecoin,"Crypto content -> signals, newsletter, trading course, memecoin alpha",Crypto traders 20-45,TRUE,2.4,Stack: Crypto news -> trading signals -> premium newsletter
CF012,STOCK_RESEARCH,CONTENT_FARM,Sub,New,Phase3,Affiliate + Course,Medium,$500-5k,Stock analysis content,2026-01-24,MONEY_METHODS_TRACKER.csv,$500,5k,"CF008,MM012,MM015,AI001",80,Finance news + algo trading + newsletter + expert,"Stock research -> premium analysis, trading course, newsletter",Stock traders 25-55,TRUE,2.0,Stack: Stock content -> premium research -> course upsell
CF013,YOUTUBE_SHORTS,CONTENT_FARM,Sub,New,Phase1,Ads + Creator Fund,High,$200-5k,YouTube Shorts automation,2026-01-24,MONEY_METHODS_TRACKER.csv,$200,5k,"CF001-CF012,MM006,MM035,MM037,MM039",90,All content farm + content farm core + YouTube automation + TikTok creativity + faceless,"Shorts -> long-form funnel, ad revenue, creator fund",All audiences 16-45,TRUE,2.3,"Stack: Shorts drive subs, long-form monetizes"
MM017,MICRO_INFLUENCER_NETWORK,CORE,N/A,New,Phase1,Performance + Retainer,Medium,$2k-20k,500 clipper model - $1/1k views network,2026-01-24,MONEY_METHODS_TRACKER.csv,$2k,20k,"MM001,MM006,MM008,MM009,MM019,SWARM001",95,Apps + content + UGC + AI personas + portfolio + swarm,"Clipper network launches all products at scale, coordinates swarm",All niches 16-45,TRUE,2.8,Stack: 500 clipper network tests hooks simultaneously. Launch apps via network.
MM018,PAYWALL_OPTIMIZATION_SERVICE,CORE,N/A,New,Phase2,Retainer + Revenue Share,Low,$3k-15k,A/B testing service for apps - 2.9x conversion proven,2026-01-24,MONEY_METHODS_TRACKER.csv,$3k,15k,"MM001,MM005,AI001,MM019,MM004",85,App factory + agency + expert + portfolio + SaaS,"Optimize paywalls for own apps then sell service, SaaS tool potential",App developers B2B 25-45,FALSE,2.0,Stack: Optimize own apps first (case study). Sell as retainer + revenue share.
MM019,PORTFOLIO_APP_BUILDER,CORE,N/A,Active,Phase1,IAP + Subs Multi-App,Medium,$5k-50k,30-app portfolio strategy - 2-3 apps/month,2026-01-24,MONEY_METHODS_TRACKER.csv,$5k,50k,"MM017,MM018,MM006,MM009,MM020,MM001",95,Clipper network + paywall service + content + AI + X launch + apps,30-app portfolio - launch scale optimize repeat at volume,All app niches 18-55,TRUE,2.7,Stack: Build 2-3 apps/mo. Launch via MM017. Optimize via MM018.
MM020,X_LAUNCH_VIRAL,CORE,N/A,New,Phase1,Product MRR,Low,$3k-30k,Comment-driven X launches - $10k MRR no ads proven,2026-01-24,MONEY_METHODS_TRACKER.csv,$3k,30k,"MM001,MM002,MM004,AI001,MM019,MM015",90,Apps + info products + SaaS + expert + portfolio + newsletter,"Viral X launches convert to MRR without ads, newsletter captures leads",Tech enthusiasts creators 25-45,FALSE,2.4,Stack: Build 5-8k followers. Launch product via comment hook.
MM021,PERSONAL_BRAND_SEO,CORE,N/A,Active,Phase1,Consulting + Courses + Sponsorships,Low,$2k-20k,Build-in-public journey - Google Jan 2026 favors authentic,2026-01-24,MONEY_METHODS_TRACKER.csv,$2k,20k,ALL_METHODS,100,Amplifies every other method - authority layer,Journey content builds authority and SEO asset across all methods,All audiences,FALSE,2.5,Stack: Build in public via @PRINTMAXXER. Google Jan 2026 favors authentic.
MM022,ECOM_DROPSHIP,Temu/AliExpress to Etsy/eBay/Amazon arbitrage,Product markup 2-5x,$100-500,ACTIVE,dropship_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM016,MM013,MM024,MM023",75,TikTok Shop + paid ads + POD + arbitrage,"Dropship -> TikTok Shop scaling, POD bundle, paid ads traffic",Ecom buyers 18-55,TRUE,1.8,"Stack: Find winners via arbitrage, scale via TikTok Shop + ads"
MM023,ECOM_ARB,Trending product arbitrage - find demand then source,30-50% margins,$50-200,ACTIVE,ecom_arb_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM022,MM016,MM024,MM036",80,Dropship + TikTok Shop + POD + Etsy digital,Trending product arbitrage -> multiple platform listing,Bargain hunters 18-45,TRUE,1.9,"Stack: Find demand then source, list on multiple platforms"
MM024,PRINT_ON_DEMAND,Printful/Printify custom merch,20-40% margins,$0-100,ACTIVE,pod_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM016,MM006,AI006,MM036",70,TikTok Shop + content farm + lifestyle + Etsy digital,"Custom merch -> TikTok Shop sales, content promotion, Etsy listings",Merch buyers 18-45,TRUE,1.6,"Stack: POD designs promoted via content, sold on multiple platforms"
MM025,DIGITAL_PRODUCTS,Notion templates Gumroad Lemon Squeezy,$5-97 products,$0-50,ACTIVE,digital_products_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM002,MM015,MM036,MM026",80,Info products + newsletter + Etsy digital + KDP,"Notion templates -> email list -> course upsell, Etsy sales",Digital buyers 25-45,TRUE,2.0,Stack: Templates -> email capture -> course funnel
MM026,AMAZON_KDP,Low content books journals planners,Royalties,$0-100,ACTIVE,kdp_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM025,MM002,MM036",65,Digital products + info products + Etsy digital,"Low content books -> template upsell, course upsell",Book buyers 30-55,TRUE,1.5,"Stack: KDP builds catalog, templates capture emails"
MM027,AI_WRAPPER,Quick wrappers around OpenAI/Claude APIs,SaaS $10-50/mo,$50-200,ACTIVE,ai_wrapper_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM004,CF009,MM028,AI001",75,SaaS + tech explainers + micro-SaaS + tech expert,"Quick wrappers -> SaaS bundle, expert content promotion",Tech users 25-45,FALSE,1.7,Stack: AI wrappers -> tech content promotes -> expert credibility
MM028,MICRO_SAAS,Single-feature SaaS tools,MRR,$100-500,ACTIVE,micro_saas_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM004,MM027,CF009,AI001",75,SaaS + AI wrapper + tech explainers + expert,"Single-feature tools -> bundle upsell, enterprise version",B2B SaaS buyers 25-50,FALSE,1.8,Stack: Micro-SaaS -> content promotes -> enterprise upsell
MM029,LOCAL_LEAD_GEN,GMB optimization rank and rent,Per lead $20-100,$100-300,ACTIVE,local_lead_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM005,MM007,MM033",80,Agency services + cold outbound + white label,"GMB optimization -> agency client acquisition, white label fulfillment",Local business owners 30-55,FALSE,1.9,Stack: Rank and rent -> agency services upsell
MM030,COURSE_CREATOR,Skool/Teachable/Kajabi courses,$47-997,$50-200,ACTIVE,course_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM002,AI001,MM031,MM015",90,Info products + niche experts + paid community + newsletter,"Courses -> community upsell, coaching, newsletter nurture",Course buyers 25-55,TRUE,2.3,Stack: Course -> community -> coaching ladder
MM031,COMMUNITY_PAID,Discord/Skool paid communities,$9-97/mo,$0-100,ACTIVE,community_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM030,AI001,MM002,MM015",85,Course creator + niche experts + info products + newsletter,"Paid community -> course bundle, coaching, newsletter referrals",Community members 25-55,FALSE,2.1,Stack: Community -> course -> coaching ecosystem
MM032,NEWSLETTER_PREMIUM,Substack/Ghost/Beehiiv paid,Subscriptions,$0-50,ACTIVE,newsletter_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM015,MM002,MM003,AI001",85,Newsletter + info products + affiliate + expert,"Premium newsletter -> course upsell, affiliate revenue",Newsletter subscribers 25-55,TRUE,2.2,Stack: Free newsletter -> premium tier -> course upsell
MM033,WHITE_LABEL,Resell software/services as own,Markup 2-3x,$100-500,ACTIVE,whitelabel_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM005,MM004,MM029",70,Agency services + SaaS + local lead gen,"Resell software -> agency fulfillment, local business clients",B2B service buyers 30-50,FALSE,1.6,Stack: White label tools for agency delivery
MM034,MEMECOIN_TRADING,Early memecoin identification and trading,10-100x potential,$100-1000,HIGH_RISK,memecoin_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"CF011,MM012,MM015",60,Crypto news + algo trading + newsletter,"Memecoin alpha -> premium signals, trading group",Crypto degens 20-40,FALSE,1.4,Stack: Memecoin research -> premium alpha signals (HIGH RISK)
MM035,YOUTUBE_AUTOMATION,Full channel management cash cow,Ad revenue,$200-500,ACTIVE,yt_automation_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM014,MM006,CF013,MM039",85,YouTube longform + content farm + Shorts + faceless,"Full channel management -> ad revenue, sponsorships, affiliate",Content consumers 25-45,TRUE,2.3,Stack: Automated YouTube -> ad revenue -> affiliate monetization
MM036,ETSY_DIGITAL,Etsy digital downloads SVGs templates,Per sale,$0-50,ACTIVE,etsy_digital_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM025,MM024,MM026",75,Digital products + POD + KDP,"Etsy digital downloads -> multiple platform listing, email capture",Etsy buyers 25-45,TRUE,1.7,Stack: Etsy digital -> templates -> email funnel
MM037,TIKTOK_CREATIVITY,TikTok creativity program (1M+ views),RPM $0.50-1,$0,ACTIVE,tiktok_creativity_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"CF006,MM010,CF013,MM016",80,Clip channels + streamer clips + Shorts + TikTok Shop,TikTok creativity program -> creator fund + TikTok Shop integration,Gen Z creators 18-30,TRUE,1.9,Stack: Creativity program revenue + TikTok Shop sales
MM038,PINTEREST_AFFILIATE,Pinterest to affiliate offers,Commissions,$0-50,ACTIVE,pinterest_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM003,MM025,MM036",70,Affiliate sites + digital products + Etsy digital,"Pinterest -> affiliate offers, digital product sales, Etsy traffic",Pinterest users 25-55,TRUE,1.6,Stack: Pinterest drives affiliate + digital product traffic
MM039,FACELESS_YOUTUBE,AI narration + stock footage channels,Ad revenue,$100-300,ACTIVE,faceless_yt_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"MM035,MM014,CF013,MM006",80,YouTube automation + longform + Shorts + content farm,"AI narration channels -> ad revenue, affiliate, course promo",Content consumers 25-55,TRUE,2.0,Stack: Faceless YouTube -> ad revenue -> affiliate monetization
MM040,TWITTER_MONETIZATION,Twitter/X subscriptions + tips,Direct monetization,$0,ACTIVE,twitter_monetization_ops,,,,,MONEY_METHODS_TRACKER.csv,,,"AI001,MM020,MM015,MM002",75,Niche experts + X launch + newsletter + info products,X subscriptions + tips + newsletter funnel + product launches,X users 25-45,FALSE,1.7,Stack: Expert content -> X monetization -> newsletter -> products
MM041,DIRECTORY_LISTING_SITES,CORE,N/A,New,Phase2,Featured Listings + Subs,High,$5k-50k,Niche directories with premium placements - $100-500/mo small to $5k-50k/mo established,2026-01-24,MONEY_METHODS_TRACKER.csv,$5k,50k,"MM003,MM004,AI001,MM044",85,Affiliate sites + SaaS + expert + rapid build,"Niche directories -> featured listings, premium placement, affiliate",B2B directory users 25-55,TRUE,2.2,Stack: Directory builds -> premium listings -> SEO authority
MM042,WAITLIST_PRESALE_SERVICE,CORE,N/A,New,Phase1,Presale + Conversion,Medium,$3k-30k,25-85% conversion vs 2-4% traditional - £144k in 2 weeks proven (Jammy Digital),2026-01-24,MONEY_METHODS_TRACKER.csv,$3k,30k,"MM001,MM004,MM020,MM044",80,App factory + SaaS + X launch + rapid build,"Waitlist presales -> 25-85% conversion, validate before building",Founders B2B 25-45,FALSE,2.0,Stack: Presale validates -> only build winners -> rapid monetization
MM043,INFLUENCER_REVENUE_SHARE,CORE,N/A,New,Phase2,Hybrid Base + Performance,Medium,$2k-20k,Equity + revenue share partnerships emerging 2026 - align interests long-term,2026-01-24,MONEY_METHODS_TRACKER.csv,$2k,20k,"MM009,MM017,AI005,AI001",75,AI influencer + clipper network + fitness + expert,"Revenue share partnerships -> aligned incentives, long-term value",Creators brands 25-45,FALSE,1.8,Stack: Revenue share aligns creator incentives long-term
MM044,RAPID_BUILD_MONETIZATION,CORE,N/A,New,Phase1,Featured + Sponsorships,High,$6k-60k,48-hour builds to $6k MRR - OpenAlternative $57k revenue 516% growth proof,2026-01-24,MONEY_METHODS_TRACKER.csv,$6k,60k,"MM041,MM042,MM001,MM028",90,Directory + waitlist + apps + micro-SaaS,48-hour builds -> rapid monetization -> scale winners,Indie hackers 25-45,TRUE,2.5,Stack: Build fast -> monetize fast -> iterate winners
