opportunity_id,category,product_name,source_platform,source_price,sell_platform,sell_price,margin_estimate,demand_proof,source_url,notes,date_found,status
ECOM032,TIKTOK_MADE_ME_BUY,Cloud Slides Slippers,Temu,$6,Amazon,$24.99,76%,TikTok viral comfort footwear - Gen Z staple,temu.com/cloud-slides,Multiple colors drive repeat purchases,2026-01-25,NEW
ECOM033,TIKTOK_MADE_ME_BUY,Sunset Lamp Projector,AliExpress,$8,Amazon,$29.99,73%,#SunsetLamp 500M+ views - room aesthetic,aliexpress.com/sunset-lamp,Instagram-worthy content driver,2026-01-25,NEW
ECOM034,TIKTOK_MADE_ME_BUY,Scalp Massager Shampoo Brush,Temu,$2,Amazon,$11.99,83%,Hair growth trend viral on TikTok,temu.com/scalp-massager,Low weight = cheap shipping,2026-01-25,NEW
ECOM035,TIKTOK_MADE_ME_BUY,Mini Waffle Maker,Temu,$12,Amazon,$34.99,66%,#WaffleTok trending - breakfast content,temu.com/waffle-maker,Compact kitchen gadgets dominating,2026-01-25,NEW
ECOM036,ETSY_TRENDING,Birth Flower Jewelry,AliExpress,$3,Etsy,$24.99,88%,Personalization mega-trend 2026,aliexpress.com/birth-flower,12 months = 12 SKUs per design,2026-01-25,NEW
ECOM037,ETSY_TRENDING,Zodiac Necklace Custom,AliExpress,$2.50,Etsy,$19.99,87%,Astrology content drives conversions,aliexpress.com/zodiac-jewelry,Constellation + birthstone combos,2026-01-25,NEW
ECOM038,ETSY_TRENDING,Custom Pet Socks,Printful,$8,Etsy,$24.99,68%,Pet parent market $136B by 2027,printful.com/pet-socks,Photo upload = viral user content,2026-01-25,NEW
ECOM039,ETSY_TRENDING,Dried Flower Bouquet,AliExpress,$5,Etsy,$29.99,83%,Sustainable decor trend - lasts years,aliexpress.com/dried-flowers,Wedding + home decor crossover,2026-01-25,NEW
ECOM040,SEASONAL_UPCOMING,Heart-Shaped Jewelry Box,AliExpress,$4,Etsy,$22.99,83%,Valentine's gifting - reusable item,aliexpress.com/jewelry-box,Order NOW for Feb 14 delivery,2026-01-25,NEW
ECOM041,SEASONAL_UPCOMING,Love Letter Writing Set,AliExpress,$3,Etsy,$18.99,84%,Romantic stationery trending 2026,aliexpress.com/writing-set,Vintage aesthetic sells,2026-01-25,NEW
ECOM042,SEASONAL_UPCOMING,Galentine's Matching Pajamas,Temu,$15,Amazon,$44.99,67%,Feb 13 Galentine's Day growing market,temu.com/matching-pjs,Friend group sets = higher AOV,2026-01-25,NEW
ECOM043,SEASONAL_UPCOMING,Spring Garden Planters,AliExpress,$4,Amazon,$18.99,79%,Spring season prep starts February,aliexpress.com/planters,Ceramic + terracotta best sellers,2026-01-25,NEW
ECOM044,AMAZON_BSR_GAPS,Posture Corrector Brace,AliExpress,$5,Amazon,$22.99,78%,WFH posture issues driving demand,aliexpress.com/posture,Office worker niche - recurring,2026-01-25,NEW
ECOM045,AMAZON_BSR_GAPS,Blue Light Blocking Glasses,Temu,$3,Amazon,$14.99,80%,Screen time awareness growing,temu.com/blue-light,Style variety drives multi-purchase,2026-01-25,NEW
ECOM046,AMAZON_BSR_GAPS,Cable Management Kit,AliExpress,$4,Amazon,$16.99,76%,Home office organization trend,aliexpress.com/cable-kit,Desk setup content fuels demand,2026-01-25,NEW
ECOM047,PRINT_ON_DEMAND_DESIGNS,Faith-Based Mugs,Printify,$6,Etsy,$22.99,74%,Christian market $5.4B - underserved,printify.com/mugs,Bible verse designs high demand,2026-01-25,NEW
ECOM048,PRINT_ON_DEMAND_DESIGNS,Dog Mom/Dad Sweatshirts,Printful,$18,Etsy,$49.99,64%,Pet parent identity merchandise,printful.com/sweatshirts,Breed-specific variants multiply SKUs,2026-01-25,NEW
ECOM049,PRINT_ON_DEMAND_DESIGNS,Motivational Poster Set,Printify,$8,Etsy,$34.99,77%,Home gym + office decor trend,printify.com/posters,Sets of 3-4 increase AOV,2026-01-25,NEW
ECOM050,TEMU_GOLDMINES,Electric Milk Frother,Temu,$5,Amazon,$19.99,75%,Coffee culture + home barista trend,temu.com/milk-frother,Rechargeable models preferred,2026-01-25,NEW
ECOM051,TEMU_GOLDMINES,Portable Blender USB,Temu,$8,Amazon,$29.99,73%,Fitness smoothie on-the-go trend,temu.com/portable-blender,350ml single-serve most popular,2026-01-25,NEW
ECOM052,TEMU_GOLDMINES,Ring Light 10-inch,Temu,$10,Amazon,$34.99,71%,Content creator essential - steady demand,temu.com/ring-light,Tripod stand bundles sell better,2026-01-25,NEW
ECOM053,ALIEXPRESS_WINNERS,Wireless Earbuds TWS,AliExpress,$8,Amazon,$29.99,73%,100K+ orders - AirPods alternative,aliexpress.com/tws-earbuds,Touch control models trending,2026-01-25,NEW
ECOM054,ALIEXPRESS_WINNERS,Smart Watch Fitness Band,AliExpress,$12,Amazon,$39.99,70%,Health tracking demand growing,aliexpress.com/smart-watch,Heart rate + sleep tracking must-have,2026-01-25,NEW
ECOM055,ALIEXPRESS_WINNERS,Makeup Brush Set 12pc,AliExpress,$4,Amazon,$18.99,79%,Beauty essentials - repeat purchase,aliexpress.com/makeup-brushes,Rose gold handles most popular,2026-01-25,NEW
ECOM056,EBAY_ARBITRAGE,LEGO Sets Retired,Retail,$50,eBay,$120,58%,Collector market - retired sets appreciate,retail-clearance,Check Walmart/Target clearance weekly,2026-01-25,NEW
ECOM057,EBAY_ARBITRAGE,Funko Pop Exclusives,Retail,$12,eBay,$35,66%,Store exclusives command premium,target/walmart-exclusive,Chase variants 3-5x retail,2026-01-25,NEW
ECOM058,EBAY_ARBITRAGE,Tool Sets Clearance,Home Depot,$30,eBay,$65,54%,DIY market steady - branded tools,homedepot-clearance,DeWalt/Milwaukee most profitable,2026-01-25,NEW
ECOM059,Jewelry/Accessories,Customizable Fashion Rings,AliExpress,$1.00,TikTok Shop/Etsy,$10.00-20.00,80-90%,Competition: MEDIUM. Trend: RISING,,Low cost high margin. Impulse buy nature. Visual content friendly.,2026-01,NEW
ECOM060,Fitness Gadgets,Hand Muscle Trainer/Grip Strengthener,Temu/AliExpress,$3.00,TikTok Shop/Amazon,$20.00,70%+,Competition: LOW. Trend: RISING,,Strong margins for advertising. Fitness niche crossover.,2026-01,NEW
ECOM061,Beauty,Skincare Tools (Gua Sha/Rollers),Temu,$2.00-5.00,TikTok Shop,$15.00-30.00,60-80%,Competition: HIGH. Trend: STABLE,,Before-and-after content performs. Repeat purchase potential.,2026-01,NEW
ECOM062,Beauty,Matte Lipstick/Lip Gloss,AliExpress/Private Label,$3.00-8.00,TikTok Shop,$15.00-25.00,50-70%,Competition: HIGH. Trend: STABLE,,Top TikTok Shop category. GRWM video format drives sales. The Lip Bar sold 47200 units on TikTok Shop.,2026-01,NEW
ECOM063,Home/Kitchen,Magnetic Vacuum Sealer Bags,Temu,$5.00-8.00,TikTok Shop/Amazon,$20.00-35.00,60-70%,Competition: LOW. Trend: RISING,,Multifunctional gadget. Visual satisfaction content. Low competition.,2026-01,NEW
ECOM064,Home/Kitchen,Eco-Friendly Baking Supplies (Silicone Mats/Bamboo Tools),AliExpress,$3.00-5.00,Amazon FBA/Etsy,$18.00-25.00,45-55%,Competition: LOW. Trend: RISING,,Zero-waste trend. 8000 monthly searches. Top listings only 150-250 reviews.,2026-01,NEW
ECOM065,Seasonal/Decor,Year of the Horse Products,AliExpress/POD,$2.00-10.00,Etsy/TikTok Shop,$15.00-40.00,50-75%,Competition: LOW. Trend: RISING,,YoY horse searches on Etsy up 187%. Chinese New Year Feb 17 2026. Fire Horse year = rare.,2026-01,NEW
ECOM066,Pet Health,Senior Dog Mobility Products (Joint Health Treats),Private Label,$5.00-8.00,Amazon FBA,$20.00-35.00,50-65%,Competition: LOW. Trend: RISING,,Pet spending projected $261B by 2030. Low reviews (100-200). Specialized formulas = barrier to entry.,2026-01,NEW
ECOM067,Home Office,Cable Management Accessories,AliExpress/Temu,$1.80,Amazon FBA,$12.00,51%+,Competition: LOW. Trend: STABLE,,Only 70-170 reviews on top listings. 4500 monthly searches. 210 units/month potential.,2026-01,NEW
ECOM068,Home/Pet,Small Bulky Items (Brass Hardware/Weighted Pet Blankets),Private Label,$8.00-15.00,Amazon FBA,$30.00-60.00,40-55%,Competition: LOW. Trend: RISING,,Amazon 2026 fee structure gives $2.10 advantage on small bulky. Chinese dropshippers can't compete on shipping weight.,2026-01,NEW
ECOM069,Crafts/Digital,Crochet Patterns (Digital),Self-created,$0.00,Etsy,$5.00-15.00,95%+,Competition: MEDIUM. Trend: RISING,,18 crochet searches in Etsy Dec Top 1000 (up from 5 last year). Digital = zero COGS.,2026-01,NEW
ECOM070,Beauty,Perfumes/Fragrance Sets,AliExpress/Private Label,$5.00-15.00,TikTok Shop,$25.00-50.00,50-70%,Competition: MEDIUM. Trend: STABLE,,Go viral through storytelling without smell. Date-night scents and layering routines trend.,2026-01,NEW
ECOM071,Apparel/POD,POD T-Shirts (3D/Gradient/Retro Designs),Printify/Printful,$7.00-10.00,Etsy/TikTok Shop,$25.00-35.00,40-50%,Competition: HIGH. Trend: STABLE,,POD market $12.96B growing 26% CAGR. Apparel 39.45% revenue share. Personalization drives conversion.,2026-01,NEW
ECOM072,Apparel/POD,All-Over-Print Hoodies,Printful,$25.00-35.00,Etsy/Shopify,$55.00-85.00,35-50%,Competition: MEDIUM. Trend: RISING,,Complex production justifies higher price. Bespoke patterns. Premium positioning.,2026-01,NEW
ECOM073,Home Decor/POD,Home Decor (Patina Blue/Washed Linen Theme),Printify/Private Label,$5.00-15.00,Etsy,$20.00-50.00,50-70%,Competition: MEDIUM. Trend: RISING,,Etsy 2026 Color of Year: Patina Blue. Texture of Year: Washed Linen. Ride the trend early.,2026-01,NEW
