directory_id,directory_name,url,category,cost,da_estimate,do_follow,turnaround_days,best_for,notes,status,reviewer_notes
LD018,Startup Stash,https://startupstash.com,STARTUP_DIRECTORY,$0-$49,55,YES,3-7,"Startups tools","Curated directory. paid for featured.",PENDING_REVIEW,Curated quality
LD019,StackShare,https://stackshare.io,DEV_TOOLS,$0,80,YES,1-3,"Dev tools infrastructure","Tech stack sharing. good for developer-focused products.",PENDING_REVIEW,High DA. Dev audience.
LD020,DevHunt,https://devhunt.org,DEV_TOOLS,$0,40,YES,1,"Dev tools open source","Product Hunt for developers. GitHub-connected.",PENDING_REVIEW,Dev-focused PH alternative
LD021,Peerlist,https://peerlist.io,PROFESSIONAL,$0,50,YES,1-3,"Professional tools career","Professional networking + product showcase.",PENDING_REVIEW,Growing platform
LD022,MakerLog,https://getmakerlog.com,MAKER_COMMUNITY,$0,35,YES,1,"Side projects maker tools","Build-in-public community. daily task logging.",PENDING_REVIEW,Build in public audience
LD023,Crunchbase,https://crunchbase.com,BUSINESS_DIRECTORY,$0,91,YES,7-14,"Startups B2B","Claim your company profile. high DA. good for credibility.",PENDING_REVIEW,High DA credibility signal
LD024,AngelList / Wellfound,https://wellfound.com,STARTUP_DIRECTORY,$0,91,YES,3-7,"Startups","Company profile + job listings. high DA backlink.",PENDING_REVIEW,High DA. Claim profile.
LD025,Trustpilot,https://trustpilot.com,REVIEW_PLATFORM,$0,93,YES,3-7,"Any product or service","Claim profile. collect reviews. huge DA.",PENDING_REVIEW,Massive DA. Must claim.
LD026,TrustRadius,https://trustradius.com,REVIEW_PLATFORM,$0,78,YES,7-14,"B2B software","In-depth reviews. good for enterprise credibility.",PENDING_REVIEW,Enterprise credibility
LD027,SourceForge,https://sourceforge.net,SOFTWARE_DIRECTORY,$0,92,YES,3-7,"Open source software tools","Legacy but huge DA. worth listing for backlink alone.",PENDING_REVIEW,Massive DA. Easy listing.
LD028,Slant,https://slant.co,COMPARISON,$0,64,YES,1-3,"Any product","Comparison and recommendation platform.",PENDING_REVIEW,Good for comparison queries
LD029,Remote Tools,https://remotetools.club,NICHE_DIRECTORY,$0,40,YES,3-7,"Remote work tools","Remote work focused directory.",PENDING_REVIEW,Niche but relevant
LD030,SideProjectors,https://sideprojectors.com,SIDE_PROJECT,$0,45,YES,1-3,"Side projects","Buy sell and showcase side projects.",PENDING_REVIEW,Side project audience
LD031,MCP Apps,https://mcpapps.com,MCP_DIRECTORY,$0,NEW,UNKNOWN,1-3,"MCP servers AI tools","NEW directory (launched Jan 26 2026). first-mover window. submit MCP tools here.",PENDING_REVIEW,CRITICAL: First-mover window. Submit immediately.
LD032,Dang.ai,https://dang.ai,AI_DIRECTORY,$0,50,YES,1-3,"AI tools","Growing AI directory with reviews.",PENDING_REVIEW,Free AI listing
LD033,TopAI.tools,https://topai.tools,AI_DIRECTORY,$0,48,YES,1-7,"AI tools","AI tools directory with categories.",PENDING_REVIEW,Category-specific listing
LD034,AI Tool Guru,https://aitoolguru.com,AI_DIRECTORY,$0,35,YES,1-7,"AI tools","Smaller AI directory. easy listing.",PENDING_REVIEW,Quick free listing
LD035,Toolify.ai,https://toolify.ai,AI_DIRECTORY,$0,55,YES,1-7,"AI tools","AI tools directory with traffic.",PENDING_REVIEW,Growing AI directory
LD036,NextPedia,https://nextpedia.io,AI_DIRECTORY,$0,30,YES,1-3,"AI tools","Newer AI directory.",PENDING_REVIEW,New but free
LD037,Killer Startups,https://killerstartups.com,STARTUP_DIRECTORY,$0-$299,58,YES,7-14,"Startups","Featured review option. good exposure.",PENDING_REVIEW,Paid featured option
LD038,All Top Startups,https://alltopstartups.com,STARTUP_DIRECTORY,$0,52,YES,3-7,"Startups","Blog + directory. may get editorial coverage.",PENDING_REVIEW,Potential editorial coverage
LD039,1000 Tools,https://1000.tools,TOOL_DIRECTORY,$0,40,YES,1-3,"Tools productivity","Curated tool collection.",PENDING_REVIEW,Quick listing
LD040,Awesome Indie,https://awesomeindie.com,INDIE_DIRECTORY,$0,30,YES,1-3,"Indie products bootstrapped","Directory of indie/bootstrapped products.",PENDING_REVIEW,Indie audience
LD041,Pitchwall,https://pitchwall.co,STARTUP_DIRECTORY,$0,35,YES,1-3,"Startups","Startup pitch page directory.",PENDING_REVIEW,Free pitch page
LD042,The Startup Pitch,https://thestartuppitch.com,STARTUP_DIRECTORY,$0,32,YES,3-7,"Startups","Video pitch platform.",PENDING_REVIEW,Video format
