structure_id,content_type,structure_name,platform,hook_formula,body_structure,cta_type,cta_example,performance_tier,niche_fit,notes,source
CS030,Carousel Post,Hub Content,IG/LinkedIn,"The complete guide to X [comprehensive]","Title slide → Problem → Framework → 8-10 steps → Summary → CTA",DM,"DM for full PDF",HIGHEST,ALL,"Hub-and-spoke model. Create comprehensive hub. Break into 10-20 spokes across platforms.",Content Repurposing 2026
CS031,Short Video,First Hour Engagement,TikTok/Reels,"[Post timing strategy]","Post content → Reply to EVERY comment first 60 min → Reply with videos when possible → Boost signal",Comment,"Comment now for reply",HIGH,ALL,"First 60 minutes critical. Active creator signal boosts distribution. Follower-first testing 2-3 days.",TikTok Algorithm 2026
CS032,Short Video,Trending Audio Hook,YouTube Shorts,"[Trending audio first 5 seconds]","Trending audio intro → Hook viewer → Deliver value → 50-60 second length → CTA",Subscribe,"Sub for more",HIGH,ALL,"Trending audio in first 5 sec = 21% reach increase. 18-22 Shorts monthly = top creator benchmark.",YouTube Shorts 2026
CS033,Hook Formula,Forbidden Knowledge,ALL,"Nobody is talking about this...","Hook → Exclusive insight → Evidence → Application → CTA",Comment,"Comment 'SECRET' for more",HIGHEST,ALL,"Creates exclusivity. Implies insider info. Use with specific tactics.",VIRAL_CONTENT_FORMULAS.md
CS034,Hook Formula,Revenue Reveal,ALL,"I made $X in Y days. Here's how.","Hook → Screenshot proof → 3 steps → Result → CTA",Bio,"Link in bio for breakdown",HIGHEST,AI,"Numbers = credibility. Always include specific revenue/results.",VIRAL_CONTENT_FORMULAS.md
CS035,Hook Formula,Stop/Start Command,ALL,"Stop doing X. Do Y instead.","Direct command → Why current is wrong → Better approach → Quick win → CTA",Comment,"Comment 'FIX' for template",HIGHEST,ALL,"Direct command creates urgency. Contrarian angle drives engagement.",VIRAL_CONTENT_FORMULAS.md
CS036,Hook Formula,Hot Take,ALL,"Unpopular opinion: [statement]","Controversial take → Evidence → Counterargument → Resolution → CTA",Reply,"Reply with your take",HIGH,ALL,"Forces agreement/disagreement. Controversy without offense.",VIRAL_CONTENT_FORMULAS.md
CS037,Hook Formula,Cheat Code,ALL,"This is the cheat code for X","Gaming language → Simple solution → Demonstration → Result → CTA",Bio,"Full cheat code in bio",HIGH,ALL,"Gaming language resonates. Efficiency promise triggers saves.",VIRAL_CONTENT_FORMULAS.md
CS038,Hook Formula,POV Setup,ALL,"POV: You just discovered X","Relatable setup → Experience walkthrough → Payoff → CTA",Comment,"Comment if this is you",HIGH,ALL,"Puts viewer in situation. Relatability = shares.",VIRAL_CONTENT_FORMULAS.md
CS039,Hook Formula,Binary Choice,ALL,"Which do you choose: A or B?","Two options → Context for each → Ask for defense → Engage replies",Comment,"Comment your choice",HIGHEST,ALL,"Forces engagement. Binary = easy to respond. High comment rate.",VIRAL_CONTENT_FORMULAS.md
CS040,Hook Formula,Fear Hook,ALL,"If you're doing X stop immediately.","Fear trigger → Why it's bad → Solution → Safe path → CTA",DM,"DM 'HELP' for fix",HIGH,ALL,"Loss aversion powerful. Use sparingly to avoid fear fatigue.",VIRAL_CONTENT_FORMULAS.md
CS041,Hook Formula,Speed Promise,ALL,"Do this in 60 seconds","Time commitment → Quick demonstration → Result → Efficiency tip → CTA",Save,"Save for later",HIGH,ALL,"Low time commitment = high engagement. Easy win promise.",VIRAL_CONTENT_FORMULAS.md
CS042,Hook Formula,Confession,ALL,"I have a confession to make...","Vulnerability → Truth reveal → What changed → Lesson → CTA",Comment,"Share yours below",HIGH,ALL,"Authenticity signal. Vulnerability = trust = engagement.",VIRAL_CONTENT_FORMULAS.md
CS043,Content Structure,Problem-Agitate-Solve,ALL,"Stop wasting X on Y","Hook (3s) → Agitate (7s) → Solve (10s) → Result (5s) → CTA (5s)",Multiple,"Varies by platform",HIGHEST,ALL,"Most versatile structure. Works everywhere. 30s optimal length.",VIRAL_CONTENT_FORMULAS.md
CS044,Content Structure,Rewatch Loop,TikTok/Reels,"Wait for it... [callback to start]","Hook with foreshadow → Build → Payoff → Seamless loop to start",Rewatch,"Watch again to catch",HIGH,ALL,"Rewatches count as multiple views. 70%+ completion for viral 2026.",VIRAL_CONTENT_FORMULAS.md
CS045,Content Structure,Self-Reply Funnel,X,"[Value hook in main tweet]","Main tweet: Hook with value → Self-reply: CTA with link/product",Bio,"Check pinned tweet",HIGHEST,AI,"First reply most visible. Proven funnel. Use for product promotion.",VIRAL_CONTENT_FORMULAS.md
CS046,Hook Formula,The Transformation,ALL,"6 months ago I was X. Now Y.","Before state → Turning point → Process → After state → CTA",Comment,"Comment your journey",HIGHEST,ALL,"Aspiration + proof. Personal story = high engagement.",VIRAL_CONTENT_FORMULAS.md
CS047,Hook Formula,Myth Bust,ALL,"X is a lie. Here's the truth.","Challenge belief → Evidence → Real truth → Application → CTA",Comment,"Agree or disagree?",HIGH,ALL,"Challenges existing beliefs. Triggers curiosity + debate.",VIRAL_CONTENT_FORMULAS.md
CS048,Hook Formula,Search Keyword Hook,TikTok/Shorts,"How to [exact keyword]","Keyword in title + overlay → Direct answer → Steps → CTA",Search,"Search platform",HIGHEST,ALL,"TikTok/YT are search engines. SEO-optimized hooks win.",VIRAL_CONTENT_FORMULAS.md
CS049,Content Structure,Story Arc,ALL,"So I tried X and this happened...","Hook tease (3s) → Setup (7s) → Conflict (10s) → Resolution (8s) → Lesson (2s)",Multiple,"Varies",HIGH,ALL,"Narrative tension keeps viewers. End with lesson/CTA.",VIRAL_CONTENT_FORMULAS.md
CS050,Hook Formula,Fill-in-Blank,ALL,"Your X in 3 words. Go.","Low friction prompt → Wait for responses → Engage best replies → Repost favorites",Comment,"Answer below",HIGH,ALL,"Lowest friction engagement. High comment rate. Easy UGC.",VIRAL_CONTENT_FORMULAS.md
CS051,LinkedIn Post,Single Line Breaks,LinkedIn,"[Statement] + line breaks + [Supporting points]","Short punchy lines → Line break between each → Conclusion → CTA question",Comment,"Agree?",HIGH,AI,"Easy to scan. Creates rhythm. Professional but readable.",VIRAL_POST_FORMATS_2026.md
CS052,LinkedIn Post,Contrarian LinkedIn Take,LinkedIn,"Unpopular LinkedIn opinion: [bold statement]","Challenge norm → Why it's wrong → Evidence → What to do instead",Comment,"What's your take?",HIGH,AI,"Breaks pattern. Triggers debate. High engagement.",VIRAL_POST_FORMATS_2026.md
CS053,LinkedIn Carousel,Hub Content Document,LinkedIn,"[Number] [lessons] from [experience]","Hook slide → Value slides (1 per point) → Summary → CTA slide",DM,"DM for full doc",HIGHEST,AI,"3x engagement vs single images. 7-10 slides optimal.",VIRAL_POST_FORMATS_2026.md
CS054,TikTok Hook,POV Setup,TikTok/Reels,"POV: You just discovered [thing]","Put viewer in situation → Show experience → Payoff → CTA",Comment,"Comment if this is you",HIGH,ALL,"Relatability = shares. Immersive hook format.",VIRAL_POST_FORMATS_2026.md
CS055,TikTok Hook,Confession Hook,TikTok/Reels,"I have a confession to make...","Vulnerability → Truth reveal → What changed → Lesson → CTA",Comment,"Share yours",HIGH,ALL,"Authenticity signal. Vulnerability = trust = engagement.",VIRAL_POST_FORMATS_2026.md
CS056,X Thread,Reverse Math Thread,X,"Want to make $X/month? Here's the math:","Revenue target → Sales needed → Traffic needed → Daily targets → Scale path → CTA",Reply,"Reply MATH for calculator",HIGHEST,AI,"Specific math = credibility. Reverse engineering creates clarity.",VIRAL_POST_FORMATS_2026.md
CS057,Short Video,Study App Slideshow,TikTok/IG,"Organic informational slideshows","Hook → Educational slide content → App CTA → No influencers needed",Bio,"Link in bio",HIGHEST,ALL,"Study niche: Gauth $1.2M/mo Knowunity $460k/mo. No UGC just slides.",ALPHA_STAGING.csv research
CS058,X Post,A/B Contrarian Post,X,"Post opposite takes on same topic","Post A: start doing X → Post B: stop doing X → Track which wins → Double down",None,"Track performance",HIGH,ALL,"Contrarian often wins 2x. Tests angles quickly. Algorithm = 2 chances.",NICHE_POSTING_STRATEGY.md
CS059,Short Video,60-Second First 60 Min,TikTok,"Post + reply to ALL comments first 60 min","Content → Monitor → Reply to every comment → Reply with videos when possible → Boost signal",Comment,"Comment for reply",HIGHEST,ALL,"First 60 minutes critical. Active creator signal = algorithm boost.",TikTok Algorithm 2026
CS060,LinkedIn Post,Personal Story Business Lesson,LinkedIn,"[Time ago] I [failure/struggle]...","Struggle → What happened → What learned → Takeaway for others → CTA",Comment,"Has this happened to you?",HIGH,AI,"Authenticity wins on LinkedIn. Vulnerability = trust.",VIRAL_POST_FORMATS_2026.md
CS061,Cross-Platform,Hub-and-Spoke Repurpose,ALL,"One hub piece → 10-20 spokes across platforms","Create hub (tutorial/blog/carousel) → Extract quotes/clips/points → Adapt per platform → Schedule 2-4 weeks",Multiple,"Varies by platform",HIGHEST,ALL,"One effort multiple outputs. Maximum content leverage.",VIRAL_POST_FORMATS_2026.md
CS062,TikTok/Shorts,Trending Audio First 5,TikTok/Shorts,"Trending audio in first 5 seconds","Hook with trending sound → Deliver value → 50-60 sec length → CTA",Subscribe,"Sub for more",HIGH,ALL,"Trending audio first 5 sec = 21% reach increase. 18-22 Shorts monthly benchmark.",YouTube Shorts 2026
CS063,Instagram,Carousel vs Reel Decision,IG,"Visual process = Reel. Steps/lists = Carousel.","Tutorial visual → Reel. Tutorial steps → Carousel. Story → Reel. Listicle → Carousel.",Multiple,"Varies",HIGH,ALL,"Format matching increases performance. Test both for before/after.",VIRAL_POST_FORMATS_2026.md
CS064,Short Video,Boomer App Opportunity,TikTok/IG,"Apps for seniors: cooking fishing gardening bricolage","Senior niche hook → Problem they face → Simple solution → AI influencer promotion → CTA",Bio,"Link in bio",HIGHEST,ALL,"Tai chi app $200k/mo. Underserved market. AI influencer = $0 promotion.",ALPHA_STAGING.csv research
