tool_id,category,tool_name,primary_use,monthly_cost_low,monthly_cost_high,one_time_cost,free_tier,api_available,setup_difficulty,printmaxx_priority,current_status,alternative_tools,best_for_channel,notes,url
T036,Automation,n8n (self-hosted),Workflow automation,$0,$0,$0,Yes,Yes,MEDIUM,MEDIUM,NOT_SETUP,"Make,Zapier",ALL,"Self-host on Hetzner.",https://n8n.io
T037,Automation,Make,Visual workflow automation,$9,$16,$0,Yes,Yes,LOW,LOW,NOT_SUBSCRIBED,"n8n,Zapier",ALL,"Easier than n8n.",https://make.com
T038,Automation,Zapier,No-code automation,$0,$20,$0,Yes,Yes,LOW,LOW,NOT_SUBSCRIBED,"Make,n8n",ALL,"Easiest but expensive at scale.",https://zapier.com
T039,VPS Hosting,Hetzner,VPS for n8n,$5,$10,$0,No,Yes,MEDIUM,MEDIUM,NOT_SUBSCRIBED,"DigitalOcean,Vultr",ALL,"Cheapest VPS. EU-based.",https://hetzner.com
T040,Browser Automation,Playwright,Bulk browser automation,$0,$0,$0,Yes,Yes,HIGH,CRITICAL,INSTALLED,"Puppeteer,Selenium",ALL,"Non-negotiable bulk engine.",https://playwright.dev
T041,Sales Platform,Gumroad,Digital product sales,$0,$10,$0,Yes,Yes,LOW,HIGH,NOT_SETUP,"Lemon Squeezy,Paddle",ALL,"Simple digital sales.",https://gumroad.com
T042,Link Aggregator,Linktree,Bio link page,$0,$6,$0,Yes,No,LOW,MEDIUM,NOT_SETUP,"Beacons,Stan",ALL,"Bio funnel page.",https://linktr.ee
T043,Newsletter,Substack,Email newsletter,$0,$0,$0,Yes,Yes,LOW,MEDIUM,NOT_SETUP,"ConvertKit,Beehiiv",CH012,"Free email list building.",https://substack.com
T044,Podcast,Anchor,Free podcast hosting,$0,$0,$0,Yes,No,LOW,LOW,NOT_SETUP,"Riverside,Buzzsprout",CH013,"Free hosting + distribution.",https://anchor.fm
T045,ASO,AppTweak,App store optimization,$69,$299,$0,Yes,Yes,MEDIUM,LOW,NOT_SUBSCRIBED,"Sensor Tower,data.ai",APP,"Only for app strategy.",https://apptweak.com
T046,IDE,Cursor Pro,Code editor + AI,$20,$40,$0,Yes,No,LOW,OPTIONAL,NOT_SUBSCRIBED,"VS Code,Claude Code",ALL,"Nice-to-have. Not required.",https://cursor.sh
T047,AI,ChatGPT Plus,Alternative AI,$20,$200,$0,No,Yes,LOW,OPTIONAL,NOT_SUBSCRIBED,"Claude,Gemini",ALL,"Most cuttable subscription.",https://chat.openai.com
T048,Community,Whop,Community + bounties,$0,$10,$0,Yes,Yes,LOW,LOW,NOT_SUBSCRIBED,"Skool,Discord",ALL,"Later phase only.",https://whop.com
T049,Agent Framework,Ralph,Autonomous overnight agent loops,$0,$0,$0,Yes,No,HIGH,HIGH,NOT_SETUP,"CrewAI,LangChain,AutoGen",ALL,"Amp-based. Fresh context each cycle. Good for batch builds.",https://github.com/snarktank/ralph
T050,Agent Framework,CrewAI,Multi-agent coordination,$0,$0,$0,Yes,Yes,HIGH,MEDIUM,NOT_SETUP,"Ralph,LangChain,AutoGen",ALL,"Python-based. Good for complex agent workflows.",https://crewai.com
T051,Self-Hosting,Dokploy,One-click n8n deploy,$0,$0,$0,Yes,No,MEDIUM,MEDIUM,NOT_SETUP,"Coolify,manual",ALL,"Hetzner + Dokploy = gold stack.",https://dokploy.com
T052,Self-Hosting,Coolify,Self-hosted Vercel/Netlify,$0,$0,$0,Yes,No,MEDIUM,MEDIUM,NOT_SETUP,"Dokploy,Vercel",ALL,"Alternative to Dokploy.",https://coolify.io
T053,AI Influencer,Fansly,Adult creator platform,$0,$0,$0,Yes,No,LOW,LOW,NOT_SETUP,"OnlyFans,Patreon",CH024,"Less restrictive than OF.",https://fansly.com
T054,AI Influencer,Character.AI,Virtual character platform,$0,$10,$0,Yes,Yes,LOW,LOW,NOT_SETUP,"Replika,Janitor.ai",CH024,"Build disclosed AI waifus.",https://character.ai
T055,AI Video,Veo (Google),AI video generation,$0,$20,$0,Yes,Yes,LOW,HIGH,NOT_SUBSCRIBED,"Kling,Runway,Pika",CH032,"Google's AI video. Best quality for shorts.",https://deepmind.google/veo
T056,AI Video,Kling,AI video generation,$0,$30,$0,Yes,Yes,LOW,HIGH,NOT_SUBSCRIBED,"Veo,Runway,Pika",CH032,"Chinese AI video. Good for longer clips.",https://klingai.com
T057,AI Video,Runway,AI video generation,$15,$95,$0,Yes,Yes,LOW,MEDIUM,NOT_SUBSCRIBED,"Veo,Kling,Pika",CH032,"Established player. Gen-3 Alpha.",https://runwayml.com
T058,AI Video,Pika,AI video generation,$0,$35,$0,Yes,Yes,LOW,MEDIUM,NOT_SUBSCRIBED,"Veo,Kling,Runway",CH032,"Good for stylized video content.",https://pika.art
T059,AI Video,Luma Dream Machine,AI video generation,$0,$30,$0,Yes,Yes,LOW,MEDIUM,NOT_SUBSCRIBED,"Veo,Kling",CH032,"Fast generation. Good for concepts.",https://lumalabs.ai
T060,Faceless Content,InVideo AI,AI faceless video creation,$25,$60,$0,Yes,Yes,LOW,HIGH,NOT_SUBSCRIBED,"Pictory,Fliki",CH032,"Full faceless video from prompt.",https://invideo.io
T061,Faceless Content,Pictory,Video from scripts,$23,$47,$0,Yes,Yes,LOW,MEDIUM,NOT_SUBSCRIBED,"InVideo,Fliki",CH032,"Turn blog posts into videos.",https://pictory.ai
T062,Faceless Content,Fliki,AI video + voiceover,$28,$88,$0,Yes,Yes,LOW,MEDIUM,NOT_SUBSCRIBED,"InVideo,Pictory",CH032,"Best for quick faceless shorts.",https://fliki.ai
T063,Influencer Discovery,Heepsy,Micro-influencer search,$0,$69,$0,Yes,Yes,LOW,MEDIUM,NOT_SUBSCRIBED,"Modash,Ainfluencer",CH017,"Free tier: 360 searches/mo. Good for basic discovery.",https://heepsy.com
T064,Influencer Discovery,Modash,350M+ creator database,$99,$199,$0,Yes,Yes,LOW,MEDIUM,NOT_SUBSCRIBED,"Heepsy,Ainfluencer",CH017,"Best fraud detection. Shopify integration.",https://modash.io
T065,Influencer Marketplace,Ainfluencer,Free brand marketplace,$0,$0,$0,Yes,Yes,LOW,HIGH,NOT_SUBSCRIBED,"Heepsy,Modash",CH017,"FREE for brands. AI matching. Start here.",https://ainfluencer.com
T066,UGC Marketplace,Billo,Creator job marketplace,$0,$0,$0,Yes,No,LOW,MEDIUM,NOT_SUBSCRIBED,"Ainfluencer,Insense",CH017,"Free to use. Pay per task.",https://billo.app
T067,Influencer Analytics,Shortimize,Creator campaign tracking,$0,$50,$0,Yes,Yes,MEDIUM,LOW,NOT_SUBSCRIBED,"Native analytics",CH017,"From @iamgdsa. Campaign performance tracking.",https://shortimize.com
T068,App Virality,FindMeCreators,Creator network for apps,$15000,$62500,$0,No,No,HIGH,LOW,NOT_SUBSCRIBED,"DIY outreach",CH017,"NOT bootstrap. Study their playbook instead.",https://findmecreators.com
T069,Influencer Discovery,IZEA,Creator marketplace,$6,$100,$0,Yes,Yes,LOW,MEDIUM,NOT_SUBSCRIBED,"Ainfluencer,Heepsy",CH017,"Low entry point $6/mo tier.",https://izea.com
T070,Influencer Discovery,Kitly Business,Campaign reporting,$99,$199,$0,Yes,Yes,LOW,LOW,NOT_SUBSCRIBED,"Modash,Heepsy",CH017,"14-day free trial. Good for tracking.",https://kitly.io
