program_name,company,niche,commission_rate,cookie_days,payout_threshold,recurring,notes,signup_url
Skillshare,Skillshare,productivity,$7 flat/trial,30,$10,no,Free trial conversions. Easy sells. Low friction.,skillshare.com/affiliates
Coursera,Coursera,productivity,15-45%,30,$50,no,Online courses. Variable commission by course type.,coursera.org/about/partners
Udemy,Udemy,productivity,10-15%,7,$50,no,Courses. Lower commission but huge catalog.,udemy.com/affiliate
MasterClass,MasterClass,productivity,25%,30,$100,no,$45 per conversion on $180/yr subscription. Premium brand.,masterclass.com/affiliate
Calm,Calm Inc,wellness,25%,30,$50,no,Meditation app. 25% on premium subscriptions.,calm.com/affiliate
Headspace,Headspace,wellness,10-20%,30,$50,no,Meditation app. Strong brand recognition.,headspace.com/affiliate
BetterHelp,BetterHelp,wellness,$100+ flat,30,$100,no,Therapy platform. HIGHEST per-conversion payout. Requires content approval.,betterhelp.com/affiliate
Talkspace,Talkspace,wellness,$100+ flat,30,$100,no,Online therapy. High payout. Strict compliance requirements.,talkspace.com/affiliate
Eight Sleep,Eight Sleep,wellness,$50 flat,30,$100,no,Smart mattress. $50 per sale on premium product.,eightsleep.com/affiliate
Purple Mattress,Purple,wellness,5%,30,$100,no,Mattress. High AOV.,purple.com/affiliate
Sleep Number,Sleep Number,wellness,4%,14,$100,no,Smart beds. Short cookie but premium products.,sleepnumber.com/affiliate
Factor Meals,Factor,wellness,$20 flat,30,$50,no,Prepared meal delivery. Health-conscious audience.,factor75.com/affiliate
HelloFresh,HelloFresh,wellness,$10 flat,30,$50,no,Meal kit delivery. Mass market appeal.,hellofresh.com/affiliate
Vitacost,Vitacost,wellness,8%,30,$50,no,Vitamins and supplements. Alternative to iHerb.,vitacost.com/affiliate
Alpha Brain,Onnit,productivity/fitness,15%,45,$50,no,Nootropic supplements via Impact network. Focus enhancement.,impact.com
Thesis,Thesis Nootropics,productivity,35%,30,$100,no,HIGHEST nootropic commission. Personalized blends. Perfect for StudyLock.,thesis.co/affiliate
Qualia Mind,Neurohacker,productivity,15%,30,$100,no,Premium cognitive support. Science-backed.,neurohacker.com/affiliate
ExpressVPN,ExpressVPN,productivity,100% + $13 recurring,30,$100,yes,VPN. 100% first month + recurring. High converting.,expressvpn.com/affiliates
NordVPN,NordVPN,productivity,40-100%,30,$100,no,VPN. Variable commission tiers.,nordvpn.com/affiliates
Grammarly,Grammarly,productivity,$20 flat,90,$50,no,Writing assistant. Easy conversion for students.,grammarly.com/affiliates
Evernote,Evernote,productivity,25%,30,$50,no,Note-taking app. Productivity staple.,evernote.com/affiliate
ClickUp,ClickUp,productivity,20%,90,$100,yes,Project management. Recurring commissions.,clickup.com/partners
Monday.com,Monday,productivity,100% first month,90,$100,no,Project management. 100% of first month.,monday.com/affiliates
Blinkist,Blinkist,productivity,25%,30,$50,no,Book summaries app. Easy for readers and learners.,blinkist.com/affiliates
Scribd,Scribd,productivity,15%,30,$50,no,Ebook and audiobook subscription.,scribd.com/affiliates
