niche_id,niche_name,idea_1_title,idea_1_pricing,idea_1_buildtime,idea_2_title,idea_2_pricing,idea_2_buildtime,idea_3_title,idea_3_pricing,idea_3_buildtime
N020,Lifestyle,Wardrobe Styler,$10/mo,2 weeks,Habit Stack Builder,$11/mo,1.5 weeks,Home Org Project Manager,$13/mo,2 weeks
N021,Remote Work,Async Meeting Summarizer,$21/mo,2 weeks,Team Timezone Scheduler,$15/mo,1.5 weeks,Remote Culture Builder,$24/mo,2 weeks
N022,Freelance/Creator,Freelancer Contract Generator,$17/mo,2.5 weeks,Income Diversification Planner,$16/mo,2 weeks,Creator Tax Organizer,$19/mo,2 weeks
N023,Mental Health,Therapy Homework Manager,$12/mo,2 weeks,Mood Trigger Identifier,$10/mo,1.5 weeks,Relapse Prevention Planner,$11/mo,2 weeks
N024,Personal Finance Adv,Debt Payoff Strategizer,$13/mo,1 week,Emergency Fund Goal Tracker,$8/mo,3 days,Savings Goal Visualizer,$9/mo,1 week
N025,Language Learning,Conversation Practice Bot,$15/mo,2.5 weeks,Immersion Path Creator,$12/mo,2 weeks,Cultural Context Explainer,$13/mo,1.5 weeks
N026,Real Estate,Rental Property Analysis,$19/mo,2 weeks,Tenant Screening Dashboard,$24/mo,2.5 weeks,Property Maintenance Scheduler,$16/mo,1.5 weeks
N027,Side Hustle Coach,Side Hustle Viability Tester,$14/mo,1.5 weeks,Product Launch Checklist,$16/mo,1 week,Revenue Projection Modeler,$18/mo,1.5 weeks
N028,Productivity/Deep Work,Deep Work Optimizer,$12/mo,2 weeks,Distraction Blocker + Rewards,$10/mo,1.5 weeks,Context Switcher Manager,$13/mo,1.5 weeks
N029,Data Analysis/BI,Spreadsheet Automator,$22/mo,3 weeks,CSV Data Cleaner,$17/mo,2 weeks,Business Metrics Dashboard,$24/mo,3 weeks
N030,Customer Service,Support Ticket Router,$19/mo,2.5 weeks,Feedback Sentiment Analyzer,$15/mo,2 weeks,Chatbot Script Generator,$16/mo,2 weeks
N031,Brand/Marketing,Brand Voice Consistency Checker,$18/mo,2 weeks,Competitor Price Monitor,$21/mo,2.5 weeks,Content Audit Analyzer,$19/mo,2 weeks
N032,Educational Content,Course Completion Booster,$24/mo,3 weeks,Quiz Generator + Auto-Grader,$14/mo,1.5 weeks,Learning Path Personalization,$28/mo,3 weeks
N033,Wellness/Holistic,Supplement Interaction Checker,$9/mo,1.5 weeks,Sleep + Nutrition + Exercise Correlator,$16/mo,2 weeks,Home Health Test Interpreter,$11/mo,1.5 weeks
