platform,niche,hashtag,avg_posts,competition_level,recommended
X,fitness,#gains,medium,medium,true
X,fitness,#strength,medium,medium,true
X,fitness,#nutrition,medium,medium,true
X,fitness,#healthyeating,medium,medium,true
X,fitness,#mealprep,medium,medium,true
X,fitness,#protein,medium,medium,true
X,fitness,#macros,low,low,true
X,fitness,#bodybuilding,high,high,false
X,fitness,#lifting,medium,medium,true
X,fitness,#weighttraining,medium,medium,true
X,fitness,#strengthtraining,medium,medium,true
X,fitness,#exercise,high,high,true
X,fitness,#fitlife,medium,medium,true
X,fitness,#healthylifestyle,medium,high,true
X,fitness,#gymlife,medium,medium,false
X,fitness,#workoutmotivation,medium,medium,true
X,fitness,#dailyworkout,low,low,true
X,fitness,#homeworkout,medium,medium,true
X,fitness,#fitnesstips,medium,medium,true
X,fitness,#workouttips,low,low,true
X,fitness,#nutritiontips,low,low,true
X,fitness,#healthytips,low,low,true
X,fitness,#mindsetshift,medium,medium,true
X,fitness,#fitnessjourney,medium,high,false
X,fitness,#personaltraining,medium,medium,false
X,fitness,#musclebuilding,medium,medium,true
X,fitness,#leanmuscle,low,low,true
X,fitness,#cleaneating,medium,medium,true
X,fitness,#wholefood,low,low,true
X,fitness,#eatclean,medium,medium,false
X,fitness,#progressnotperfection,low,low,true
X,fitness,#noexcuses,medium,medium,false
X,fitness,#showup,low,low,true
X,fitness,#grind,medium,medium,false
X,fitness,#dedication,medium,medium,true
X,fitness,#commitment,medium,medium,true
X,fitness,#dailyhabits,low,low,true
X,fitness,#healthyhabits,medium,medium,true
X,fitness,#wellness,high,high,true
X,fitness,#mindbody,low,low,true
X,fitness,#recovery,medium,medium,true
X,fitness,#restday,low,low,true
X,ai,#AI,high,high,true
X,ai,#ChatGPT,high,high,true
X,ai,#Claude,medium,medium,true
X,ai,#productivity,high,high,true
X,ai,#automation,medium,medium,true
X,ai,#workflow,medium,medium,true
X,ai,#tech,high,high,true
X,ai,#aitools,medium,medium,true
X,ai,#promptengineering,medium,medium,true
X,ai,#generativeai,medium,medium,true
X,ai,#machinelearning,high,high,false
X,ai,#deeplearning,medium,high,false
X,ai,#buildingpublic,medium,medium,true
X,ai,#indiehacker,medium,medium,true
X,ai,#solopreneur,medium,medium,true
X,ai,#nocode,medium,medium,true
X,ai,#lowcode,low,low,true
X,ai,#techtwitter,medium,medium,true
X,ai,#buildinpublic,medium,medium,true
X,ai,#startups,high,high,false
X,ai,#saas,medium,medium,true
X,ai,#coding,high,high,false
X,ai,#programming,high,high,false
X,ai,#developer,high,high,false
X,ai,#productivityhack,medium,medium,true
X,ai,#workhacks,low,low,true
X,ai,#timesaver,low,low,true
X,ai,#efficiency,medium,medium,true
X,ai,#worksmarter,low,low,true
X,ai,#automationtools,low,low,true
X,ai,#zapier,medium,medium,true
X,ai,#notion,medium,medium,true
X,ai,#n8n,low,low,true
X,ai,#make,low,low,true
X,ai,#airtable,medium,medium,true
X,ai,#techstack,low,low,true
X,ai,#toolstack,low,low,true
X,ai,#remotework,medium,medium,true
X,ai,#digitaltools,low,low,true
X,ai,#contentcreation,medium,medium,true
X,ai,#aiwriting,medium,medium,true
X,ai,#aicontent,medium,medium,true
X,ai,#aiassistant,medium,medium,true
X,ai,#chatbot,medium,medium,false
X,ai,#LLM,medium,medium,true
X,ai,#GPT,medium,high,false
X,ai,#futureofwork,medium,medium,true
X,ai,#techindustry,medium,medium,false
X,ai,#innovation,high,high,false
X,ai,#techtools,low,low,true
Instagram,faith,#faith,high,high,true
Instagram,faith,#christian,high,high,true
Instagram,faith,#dailydevotion,medium,medium,true
Instagram,faith,#morningroutine,high,medium,true
Instagram,faith,#quiettime,low,low,true
Instagram,faith,#bibleverse,medium,medium,true
Instagram,faith,#christianliving,medium,medium,true
Instagram,faith,#prayer,high,high,true
Instagram,faith,#blessed,high,high,true
Instagram,faith,#encouragement,medium,medium,true
Instagram,faith,#dailyword,low,low,true
Instagram,faith,#faithjourney,medium,medium,true
Instagram,faith,#trustgod,medium,medium,true
Instagram,faith,#godisgood,medium,high,true
Instagram,faith,#spiritualgrowth,medium,medium,true
Instagram,faith,#biblereading,low,low,true
Instagram,faith,#christianlife,medium,medium,true
Instagram,faith,#worshiplife,medium,medium,true
Instagram,faith,#faithoverfear,medium,medium,true
Instagram,faith,#dailybread,low,low,true
Instagram,faith,#jesuslovesyou,medium,high,true
Instagram,faith,#scripture,medium,medium,true
Instagram,faith,#christianwalk,low,low,true
Instagram,faith,#morningdevotion,low,low,true
Instagram,faith,#faithbased,medium,medium,true
Instagram,faith,#christianinspiration,medium,medium,true
Instagram,faith,#biblestudy,medium,medium,true
Instagram,faith,#christianmotivation,medium,medium,true
Instagram,faith,#godspromises,low,low,true
Instagram,faith,#spirituallife,medium,medium,true
Instagram,faith,#christianquotes,medium,medium,true
Instagram,faith,#faithfilled,low,low,true
Instagram,faith,#morningthoughts,low,low,true
Instagram,faith,#peacefulmorning,low,low,true
Instagram,faith,#stillness,low,low,true
Instagram,faith,#intentionalliving,medium,medium,true
Instagram,faith,#mindfulmorning,low,low,true
Instagram,faith,#gratitude,high,high,true
Instagram,faith,#dailygratitude,medium,medium,true
Instagram,faith,#hopeinfaith,low,low,true
Instagram,faith,#christianhope,low,low,true
Instagram,faith,#faithcommunity,medium,medium,true
Instagram,faith,#reels,high,high,true
Instagram,faith,#instafaith,medium,medium,true
Instagram,faith,#faithreels,low,low,true
Instagram,faith,#christianreels,low,low,true
Instagram,faith,#goodmorning,high,high,true
Instagram,faith,#positivevibes,high,high,true
Instagram,faith,#motivation,high,high,true
Instagram,faith,#inspiration,high,high,true
Instagram,fitness,#fitness,high,high,true
Instagram,fitness,#gym,high,high,true
Instagram,fitness,#workout,high,high,true
Instagram,fitness,#fitfam,high,high,true
Instagram,fitness,#training,high,medium,true
Instagram,fitness,#discipline,medium,medium,true
Instagram,fitness,#consistency,medium,medium,true
Instagram,fitness,#gymmotivation,medium,medium,true
Instagram,fitness,#fitnessmotivation,medium,high,true
Instagram,fitness,#gains,medium,medium,true
Instagram,fitness,#strength,medium,medium,true
Instagram,fitness,#nutrition,medium,medium,true
Instagram,fitness,#healthyeating,medium,medium,true
Instagram,fitness,#mealprep,medium,medium,true
Instagram,fitness,#protein,medium,medium,true
Instagram,fitness,#macros,low,low,true
Instagram,fitness,#bodybuilding,high,high,true
Instagram,fitness,#lifting,medium,medium,true
Instagram,fitness,#weighttraining,medium,medium,true
Instagram,fitness,#strengthtraining,medium,medium,true
Instagram,fitness,#exercise,high,high,true
Instagram,fitness,#fitlife,medium,medium,true
Instagram,fitness,#healthylifestyle,medium,high,true
Instagram,fitness,#gymlife,medium,medium,true
Instagram,fitness,#workoutmotivation,medium,medium,true
Instagram,fitness,#dailyworkout,low,low,true
Instagram,fitness,#homeworkout,medium,medium,true
Instagram,fitness,#fitnesstips,medium,medium,true
Instagram,fitness,#fitnessjourney,medium,high,true
Instagram,fitness,#musclebuilding,medium,medium,true
Instagram,fitness,#leanmuscle,low,low,true
Instagram,fitness,#cleaneating,medium,medium,true
Instagram,fitness,#progressnotperfection,low,low,true
Instagram,fitness,#showup,low,low,true
Instagram,fitness,#dedication,medium,medium,true
Instagram,fitness,#commitment,medium,medium,true
Instagram,fitness,#dailyhabits,low,low,true
Instagram,fitness,#healthyhabits,medium,medium,true
Instagram,fitness,#wellness,high,high,true
Instagram,fitness,#recovery,medium,medium,true
Instagram,fitness,#restday,low,low,true
Instagram,fitness,#fitnessgirl,high,high,true
Instagram,fitness,#fitnessreels,medium,medium,true
Instagram,fitness,#workoutreels,medium,medium,true
Instagram,fitness,#gymreels,medium,medium,true
Instagram,fitness,#fitnesscommunity,medium,medium,true
Instagram,fitness,#instafit,high,high,true
Instagram,fitness,#instafitness,medium,medium,true
Instagram,ai,#AI,high,high,true
Instagram,ai,#ChatGPT,high,high,true
Instagram,ai,#Claude,medium,medium,true
Instagram,ai,#productivity,high,high,true
Instagram,ai,#automation,medium,medium,true
Instagram,ai,#workflow,medium,medium,true
Instagram,ai,#tech,high,high,true
Instagram,ai,#aitools,medium,medium,true
Instagram,ai,#promptengineering,medium,medium,true
Instagram,ai,#generativeai,medium,medium,true
Instagram,ai,#buildingpublic,medium,medium,true
Instagram,ai,#indiehacker,medium,medium,true
Instagram,ai,#solopreneur,medium,medium,true
Instagram,ai,#nocode,medium,medium,true
Instagram,ai,#techcommunity,medium,medium,true
Instagram,ai,#buildinpublic,medium,medium,true
Instagram,ai,#saas,medium,medium,true
Instagram,ai,#productivityhack,medium,medium,true
Instagram,ai,#timesaver,low,low,true
Instagram,ai,#efficiency,medium,medium,true
Instagram,ai,#worksmarter,low,low,true
Instagram,ai,#automationtools,low,low,true
Instagram,ai,#techstack,low,low,true
Instagram,ai,#remotework,medium,medium,true
Instagram,ai,#digitaltools,low,low,true
Instagram,ai,#contentcreation,medium,medium,true
Instagram,ai,#aiwriting,medium,medium,true
Instagram,ai,#aicontent,medium,medium,true
Instagram,ai,#aiassistant,medium,medium,true
Instagram,ai,#LLM,medium,medium,true
Instagram,ai,#futureofwork,medium,medium,true
Instagram,ai,#techtools,low,low,true
Instagram,ai,#business,high,high,true
Instagram,ai,#entrepreneur,high,high,true
Instagram,ai,#smallbusiness,high,high,true
Instagram,ai,#onlinebusiness,medium,medium,true
Instagram,ai,#techtips,medium,medium,true
Instagram,ai,#techreels,medium,medium,true
Instagram,ai,#aireels,low,low,true
Instagram,ai,#productivitytips,medium,medium,true
Instagram,ai,#workfromhome,medium,medium,true
Instagram,ai,#digitalnomad,medium,medium,true
Instagram,ai,#sidehustle,medium,medium,true
