trend_id,date_identified,influencer_name,handle,niche,platform,followers,monetization_model,est_mrr,unique_mechanism,distribution_strategy,tech_stack,replication_score,printmaxx_methods,funnel_type,analysis_doc,status,notes
TREND011,2026-02-01,Ali Abdaal,@aliabdaal,Productivity / Self-Improvement / YouTube Education,YouTube (6M) | Newsletter | Podcast,6000000,"Part-Time YouTuber Academy ($997-4500 per cohort, 500 students/cohort, multiple cohorts) + Skillshare courses + YouTube AdSense ($130K/mo) + Newsletter + Podcast + Affiliates","$350K+","Part-Time YouTuber Academy - cohort-based YouTube education","YouTube organic SEO + newsletter + podcast + Twitter + Instagram","Circle Community + custom course platform + YouTube + Skillshare + ConvertKit",9,MM002|MM006|CF009|AI001,"YouTube Free Content (productivity tips) → Lead Magnet (free course/email) → Part-Time YouTuber Academy Cohort ($997-4500) → Circle Community → Upsells",OPS/TREND_INTEL/analyses/TREND011_aliabdaal.md,PENDING_REVIEW,"6M YouTube subscribers. $5.8M annual revenue total, $350K+/mo from courses/products. PTYA generated $4.5M since 2021 across 3K students. 500 students per cohort at ~$997-4500 = massive cohort revenue. Replication score 9: we can build cohort-based course model for app building, AI automation, content creation. YouTube to course funnel is proven. Key insight: cohort model creates urgency + community value vs evergreen course."
TREND012,2026-02-01,Matt D'Avella,@mattdavella,Filmmaking / Minimalism / Self-Improvement,YouTube (3.8M) | Slow Growth Academy,3800000,"Slow Growth Academy courses ($149+ per course) + YouTube AdSense + Brand partnerships + Community membership (6.4K+ members)","$50K-100K","Slow Growth Academy - filmmaking and creator education with anti-growth-hack philosophy","YouTube organic + email list + Twitter + Instagram + podcast (The Ground Up Show)","Slow Growth Academy platform (custom or Circle) + YouTube + community platform",7,MM002|MM006|CF009,"YouTube Content (minimalism, filmmaking, habits) → Email List → Slow Growth Academy Course ($149+) → Community (6.4K members) → Upsells",OPS/TREND_INTEL/analyses/TREND012_mattdavella.md,PENDING_REVIEW,"3.8M YouTube subscribers. Slow Growth Academy teaches YouTube/filmmaking. 6.4K+ community members. Courses priced at $149+ (Simple Habits). Team of 10 employees + 6 freelancers = scaled operation. Anti-growth-hack positioning = differentiation. Replication score 7: slow growth philosophy aligns with quality over quantity. We can position PRINTMAXX courses as depth-first vs hype. Course + community model proven. Requires team to scale (he has 16 people)."
TREND013,2026-02-01,Dan Koe,@thedankoe,One-Person Business / Solopreneurship / Philosophy,Twitter (3.2M) | Newsletter | YouTube,3200000,"Digital Economics course ($150K+/mo) + Modern Mastery HQ + Mental Monetization + One-Person Business Launchpad (Substack paid) + Newsletter sponsorships","$100K-150K","The One-Person Business Model - productize yourself framework","Twitter/X organic (philosophical threads) + newsletter (Substack) + YouTube + cross-platform syndication","Substack + custom course platform + Discord community + Notion dashboards",9,MM002|MM006|AI001|CF009,"Twitter Threads (philosophy + business) → Newsletter Signup → Free Course (20K students) → Paid Courses ($150-997) → Community → High-Ticket Coaching",OPS/TREND_INTEL/analyses/TREND013_dankoe.md,PENDING_REVIEW,"3.2M followers across platforms (Twitter primary). $2.5M annual revenue (2023). $100-150K/mo currently. Taught 20K+ students via free course. Digital Economics alone = $150K/mo. Revenue growth: 2019 $10K → 2023 $2.5M (250x in 4 years). Replication score 9: one-person business model = PRINTMAXX core thesis. Twitter-first distribution. Free course funnel (20K) to paid upsells. Philosophical positioning creates cult following. We can replicate for app building, AI automation, content stacking. Key: give away 80% free, sell advanced 20%."
TREND014,2026-02-01,Marc Lou,@marc_louvion,SaaS Boilerplates / Indie Hacking,Twitter (95K+) | YouTube,95000,"ShipFast ($20.3K/mo) + TrustMRR + CodeFast + DataFast + portfolio products + free tools (logo maker $5K+ funnel to ShipFast) + Twitter monetization ($1.9K/mo)","$70K-85K","ShipFast - Next.js boilerplate + building in public + product portfolio strategy","Twitter building in public (daily revenue screenshots) + YouTube tutorials + free tool funnel + Product Hunt launches","ShipFast SaaS + TrustMRR (verified revenue pages via Stripe API) + multiple SaaS tools",9,MM004|MM031|MM002|AI001|CF009,"Twitter Revenue Transparency → Free Tools (logo maker) → ShipFast Purchase ($169-299) → TrustMRR Upsell → Product Portfolio Cross-Sell",OPS/TREND_INTEL/analyses/TREND014_marclou.md,PENDING_REVIEW,"95K+ Twitter followers. $885K annual 2025 revenue across product portfolio. Dec 2025: $84.9K total, ShipFast $20.3K. ShipFast peak MRR $141K. First month (Sept 2023) $40K. Product Hunt Best Maker 2024. Built TrustMRR to solve fake revenue screenshot problem (uses Stripe API for verification). Strategy: build in public + free tools as funnels + product portfolio > single SaaS. Replication score 9: boilerplate model proven (ShipFast for Next.js, we can do React Native App Factory boilerplate). Twitter transparency builds trust. Free tool funnel (logo maker drove $5K+ to ShipFast). Portfolio approach diversifies risk."
TREND015,2026-02-01,Pieter Levels,@levelsio,Digital Nomad Platforms / Indie Hacking,Twitter (500K+) | YouTube,500000,"Nomad List memberships ($5.3M revenue 2024, 29K customers) + Remote OK job board + Photo AI + Rebase visa services + affiliate revenue","$400K-500K","Nomad List - digital nomad community + data platform built solo with zero employees","Twitter/X building in public (revenue transparency, shipping fast) + SEO (city pages, remote work keywords) + organic community growth + word-of-mouth","Custom PHP/jQuery stack (intentionally simple) + Stripe + no team (zero employees)",10,MM004|MM006|MM046|AI001,"SEO Traffic (city/country pages) → Free Nomad List Access → Paid Membership ($99-299/year) → Job Board Revenue (Remote OK) → Photo AI Upsell",OPS/TREND_INTEL/analyses/TREND015_pieterlevels.md,PENDING_REVIEW,"500K+ Twitter followers. $5.3M revenue 2024 (up from $704K 2023). 29K Nomad List customers. $3M+ annual across all products. ZERO employees (one-person operation at $5M+ scale). Remote OK job board adds revenue layer. Photo AI = AI product diversification. Philosophy: ship fast, keep tech stack simple (PHP/jQuery vs modern frameworks), bootstrap forever, build in public. Revenue growth: Started small, compounded for years. Replication score 10: PERFECT one-person business model. We can clone for niche communities (faith travelers, fitness nomads, tech nomads). Simple tech stack = less maintenance. SEO + community + membership = proven model. Building in public on Twitter drives trust + discovery."
TREND016,2026-02-01,Tony Dinh,@tdinh_me,AI Wrappers / Indie Hacking,Twitter (200K+) | Newsletter,200000,"TypingMind ($45K/mo flagship) + Black Magic (sold for $128K after Twitter API price hike) + multiple side products + newsletter + Twitter monetization","$45K-50K","TypingMind - ChatGPT wrapper with better UX + building in public transparency on Twitter","Twitter building in public (revenue screenshots, learnings) + Product Hunt launches + word-of-mouth + SEO","TypingMind SaaS + custom tech stack + newsletter (news.tonydinh.com)",9,MM031|MM036|MM002|AI001,"Twitter Transparency (building in public) → TypingMind Discovery → Free Trial → Paid Subscription ($39-79) → Lifetime Deal Upsell",OPS/TREND_INTEL/analyses/TREND016_tonydinh.md,PENDING_REVIEW,"200K+ Twitter followers. $45K/mo from TypingMind alone. Total $1M+ earnings milestone hit Aug 2025. Black Magic (Twitter tool) grew to $14K MRR then sold for $128K after Twitter API costs went from $14K to $42K/mo. Journey: $105K developer job → full-time indie hacker 2 years ago → $45K/mo. Strategy: decouple input from output (build once, sell infinitely). TypingMind = ChatGPT wrapper, simple concept executed well. Replication score 9: AI wrapper model validated. We can build wrappers for Claude/GPT for specific use cases (app building, content creation, faith/fitness coaching). Building in public on Twitter = discovery engine. Product portfolio approach hedges against platform risk (Black Magic lesson)."
TREND017,2026-02-01,Friction-Maxxing Movement,General social media trend (no single creator),Anti-Digital / Intentional Living,TikTok + Twitter + Instagram,100K+ total social mentions,"Not directly monetized (anti-consumerism philosophy) but adjacent products: dumb phones ($50-150), analog tools, cash-only systems, anti-tech consulting","N/A - movement not product","Friction-maxxing - deliberately choosing inconvenience over digital convenience to reclaim human agency","Organic virality on social media (TikTok, Twitter, IG) + media coverage (Cybernews, CTV News) + counter-cultural appeal","Analog tools (flip phones, cash, notebooks), anti-convenience philosophy",6,MM002|MM046|AI001|CF001-CF013,"Social Content (anti-tech philosophy) → Community Formation → Adjacent Product Sales (dumb phones, analog tools) → Consulting/Coaching on digital minimalism",,PENDING_REVIEW,"Emerging 2026 trend embracing inconvenience to feel more human. Behaviors: paying with cash vs card, flip phones vs smartphones, expressing true opinions even if tension. Philosophy: decrease reliance on digital convenience, build tolerance for inconvenience, reclaim agency from algorithms. Counter-movement to AI/automation dominance. Replication score 6: philosophy aligns with PRINTMAXX anti-hype positioning but anti-consumerism makes direct monetization challenging. Opportunity: courses/coaching on digital minimalism for faith/productivity niches. Adjacent products: dumb phone recommendations (affiliate), analog productivity tools, anti-tech consulting for parents/churches."
TREND018,2026-02-01,Longevity/Biohacking Movement,Bryan Johnson + Peter Attia + Andrew Huberman,Longevity / Biohacking / Health Optimization,Twitter + YouTube + Podcasts,Multi-million total following,"Blueprint (Bryan Johnson subscription model) + Biograph (Peter Attia $7.5K/year membership) + Huberman Lab podcast sponsorships + supplement affiliate deals + courses","$10M+ industry aggregate","Don't Die (Bryan Johnson) + Biograph precision health (Peter Attia) - data-driven anti-aging","YouTube long-form (Huberman Lab, Attia Drive podcast) + Twitter/X + Blueprint social media + Biograph medical clinics (Silicon Valley + NYC)","Biograph health testing platform + Blueprint protocols + supplement stacks + wearables (Oura, Whoop, CGMs)",9,MM002|MM003|MM006|MM062|AI001,"YouTube/Podcast Authority Building → Free Protocol Content → Paid Memberships/Testing ($7.5K Biograph) → Supplement Sales → Coaching Upsells","OPS/TREND_INTEL/analyses/TREND018_longevity_movement.md",PENDING_REVIEW,"Bryan Johnson (Blueprint): most measured person in history, 111 daily supplements, $2M+/year on longevity protocols. Peter Attia (Biograph): $7.5K/year precision health memberships, analyzing 1K+ data points, expanding from Silicon Valley to NYC. Andrew Huberman: Huberman Lab podcast = health protocol authority. Movement: trackable biohacking vs general wellness, data-driven anti-aging. Replication score 9: faith-based longevity (stewardship of temple), fitness longevity (performance + lifespan), productivity longevity (cognitive optimization). We can create longevity courses, supplement affiliate stacks, biohacking communities. High-ticket: $2-5K longevity coaching consulting faith/fitness angles. Trending: NAD+, red light therapy, CGMs, sleep optimization, cold exposure."
TREND019,2026-02-01,AI Agents / MCP Movement,Anthropic MCP + Google A2A + Agentic AI ecosystem,AI Agents / Autonomous Workflows / MCP Protocol,GitHub + Twitter + Dev communities,Massive developer adoption (MCP = industry standard Jan 2026),"MCP server marketplace emerging + agentic AI consulting ($200-500/hr) + MCP integration services + AI agent development agencies","$52B projected market by 2030 (from $7.8B today)","MCP (Model Context Protocol) - USB-C for AI, agent-to-agent communication, autonomous workflows","Developer communities (GitHub, Twitter, Dev.to) + Anthropic ecosystem + enterprise adoption (40% of apps by end 2026 per Gartner)","MCP protocol + Claude Desktop + Google A2A + enterprise agent platforms",10,MM031|MM051|MM036|MM004|AI001,"Free MCP Tools → Developer Adoption → MCP Server Marketplace → Enterprise Integration Services → Agentic AI Consulting","OPS/TREND_INTEL/analyses/TREND019_mcp_ai_agents.md",PENDING_REVIEW,"MCP released Nov 2024 by Anthropic, now industry standard (Jan 2026). MCP Apps added interactive UI components in conversations. Market: $7.8B today → $52B by 2030. Gartner: 40% of enterprise apps will embed AI agents by end 2026 (up from <5% in 2025). Key shift: experimentation → production. Multi-agent orchestration, agent-to-agent communication (A2A), autonomous decision-making (15% of work decisions by 2028). Replication score 10: PRINTMAXX is ALREADY building with MCP (ralph loops, mega loop, Claude Desktop integration). We can build MCP servers for niche use cases (faith content automation, fitness coaching agents, app building assistants). Sell MCP integration consulting to agencies/enterprises. Create courses teaching MCP development. Build MCP server marketplace. This is THE movement for 2026."
TREND014,2026-02-01,Marc Lou,@marc_lou,Indie Hacking / SaaS Boilerplates,Twitter/X (300K+) | YouTube,300000,ShipFast boilerplate ($199-299 one-time) + TrustMRR.com + ZenVoice invoicing SaaS ($19/mo),$80K-141K,ShipFast - NextJS boilerplate to ship SaaS fast + TrustMRR verified revenue platform,Twitter/X building in public + YouTube tutorials + product launches + transparency marketing,ShipFast (custom) + TrustMRR.com + Stripe + Gumroad,9,MM001|MM002|MM004|AI001,Twitter Build-in-Public → YouTube Tutorial → ShipFast Purchase ($199-299) → Customer Success → TrustMRR verified badge → Social proof loop,OPS/TREND_INTEL/analyses/TREND014_marclou.md,PENDING_REVIEW,"ShipFast: $141K MRR (or $64.5K depending on source/timing). Built TrustMRR.com to verify revenue screenshots (launched Oct 2025). Total portfolio $80K+ MRR. Lives in Bali. Replication score 9: we can build boilerplates for app building, content stacking, automation. TrustMRR model = meta business (verify what others claim). Twitter-first distribution works. Transparency = marketing advantage. Ship fast philosophy = PRINTMAXX core. Key: build what you need, then sell it to others who need same thing."
TREND015,2026-02-01,Tony Dinh,@tdinh_me,Indie SaaS / AI Wrappers,Twitter/X (170K+),170000,TypingMind AI chat UI ($39-129 one-time) + Xnapper screenshot tool ($6K/mo) + DevUtils developer tools + Black Magic (sold for $128K),$100K-140K,"TypingMind - better UI for ChatGPT built in 1 day, $500K first year",Twitter/X building in public + Product Hunt launches + rapid shipping (build in days not months),Custom web apps + Stripe + Gumroad + Paddle,9,MM001|MM004|MM031|AI001,Twitter Build-in-Public → Identify Pain Point → Build in 1-7 Days → Launch on Product Hunt → Twitter Viral Loop → Revenue → Repeat,OPS/TREND_INTEL/analyses/TREND015_tonydinh.md,PENDING_REVIEW,"$140K+/mo current (Dec 2025). $1M+ lifetime revenue by Aug 2025. 20K+ customers. TypingMind built in 1 day after ChatGPT API launch, $10K in 10 days, $500K first year. Black Magic Twitter tool sold for $128K. Replication score 9: API wrapper speed = competitive advantage. Build when APIs launch (timing arbitrage). Twitter viral loop from build-in-public. Ship micro-SaaS in days. We can replicate for AI tools, dev tools, productivity apps. Key insight: speed beats perfection. Launch when API drops, capture market before competition."
TREND016,2026-02-01,Pieter Levels (@levelsio),@levelsio,Indie SaaS / Digital Nomad,Twitter/X (600K+),600000,"Nomad List memberships ($5.3M revenue 2024, 29K customers) + Photo AI ($138K/mo as of Nov 2025) + Remote OK job board + Rebase",$150K-200K,Nomad List - digital nomad city rankings + Photo AI - AI headshots,Twitter/X memes + building in public + controversial takes + solo founder narrative,Custom PHP sites + Stripe + no team (solo),8,MM001|MM004|MM031|CF001-CF013,Twitter Viral Content (memes + controversial) → Product Awareness → Direct Purchase (no funnel complexity) → Word of Mouth → Repeat,OPS/TREND_INTEL/analyses/TREND016_levelsio.md,PENDING_REVIEW,"$5.3M revenue 2024 across portfolio. Photo AI = $138K/mo (70% of income Nov 2025). Solo founder, no employees. Nomad List = OG digital nomad community. Replication score 8: solo founder model proven at scale. PHP + simple tech stack. Twitter virality from memes + hot takes. Multiple revenue streams from same audience. We can replicate simplicity over complexity. Key: build what you use, stay solo, keep tech simple, use Twitter for free marketing. Lower score (8 not 9) because his personal brand is hard to replicate, but model is solid."
TREND020,2026-02-01,Reverse Trial + Freemium Hybrid Model,Slack + various SaaS,SaaS / Freemium Conversion,Industry-wide strategy,N/A,Reverse trial (full features → downgrade to free tier at end) + freemium upsell,Varies by company,"Reverse trial: full access first, downgrade to free tier after trial ends (vs traditional trial → nothing)","Product-led growth, in-app activation, feature showcasing during trial",Product analytics (Mixpanel/Amplitude) + in-app messaging (Pendo/Appcues),8,MM001|MM004|MM031,Signup → Reverse Trial (full features 14-30 days) → Auto-downgrade to Free Tier → In-app upgrade prompts → Paid Conversion,,PENDING_REVIEW,"Slack: 30% freemium→paid conversion (industry benchmark: 2-5%). Reverse trial shows value FIRST then removes it = loss aversion triggers upgrade. Traditional trial = nothing to lose if don't convert. Ideal freemium CVR: 2-5%, typical 1-10%. Replication score 8: we can apply to apps (PrayerLock/WalkToUnlock full features 7 days → basic free tier → upgrade prompts). Key: users experience premium first, feel loss when downgraded, more likely to pay. Lifter LMS case study: 7K leads, $23.7K revenue with targeted freemium popups."
TREND021,2026-02-01,Waitlist to Launch Funnel (Superhuman model),"Superhuman, Linear, Notion, Robinhood",SaaS Launch / Pre-Launch Marketing,"Waitlist platforms (Waitlister, GetWaitlist, Prefinery)",N/A,Waitlist signup → staggered beta access → early adopter pricing → general availability,Varies,Psychological scarcity + community building during wait + gamified referrals + mandatory onboarding,"Viral referral loops, small batch invites, exclusivity positioning",Waitlist software (Waitlister/GetWaitlist) + referral tracking + onboarding platforms,9,MM001|MM004|MM002,Landing Page → Waitlist Signup → Referral Incentives → Staggered Beta Invites (small batches) → Onboarding Call (Superhuman model) → Early Pricing → General Launch,OPS/TREND_INTEL/analyses/TREND021_waitlist_funnel.md,PENDING_REVIEW,"Waitlist CVR: 25-85% waitlist→paying vs 2-4% traditional launch. Top performers: 40%+ waitlist signup rate. Waitlist→customer: 10-30% conversion. CRITICAL: <90 days or 0% conversion (Rows.com data). Superhuman: mandatory onboarding calls. Linear/Notion: year-long community building. Robinhood: gamified referrals. Replication score 9: perfect for app launches (PrayerLock/WalkToUnlock). Build waitlist BEFORE launch, invite batches of 50-100, reward referrals with lifetime deals. Exclusivity = belonging psychology. Update waitlist every 1-2 weeks. Lists >90 days decay to 0% conversion."
TREND022,2026-02-01,Interactive Demo-Led PLG Funnel,Supademo + various PLG companies,Product-Led Growth / SaaS,"SaaS websites, landing pages, outbound emails",N/A,Interactive demo (no login) → free trial → paid conversion → product expansion,Varies,Trial-less first touch: interactive demo shows value WITHOUT signup/login/setup,"Embed demos on pricing pages, landing pages, blog posts, outbound emails. Low-commitment first touch.","Interactive demo platforms (Supademo, Navattic, Arcade) + product analytics + activation tracking",8,MM001|MM004|MM002,Interactive Demo (no login) → Qualified Interest → Free Trial (hands-on) → Activated User → Paid Conversion → Product Expansion,,PENDING_REVIEW,"91% of B2B SaaS investing more in PLG 2026. Hybrid demo→trial beats trial-only. Demo removes friction (no signup barrier), shows value on prospect's terms, qualifies leads before trial. Placement: pricing pages (reduce drop-off), landing pages (use-case specific), outbound emails (engage without call). Castos case study: 28.7% activation pre-redesign → 78% post self-serve onboarding optimization. Activated users = 4x higher trial→paid CVR. Replication score 8: we can create interactive demos for apps (screen recording walkthrough, Loom-style) before asking for download. Show PrayerLock/WalkToUnlock value BEFORE App Store friction."
TREND023,2026-02-01,Clipping Agency,clippingagency.co,Content Distribution / Clip-and-Repost Networks,TikTok + YouTube Shorts + Instagram Reels + X (cross-platform),N/A (B2B service),Bounty model: $1-5 per 1K views paid to clippers. Clients pay retainer ($2K-10K/mo) for managed clipping network.,$50K-200K,Clipping Engine: community of editors clip/repurpose/publish long-form content across platforms on autopilot,Whop workspace for clipper onboarding + brand guidelines + bounty system + verified view tracking,Whop (community platform) + view verification tracking + content library management,8,MM046|CF001-CF013|AI001-AI008,Client signs retainer → Upload long-form content → Clipper network creates 50-200 clips → Cross-platform distribution → Verified views → Payout clippers,OPS/TREND_INTEL/analyses/TREND023_clipping_agency.md,PENDING_REVIEW,"Launched Jan 2026. Claims 2 billion+ views generated for clients. 10x increase in short-form output, 1-5M+ monthly views within 30 days typical. Bounty: $1-5 per 1K verified views. Most clients see return in 30 days. Replication score 8: we can build clipping network for PRINTMAXX content. Recruit VAs/clippers on Fiverr/OnlineJobs.ph. Use Whop for community + bounty tracking. Opus.pro/Gling for clip automation. Perfect for STREAMER_CLIPS method (MM046). Trade-offs: cost-effective reach but lose some control. Murky attribution. Need brand guidelines to maintain quality."
TREND024,2026-02-01,Faceless YouTube Network Model,Multiple operators (no single brand),Faceless YouTube Channels / YouTube Automation,YouTube (long-form + Shorts),Network operators run 5-20 channels each,YouTube AdSense revenue ($5K-10K per channel at scale) + affiliate links + sponsorships,$25K-200K,Network operator runs 5-20 faceless channels once first proves profitable. Automation + outsourcing removes creator bottleneck.,AI-generated voiceovers (ElevenLabs) + stock footage/animations (InVideo) + VA editing (Fiverr/Upwork) + SEO optimization (TubeBuddy),InVideo (video creation) + ElevenLabs (voice) + CapCut (editing) + TubeBuddy (SEO) + VA editors on Fiverr/Upwork,7,CF001-CF013|MM029|AI001-AI008,Pick high-RPM niche → Create faceless video (AI voice + stock footage) → Upload to YouTube → SEO optimization → Monetize via AdSense + affiliates → Repeat across multiple channels,,PENDING_REVIEW,"Daily Dose of Internet: 20M subs, $140K-400K/mo AdSense. Network operators run 5-20 channels once first proves profitable. $5K-10K/mo per channel realistic at scale. High-RPM niches: finance, tech, health. Replication score 7: we can build faceless faith/fitness/productivity channels. AI voice (ElevenLabs) + stock footage (Pexels) + VA editing ($50-200/video). Key: consistency + watch time > personality. Algorithms reward value, not identity. Automation removes technical barriers. Lower score (7 not 8) because saturation increasing + demonetization risk if too automated. Need originality in content even if faceless."
