asset_id,alpha_source,asset_type,name,status,deploy_url,revenue_total,created_date,last_updated,notes
ASSET032,MANUAL,TOOL,Cold Email Calculator,DEPLOYED,cold-email-calc.surge.sh,$0,2026-02-18,2026-03-08,Lead magnet calculator tool.
ASSET033,MANUAL,LANDING,Solopreneur Launch Checklist,DEPLOYED,solopreneur-launch-checklist.surge.sh,$0,2026-02-22,2026-03-08,Lead magnet landing page.
ASSET034,MANUAL,LANDING,PRINTMAXX Store,DEPLOYED,printmaxx-storefront.surge.sh,$0,2026-02-25,2026-03-08,Product storefront. BLOCKED: no payment processing.
ASSET035,MANUAL,MEDIA,Remotion Video Pipeline,BUILT,N/A,$0,2026-03-07,2026-03-08,7 video compositions. 3 test renders complete. No distribution channel.
ASSET036,MANUAL,MEDIA,OG Image Pipeline,BUILT,N/A,$0,2026-03-08,2026-03-08,7 OG images generated via Playwright. All deployed to surge.
ASSET037,GAP_HUNT_CYCLE6,APP,ColdMaxx Tool,DEPLOYED,coldmaxx-app.surge.sh,$0,2026-03-07,2026-03-07,Cold email tool PWA. Gap hunter deployed.
ASSET038,GAP_HUNT_CYCLE6,APP,InvoiceForge,DEPLOYED,invoiceforge-app.surge.sh,$0,2026-03-07,2026-03-07,Invoice generator PWA. Gap hunter deployed.
ASSET039,GAP_HUNT_CYCLE6,APP,PageScorer,DEPLOYED,pagescorer-app.surge.sh,$0,2026-03-07,2026-03-07,Page audit tool. Gap hunter deployed.
ASSET040,GAP_HUNT_CYCLE6,APP,PitchDeck,DEPLOYED,pitchdeck-app.surge.sh,$0,2026-03-07,2026-03-07,Pitch deck generator. Gap hunter deployed.
ASSET041,GAP_HUNT_CYCLE6,APP,ProspectMaxx,DEPLOYED,prospectmaxx-app.surge.sh,$0,2026-03-07,2026-03-07,Lead finder tool. Gap hunter deployed.
ASSET042,GAP_HUNT_CYCLE6,APP,ROICalc App,DEPLOYED,roicalc-app.surge.sh,$0,2026-03-07,2026-03-07,ROI calculator PWA. Gap hunter deployed.
ASSET043,GAP_HUNT_CYCLE6,APP,StackMaxx,DEPLOYED,stackmaxx-app.surge.sh,$0,2026-03-07,2026-03-07,Portfolio builder. Gap hunter deployed.
ASSET044,GAP_HUNT_CYCLE6,APP,FocusLock App,DEPLOYED,focuslock-app.surge.sh,$0,2026-03-07,2026-03-07,Focus timer PWA. Gap hunter deployed.
ASSET045,GAP_HUNT_CYCLE6,APP,PrayerLock App,DEPLOYED,prayerlock-app.surge.sh,$0,2026-03-07,2026-03-07,Prayer tracker PWA. Gap hunter deployed.
ASSET046,GAP_HUNT_CYCLE6,APP,SleepMaxx App,DEPLOYED,sleepmaxx-app.surge.sh,$0,2026-03-07,2026-03-07,Sleep tracker PWA. Gap hunter deployed.
ASSET047,GAP_HUNT_CYCLE6,APP,WalkToUnlock App,DEPLOYED,walktounlock-app.surge.sh,$0,2026-03-07,2026-03-07,Walking motivator PWA. Gap hunter deployed.
ASSET048,AFFILIATE_CYCLE_MAR08,LANDING,Smartlead vs Instantly,DEPLOYED,smartlead-vs-instantly.surge.sh,$0,2026-03-08,2026-03-08,Comparison page with affiliate placeholders. GoatCounter tracking. FTC compliant.
ASSET049,AFFILIATE_CYCLE_MAR08,LANDING,Best AI Tools 2026,DEPLOYED,best-ai-tools-2026.surge.sh,$0,2026-03-08,2026-03-08,7-tool listicle with affiliate placeholders. GoatCounter tracking. FTC compliant.
ASSET050,AFFILIATE_CYCLE_MAR08,EMAIL,Affiliate Drip Sequence,BUILT,n/a,$0,2026-03-08,2026-03-08,5-email cold email tool affiliate sequence. Needs email platform integration.
ASSET051,AFFILIATE_CYCLE_MAR08,CONTENT,Affiliate Distribution Posts,PENDING_REVIEW,n/a,$0,2026-03-08,2026-03-08,10 tweets + 2 threads for affiliate page promotion.
