script_id,niche,affiliate_offer,platform,script_file,video_status,posted_at,views,clicks,conversions,revenue,notes
77aa5a57c1,fitness,Optimum Nutrition (Amazon),ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/77aa5a57c1.md,SCRIPTED,,0,0,0,0,Duration: ~26s. Topic: protein intake mistake most people make
8a2b68e022,tech,Notion,ALL,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/8a2b68e022.md,SCRIPTED,,0,0,0,0,Duration: ~24s. Topic: AI coding assistants: which one actually writes go
c2cf4d6600,tech,Notion,ALL,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/c2cf4d6600.md,SCRIPTED,,0,0,0,0,Duration: ~28s. Topic: how AI agents will replace 80% of desk jobs
6a9ad54002,tech,NordVPN,ALL,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/6a9ad54002.md,SCRIPTED,,0,0,0,0,Duration: ~24s. Topic: how to scrape any website legally (step by step)
f1a52dde2c,tech,Vercel Pro,ALL,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/f1a52dde2c.md,SCRIPTED,,0,0,0,0,Duration: ~24s. Topic: how I built a SaaS in one weekend with Claude
0d6c509cff,tech,Hostinger,ALL,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/0d6c509cff.md,SCRIPTED,,0,0,0,0,Duration: ~23s. Topic: ChatGPT vs Claude vs Gemini: honest comparison
ecc05e81aa,tech,NordVPN,ALL,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/ecc05e81aa.md,SCRIPTED,,0,0,0,0,Duration: ~28s. Topic: best free hosting in 2026 (I tested 10 platforms)
f51be06992,tech,Notion,ALL,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/f51be06992.md,SCRIPTED,,0,0,0,0,Duration: ~19s. Topic: the note-taking app that changed how I think
4977d0f0a3,tech,Zapier,ALL,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/4977d0f0a3.md,SCRIPTED,,0,0,0,0,Duration: ~22s. Topic: AI video tools ranked: which one is actually free
c7190027eb,tech,Vercel Pro,ALL,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/c7190027eb.md,SCRIPTED,,0,0,0,0,Duration: ~29s. Topic: the email tool that gets 40% open rates
a42e355249,tech,Vercel Pro,ALL,AUTOMATIONS/auto_ops/video_scripts/tech/2026-04-15/a42e355249.md,SCRIPTED,,0,0,0,0,Duration: ~28s. Topic: the GitHub repo that does $1000/mo tools for free
9828f736e6,finance,Acorns,ALL,AUTOMATIONS/auto_ops/video_scripts/finance/2026-04-15/9828f736e6.md,SCRIPTED,,0,0,0,0,Duration: ~23s. Topic: the app that rounds up your change and invests it
c3ad53038b,finance,Wealthfront,ALL,AUTOMATIONS/auto_ops/video_scripts/finance/2026-04-15/c3ad53038b.md,SCRIPTED,,0,0,0,0,Duration: ~22s. Topic: how I automated my investments (step by step)
882772e4d2,finance,Robinhood,ALL,AUTOMATIONS/auto_ops/video_scripts/finance/2026-04-15/882772e4d2.md,SCRIPTED,,0,0,0,0,Duration: ~24s. Topic: passive income streams ranked by effort
2c40ae0fd1,finance,Robinhood,ALL,AUTOMATIONS/auto_ops/video_scripts/finance/2026-04-15/2c40ae0fd1.md,SCRIPTED,,0,0,0,0,Duration: ~22s. Topic: the 50/30/20 rule is wrong. here's what works.
2b8aa0d866,finance,Robinhood,ALL,AUTOMATIONS/auto_ops/video_scripts/finance/2026-04-15/2b8aa0d866.md,SCRIPTED,,0,0,0,0,Duration: ~18s. Topic: why your savings account is losing money
77a8319816,finance,NerdWallet credit cards,ALL,AUTOMATIONS/auto_ops/video_scripts/finance/2026-04-15/77a8319816.md,SCRIPTED,,0,0,0,0,Duration: ~24s. Topic: the money habit that separates rich from poor
7b33d50831,finance,Acorns,ALL,AUTOMATIONS/auto_ops/video_scripts/finance/2026-04-15/7b33d50831.md,SCRIPTED,,0,0,0,0,Duration: ~25s. Topic: the credit card hack banks don't want you to know
0f4248ed65,finance,Robinhood,ALL,AUTOMATIONS/auto_ops/video_scripts/finance/2026-04-15/0f4248ed65.md,SCRIPTED,,0,0,0,0,Duration: ~16s. Topic: the side hustle that pays $500/week
ccf5162972,finance,NerdWallet credit cards,ALL,AUTOMATIONS/auto_ops/video_scripts/finance/2026-04-15/ccf5162972.md,SCRIPTED,,0,0,0,0,Duration: ~28s. Topic: why you should never pay off your mortgage early
c41a9a9d88,finance,Acorns,ALL,AUTOMATIONS/auto_ops/video_scripts/finance/2026-04-15/c41a9a9d88.md,SCRIPTED,,0,0,0,0,Duration: ~18s. Topic: credit score hacks: 100 points in 30 days
a05c40f29a,faith,Prayer mat/accessories,ALL,AUTOMATIONS/auto_ops/video_scripts/faith/2026-04-15/a05c40f29a.md,SCRIPTED,,0,0,0,0,Duration: ~18s. Topic: how to build a daily prayer habit
2361968f23,faith,Islamic books (Amazon),ALL,AUTOMATIONS/auto_ops/video_scripts/faith/2026-04-15/2361968f23.md,SCRIPTED,,0,0,0,0,Duration: ~24s. Topic: Ramadan preparation: the spiritual checklist
43717d8edd,faith,Halal supplement brands,ALL,AUTOMATIONS/auto_ops/video_scripts/faith/2026-04-15/43717d8edd.md,SCRIPTED,,0,0,0,0,Duration: ~18s. Topic: gratitude practice from Islamic tradition
c7189a2bbe,faith,Prayer mat/accessories,ALL,AUTOMATIONS/auto_ops/video_scripts/faith/2026-04-15/c7189a2bbe.md,SCRIPTED,,0,0,0,0,Duration: ~25s. Topic: the morning prayer that changed my life
32fb4096f5,faith,Prayer mat/accessories,ALL,AUTOMATIONS/auto_ops/video_scripts/faith/2026-04-15/32fb4096f5.md,SCRIPTED,,0,0,0,0,Duration: ~18s. Topic: how dhikr reduces stress (science agrees)
6c3cc059c2,faith,Quran app premium,ALL,AUTOMATIONS/auto_ops/video_scripts/faith/2026-04-15/6c3cc059c2.md,SCRIPTED,,0,0,0,0,Duration: ~25s. Topic: dealing with hardship: Islamic perspective
780d751c2d,faith,Islamic books (Amazon),ALL,AUTOMATIONS/auto_ops/video_scripts/faith/2026-04-15/780d751c2d.md,SCRIPTED,,0,0,0,0,Duration: ~24s. Topic: how to memorize Quran: practical method
e982986425,faith,Prayer mat/accessories,ALL,AUTOMATIONS/auto_ops/video_scripts/faith/2026-04-15/e982986425.md,SCRIPTED,,0,0,0,0,Duration: ~20s. Topic: the spiritual detox: 7 days of intention
f3b2394d66,faith,Islamic courses (Bayyinah),ALL,AUTOMATIONS/auto_ops/video_scripts/faith/2026-04-15/f3b2394d66.md,SCRIPTED,,0,0,0,0,Duration: ~20s. Topic: Friday reminders: what to do on Jummah
3f03bd8147,faith,Islamic courses (Bayyinah),ALL,AUTOMATIONS/auto_ops/video_scripts/faith/2026-04-15/3f03bd8147.md,SCRIPTED,,0,0,0,0,Duration: ~26s. Topic: how prayer improves focus and productivity
