date,niche,channel,text,views,score,signals,content_hash
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 💵 2,700,000 #HUSD (2,700,000 USD) minted at #Huobi Tx: https://t.co/MA2xdwryIO whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data through powerful visualiz",0,75,growth_hack,ad790387af0c
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 500,000 #FTT (1,238,192 USD) transferred from #Huobi to #Bitfinex Tx: https://t.co/fiTUBcSh8h whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data through po",0,75,growth_hack,f5f75755331a
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 370,000 #LINK (1,510,265 USD) transferred from #Bithumb to unknown wallet Tx: https://t.co/aNttwwzxno whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data th",0,75,growth_hack,1d486dfb7b8a
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 33,000 #ETH (6,583,742 USD) transferred from #Bithumb to unknown wallet Tx: https://t.co/Wam8SjJEzv whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data thro",0,75,growth_hack,cdc897f82cc5
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 27,500,000 #XRP (5,734,068 USD) transferred from #Bithumb to unknown wallet Tx: https://t.co/M8YTk8vqVX 67K views 07:39",0,75,growth_hack,3d8fe36cc121
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 💵 💵 💵 💵 💵 💵 60,000,000 #USDT (59,732,218 USD) minted at Tether Treasury Tx: https://t.co/mMr3UVbbjE whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data thro",0,75,growth_hack,32137aece0bf
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 🚨 🚨 25,000,000 #USDT (25,313,496 USD) transferred from Tether Treasury to unknown wallet Tx: https://t.co/8IMl0Zw0DM whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze",0,75,growth_hack,5e1a04b870a0
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 🚨 🚨 25,000,000 #USDT (25,313,496 USD) transferred from unknown wallet to unknown wallet Tx: https://t.co/l3FLaltiAt whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze ",0,75,growth_hack,0db2e99bf417
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 5,000,000 #USDT (5,025,507 USD) transferred from unknown wallet to #Binance Tx: https://t.co/CtjbtjLO33 whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data ",0,75,growth_hack,8d5bee698db2
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 6,500,000 #USDT (6,529,776 USD) transferred from unknown wallet to #Binance Tx: https://t.co/t8lmTnbP1P whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data ",0,75,growth_hack,97b33ca414f2
2026-01-19,faith_wellness,@islamicreminders,Islamic Reminders قال رسولُ اللهِ ﷺ: «مَا عَمِلَ ابْنُ آدَمَ شَيْئًا أَفْضَلَ مِنَ الصَّلَاةِ، وَصَلَاحِ ذَاتِ الْبَيْنِ، وَخُلُقٍ حَسَنٍ». (رواه البخاري في التاريخ ١٣٩ - وإسنادُه حسن - السلسلة الصحيحة ١٤٤٨) The Messenger of Allah ﷺ said: “The son of Adam does not perform any deed better than prayer,0,70,tool_alpha,9fcf9436840e
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 27,500,000 #XRP (5,734,068 USD) transferred from #Bithumb to unknown wallet Tx: https://t.co/M8YTk8vqVX 67.1K views 07:39",0,75,growth_hack,8cef7a248776
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 1,000 #BTC (7,903,788 USD) transferred from #Bitstamp to #Binance Tx: https://t.co/tl01LQQWht 48.8K views 02:14",0,75,growth_hack,ab06ec26028f
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 27,500,000 #XRP (5,734,068 USD) transferred from #Bithumb to unknown wallet Tx: https://t.co/M8YTk8vqVX 67.2K views 07:39",0,75,growth_hack,7aab684ba0a3
2026-02-20,crypto_defi,@cryptonews_official,"Cryptonews Why Tokenized Yield-Bearing Gold Stablecoin GLDY Will be Great For Bitcoin&nbsp; Bitcoin is evolving into something very different from its original speculative form, and a tokenized yield-bearing gold stablecoin, Streamex GLDY, launching on 25 February, shines a light on what that future",0,80,product_launch,ee05207ce7b5
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 27,500,000 #XRP (5,734,068 USD) transferred from #Bithumb to unknown wallet Tx: https://t.co/M8YTk8vqVX 67.3K views 07:39",0,75,growth_hack,ebd0917b39b0
