category,finding,source,proof_numbers,actionability,implementation_notes
CONTENT_FARM,Opus Clip Pro - AI virality score + auto-posting to TikTok/YT/Reels. Upload long-form -> AI finds clips -> scores potential -> auto-posts. $29/mo.,Tool discovery,$29/mo 300min processing,HIGH,Use for long-form to short clips automation. ROI positive if saves 10+ hrs/week.
CONTENT_FARM,1 to 30 content multiplication - Create 1 master video -> 10 platform variants + 10 text posts + 10 images. Template-based.,Content strategy,30 pieces from 1 video,HIGHEST,Create 1 master weekly. Use templates for each platform. Schedule all 30 across week.
COLD_OUTBOUND,Elite cold email = 10%+ reply rate. Average is 3.43%. 58% of replies come from first email. AI does 80% of research.,Instantly benchmark,10% reply rate top performers,HIGHEST,Target 10% reply rate. Focus first email quality. Use AI for research.
COLD_OUTBOUND,2026 cold email stack: Clay (enrichment + intent) + Apollo (data) + Instantly (sending). Signal-based timing not spray and pray.,@pipelineabuser,80% AI personalization,HIGHEST,Set up Clay with intent triggers. Apollo for contacts. Instantly for sending.
COLD_OUTBOUND,Voice note outbound = 40%+ reply rate on LinkedIn 3x engagement vs text. 45-60s max. Pattern interrupt + trust.,Research,40%+ reply rate voice notes,HIGHEST,Use voice notes for LinkedIn/IG DM outreach. Under 60 seconds.
COLD_OUTBOUND,Loom video prospecting for $10k+ deals - 40%+ reply rates. Show their site on screen. Under 60s personalized.,@alexberman,40%+ reply rates on Loom,HIGHEST,Use Loom for high-value prospects only. Research specific pain points.
COLD_OUTBOUND,Multi-channel DM+Email sequence: DM on social -> 48hrs -> Email referencing DM = 2.5x reply rate vs email alone,ESOTERIC_OUTBOUND_PLAYBOOK,2.5x reply rate multi-touch,HIGHEST,DM first then email with reference. Multi-touch builds familiarity.
SEO_GEO_ASO,Zero-click search dominance - 60%+ of Google searches now zero-click. Optimize for position zero featured snippets.,Ahrefs Research,60%+ zero-click searches,HIGHEST,Structure content for snippets. Answer in first 100 words. Add tables/lists.
SEO_GEO_ASO,GEO citation patterns - AI engines cite sources with clear structure authoritative data recent updates. Perplexity favors technical depth.,Perplexity Labs,AI discovery critical,HIGHEST,Add dates to all content. Cite 3-5 sources per article. Update content quarterly.
SEO_GEO_ASO,Video SEO dominance - 70%+ of Google SERPs show video. YouTube 2nd largest search engine. Video thumbnails 41% higher CTR.,Backlinko,70%+ SERPs have video,HIGHEST,Create YouTube video per blog post. Add video schema. Embed video above fold.
SEO_GEO_ASO,Topic clusters over keywords - pillar page + 10+ cluster articles interlinked outranks single keyword pages,Moz,Hub-and-spoke model,HIGHEST,Create pillar page per main topic. Write 10+ cluster articles. Interlink all.
SEO_GEO_ASO,App Store screenshot text indexed - iOS OCR scans screenshot text for keyword indexing. Strategic text boosts ranking.,Mobile Action,Text in screenshots = SEO,HIGH,Add keyword-rich text to first 2 screenshots. Make text readable at thumbnail.
SEO_GEO_ASO,Programmatic SEO - auto-generate 1000s of pages from data. Zapier has 25k+ pages. Requires unique value per page.,SearchPilot,25k+ pages Zapier pattern,HIGHEST,Identify data source. Create template. Generate 1000+ variations.
AI_INFLUENCER,AI influencer tool stack $40/mo: Leonardo.ai $12 (visuals) + ElevenLabs $22 (voice) + D-ID $6 (video). Entry cost.,Tool research,$40/mo starter cost,HIGHEST,Subscribe to all three. Create character reference sheet. Lock voice settings.
AI_INFLUENCER,AI influencer revenue timeline: Month 1-3 learning. Month 3-6 first $100-500/mo. Month 6-12 $500-2k/mo. Year 1+ $2k-10k/mo.,Industry benchmarks,Realistic timeline,HIGH,Don't expect revenue month 1-3. Focus on 10k followers for brand deals.
AI_INFLUENCER,Double disclosure requirement - AI content needs: 1) Sponsored/affiliate disclosure 2) AI-generated disclosure. NY law June 2026.,FTC + NY law,Legal requirement,HIGHEST,Add AI disclosure to bio. Spoken disclosure in videos. Document compliance.
AI_INFLUENCER,Own being AI as feature - don't apologize. Lead with transparency. AI advantages: consistency data synthesis 24/7 availability.,Cluely case study,Transparency builds trust,HIGH,Add 'I'm an AI' to bio. Create content about AI advantages.
AI_INFLUENCER,ASMR AI persona - YouTube ads $2-10 CPM on 30min-2hr videos. Patreon $5-20/mo. Audio-only reduces AI detection concerns.,ASMR research,$2-10 CPM long-form,HIGH,30min+ videos for mid-roll ads. ElevenLabs voice. Patreon tiers.
AI_INFLUENCER,AI fitness coach monetization - affiliates (MyProtein 5-8%) + workout subscriptions $20-50/mo + supplement sponsors,Fitness niche research,$20-50/mo subscription potential,HIGH,Athletic AI persona. Motivational voice. Workout demos + form tips.
TOOL_ALPHA,Claude MCP servers expanding capabilities - browser control automation integrations. Playwriter MCP controls user's actual Chrome.,GitHub research,2.5k+ stars Playwriter,HIGHEST,Use Chrome MCP for simple tasks. Playwriter for complex flows.
TOOL_ALPHA,n8n self-hosted = unlimited workflows at $20/mo server cost. Replaces Zapier at 10x scale. Best for content repurposing.,@WorkflowWhisper,$20/mo unlimited,HIGH,Set up n8n on $20/mo VPS. Connect social APIs. Scale without per-task costs.
TOOL_ALPHA,Ralph agent loops for overnight autonomous builds - fresh context each cycle. Memory = filesystem not context window.,GitHub ralph,Good for batch builds,HIGH,Set up ralph loops. Write to disk immediately. Static prompts.
TOOL_ALPHA,Claude Artifacts for landing page prototyping - generate React components instantly. Test 10 variations in an hour.,@godofprompt,10 variations/hour,HIGH,Describe goal. Generate with Artifacts. Iterate fast. Export winners.
TOOL_ALPHA,FindMeCreators for micro-influencer discovery - 10k-100k followers filter by engagement rate. Better ROI than macro.,@iamgdsa,Filter engagement >3%,HIGH,Build roster via FindMeCreators. Start with 10-50 micro creators.
TOOL_ALPHA,Nano Banana + Kling + Veo 3.1 workflow for AI video - Pinterest reference -> Nano Banana recreate -> Kling motion -> Veo animate,@maverickecom,Full AI video workflow,HIGH,Pinterest reference. Recreate with Nano Banana. Animate with Kling/Veo.
ECOM_ARB,LED Face Mask 7-in-1 arbitrage: Temu $30 -> Amazon $79.99 = 62% margin. 600M+ posts TikTok viral beauty tech.,Temu/Amazon research,62% margin,HIGH,Source from Temu. List on Amazon. TikTok viral = demand proof.
ECOM_ARB,Phone accessories arbitrage: Wholesale $3 -> eBay $14.99 = 80% margin. $283B market growing to $370B by 2032.,eBay research,80% margin $370B market,HIGHEST,Most profitable eBay category. Mobile device growth drives demand.
ECOM_ARB,Vintage clothing thrift arbitrage: Thrift $5 -> eBay $35 = 86% margin. 100%+ margins common on unique pieces.,Thrift research,86% margin,HIGH,Thrift for unique pieces. High perceived value on eBay.
ECOM_ARB,TikTok Shop dropshipping: Biodance masks AliExpress $8 -> Amazon $24.99 = 68% margin. Glass skin glow viral.,AliExpress/TikTok research,68% margin viral trend,HIGH,Single-use masks = high repeat purchase. TikTok viral demand.
ECOM_ARB,Print on demand: Custom T-Shirt Printify $7.50 -> Etsy $25 = 70% margin. Hyper-personalization wins 2026.,Printify/Etsy research,70% margin bestseller,HIGH,Names + dates drive highest conversion. Personalization key.
EMERGING_PLATFORMS,TikTok monetization unreliable 2026 - declining/zero ad revenue share for many creators. Use as traffic source only.,Platform research,Declining payouts reported,HIGH,Don't rely on TikTok monetization. Drive traffic to YouTube/FB for revenue.
EMERGING_PLATFORMS,Instagram Reels prioritizing original audio Jan 2026 - trending audio less effective. Original voiceover = better reach.,IG algorithm update,Original audio boost,HIGH,Create original audio for Reels. AI voice tools for faceless original audio.
EMERGING_PLATFORMS,Product Hunt launch timing: Tuesday-Thursday best. 12:01 AM PT. 200+ upvotes lined up. Respond all comments. PotD = 2000-5000 signups.,Product Hunt research,2000-5000 signups PotD avg,HIGHEST,Prepare supporters. Launch Tue-Thu. Rally 200+ initial upvotes.
EMERGING_PLATFORMS,Apple Search Ads best ROI for app installs - 70% of App Store visits from search. Run FIRST before other paid.,Apple Search Ads,70% visits from search,HIGHEST,Run Apple Search Ads first. Best ROI for app installs.
MONETIZATION,Animated paywalls produce 2.9x higher conversion rates than static designs. Animation typically increases 12-18%.,RevenueCat research,2.9x conversion boost,HIGHEST,Add subtle animations to paywall. Animate CTA buttons. A/B test.
MONETIZATION,Push notification in first 90 days = 3x more likely to stick. But 78% say irrelevant notifications are dealbreaker.,Growth-onomics,3x retention with push,HIGHEST,Send welcome push Day 1. Personalize. Limit 1-2 per week max.
MONETIZATION,Lifetime purchase option at 3-5x annual price - 10-15% take it. Immediate cash flow for development.,@simonecanciello,10-15% uptake LTD,HIGH,Add lifetime tier. Position as best value. Use cash for dev.
MONETIZATION,Email flash sale $15-45k in 48 hours - 15-30 days value emails then one flash sale. Works with just 200 subscribers.,@knoxtwts,$15-45k in 48 hours,HIGHEST,Build email list. 15-30 days value. Drop flash sale. Return to value.
MONETIZATION,RevenueCat Experiments for paywall A/B testing without app update. Test pricing first then design. 1000+ users per variant.,RevenueCat,A/B test without update,HIGHEST,Set up Experiments. Create paywall variants. Test pricing first.
GROWTH_HACKS,500 Clipper Network Model - pay 300-500 clippers $1/1k views. Case study: 43k downloads for $6k spend.,@tatealax,43k downloads for $6k,HIGHEST,Build clipper roster. Distribute content briefs. Pay performance. Double down winners.
GROWTH_HACKS,X launch viral hack - strong hook + demo + ask for comments not DMs. Algorithm loves comments = viral potential.,Sleek AI case study,$10k MRR no paid marketing,HIGHEST,Craft strong hook. Compelling demo. Ask for comments. Build 5-8k followers first.
GROWTH_HACKS,User calls as cheat codes - users hop on calls way more than expected. These conversations are product improvement gold.,@startup_lessons,High user willingness,HIGHEST,Add Calendly link to app. Offer call incentive. Document learnings.
