platform,service_product,category,status,date_created,first_revenue,monthly_revenue,notes
Whop,PRINTMAXXER Inner Circle ($97/mo),SUBSCRIPTION,NOT_STARTED,,,,
Whop,Claude Code Freelance Templates ($47),DIGITAL_PRODUCT,NOT_STARTED,,,,
Whop,Notion Template Bundle ($27),DIGITAL_PRODUCT,NOT_STARTED,,,,
Etsy,Notion Productivity Template,DIGITAL_PRODUCT,NOT_STARTED,,,,
Etsy,Notion Content Calendar Template,DIGITAL_PRODUCT,NOT_STARTED,,,,
Etsy,Notion CRM Template,DIGITAL_PRODUCT,NOT_STARTED,,,,
Etsy,Notion Habit Tracker Template,DIGITAL_PRODUCT,NOT_STARTED,,,,
Etsy,Notion Finance Template,DIGITAL_PRODUCT,NOT_STARTED,,,,
Etsy,AI Prompt Pack (bundled),DIGITAL_PRODUCT,NOT_STARTED,,,,
Etsy,Digital Products (mirrored from Gumroad),DIGITAL_PRODUCT,NOT_STARTED,,,,
Etsy,Printful Connected POD Store,POD,NOT_STARTED,,,,
Redbubble,POD Designs - Internet Culture,POD,NOT_STARTED,,,,"100 concepts in POD_TIKTOK_ARBITRAGE_AUDIT.md"
Redbubble,POD Designs - Tech/Dev,POD,NOT_STARTED,,,,
Redbubble,POD Designs - Fitness,POD,NOT_STARTED,,,,
Redbubble,POD Designs - Faith,POD,NOT_STARTED,,,,
TeeSpring,POD Designs (mirror Redbubble),POD,NOT_STARTED,,,,
Zazzle,POD Designs (mirror Redbubble),POD,NOT_STARTED,,,,
Merch by Amazon,POD Designs (waitlist),POD,NOT_STARTED,,,,"Apply ASAP. 2-8 week approval."
Amazon KDP,Gratitude Journal,KDP_BOOK,NOT_STARTED,,,,
Amazon KDP,Fitness Planner,KDP_BOOK,NOT_STARTED,,,,
Amazon KDP,Daily Prayer Journal,KDP_BOOK,NOT_STARTED,,,,
Amazon KDP,Additional low-content books (target 20),KDP_BOOK,NOT_STARTED,,,,
Fiverr,AI Content Writing,FREELANCE,NOT_STARTED,,,,
Fiverr,Website Audit & Redesign,FREELANCE,NOT_STARTED,,,,
Fiverr,Video Clipping / Repurposing,FREELANCE,NOT_STARTED,,,,
Fiverr,Cold Email Setup & Copywriting,FREELANCE,NOT_STARTED,,,,
Fiverr,Newsletter Growth Consulting,FREELANCE,NOT_STARTED,,,,
Upwork,AI Content Writer,FREELANCE,NOT_STARTED,,,,"Profile 1. Target $75/hr."
Upwork,Website Audit & Redesign Specialist,FREELANCE,NOT_STARTED,,,,"Profile 2. Target $75/hr."
Upwork,Video Content Repurposing Expert,FREELANCE,NOT_STARTED,,,,"Profile 3. Target $65/hr."
Upwork,Newsletter Growth Consultant,FREELANCE,NOT_STARTED,,,,"Profile 4. Target $85/hr."
Upwork,Social Media Content Manager,FREELANCE,NOT_STARTED,,,,"Profile 5. Target $60/hr."
Medium,Partner Program Articles,CONTENT_MONETIZATION,NOT_STARTED,,,,"Cross-post blog content. $100-500/mo potential."
Substack,Newsletter (free + paid tiers),CONTENT_MONETIZATION,NOT_STARTED,,,,"$5-10/mo paid tier. Notes for organic discovery."
Beehiiv,Newsletter #1 (tech/solopreneur),NEWSLETTER,NOT_STARTED,,,,
Beehiiv,Newsletter #2 (faith/wellness),NEWSLETTER,NOT_STARTED,,,,
Beehiiv,Newsletter #3 (fitness/health),NEWSLETTER,NOT_STARTED,,,,
Amazon Associates,Affiliate - books and products,AFFILIATE,NOT_STARTED,,,,"1-10% commission. 24h cookie."
ClickBank,Affiliate - digital products,AFFILIATE,NOT_STARTED,,,,"50-75% commission."
ShareASale,Affiliate - SaaS and ecom merchants,AFFILIATE,NOT_STARTED,,,,"Varies by merchant."
Impact,Affiliate - Shopify/Canva/Semrush/Hostinger,AFFILIATE,NOT_STARTED,,,,
PartnerStack,Affiliate - B2B SaaS recurring,AFFILIATE,NOT_STARTED,,,,"15-30% recurring."
Beehiiv Partners,Affiliate - newsletter referrals,AFFILIATE,NOT_STARTED,,,,"$42/referral."
DigitalOcean,Affiliate - hosting referrals,AFFILIATE,NOT_STARTED,,,,"$200/referral."
Webflow,Affiliate - website builder referrals,AFFILIATE,NOT_STARTED,,,,"50% first payment."
Notion,Affiliate - workspace referrals,AFFILIATE,NOT_STARTED,,,,"$10/referral."
Instantly.ai,Affiliate - cold email tool,AFFILIATE,NOT_STARTED,,,,"20-30% recurring."
Apollo.io,Affiliate - lead sourcing tool,AFFILIATE,NOT_STARTED,,,,"20% recurring."
Buffer,Affiliate - social scheduling,AFFILIATE,NOT_STARTED,,,,"20% recurring."
ElevenLabs,Affiliate - AI voice,AFFILIATE,NOT_STARTED,,,,"20% per sale."
HeyGen,Affiliate - AI video,AFFILIATE,NOT_STARTED,,,,"20% per sale."
Cold Email,Website Redesign for Local Biz,SERVICE,NOT_STARTED,,,,"$500-3000/deal. Use local_biz_pipeline.py."
Cold Email,Healthcare/Dental App Dev,SERVICE,NOT_STARTED,,,,"$5K-15K/deal."
Cold Email,Legal Website + Automation,SERVICE,NOT_STARTED,,,,"$3K-10K/deal."
Cold Email,Real Estate CRM + Lead Gen,SERVICE,NOT_STARTED,,,,"$2.5K-5K setup + $200-500/mo."
Cold Email,Video Clipping for Creators,SERVICE,NOT_STARTED,,,,"$500-1500/mo retainer."
Cold Email,SaaS Content Writing,SERVICE,NOT_STARTED,,,,"$800-1500/mo retainer."
Cold Email,Newsletter Growth Consulting,SERVICE,NOT_STARTED,,,,"$500-1500/mo."
Direct/Referral,Paywall Implementation Call ($500),SERVICE,NOT_STARTED,,,,"From SERVICE_OFFERING_PACKAGES.md"
Direct/Referral,Full Paywall Build-Out ($750),SERVICE,NOT_STARTED,,,,
Direct/Referral,Monthly Paywall Optimization ($300/mo),SERVICE,NOT_STARTED,,,,
Direct/Referral,Cold Email Infrastructure Setup ($1000),SERVICE,NOT_STARTED,,,,
Direct/Referral,Managed Cold Outreach ($500-2000/mo),SERVICE,NOT_STARTED,,,,
Direct/Referral,Clipping Operation Setup ($1500),SERVICE,NOT_STARTED,,,,
Direct/Referral,Content Farm Setup ($800),SERVICE,NOT_STARTED,,,,
Direct/Referral,Method Stack Consultation ($300),SERVICE,NOT_STARTED,,,,
eBay,Retail Arbitrage (clearance resale),ECOM_ARB,NOT_STARTED,,,,"$50-100 starting inventory."
Mercari,Retail Arbitrage (clearance resale),ECOM_ARB,NOT_STARTED,,,,
Shopify,Dropship Store (paid ads driver),ECOM_DROPSHIP,NOT_STARTED,,,,"$29/mo + ad spend. Launch AFTER organic methods."
YouTube,Sleep Channel (faceless),CONTENT_MONETIZATION,NOT_STARTED,,,,"Sleep YouTube Kit built. ffmpeg production script ready."
YouTube,Faceless Channel #2 (TBD niche),CONTENT_MONETIZATION,NOT_STARTED,,,,
TikTok,Content Farm Accounts (3 niches),CONTENT_MONETIZATION,NOT_STARTED,,,,
Instagram,Content Farm Accounts (3 niches),CONTENT_MONETIZATION,NOT_STARTED,,,,
X/Twitter,@PRINTMAXXER (building in public),CONTENT_MONETIZATION,NOT_STARTED,,,,
X/Twitter,Faith Account,CONTENT_MONETIZATION,NOT_STARTED,,,,
X/Twitter,Fitness Account,CONTENT_MONETIZATION,NOT_STARTED,,,,
Fanvue,AI Findom Persona #1,AI_INFLUENCER,NOT_STARTED,,,,"See FINDOM execution plan."
Fansly,AI Findom Persona #1,AI_INFLUENCER,NOT_STARTED,,,,
Skool,PRINTMAXX Academy ($49-97/mo),COMMUNITY,NOT_STARTED,,,,"Launch after 100+ product customers."
