meta_id,meta_name,category,detected_date,velocity_score,coin_potential,product_potential,content_potential,time_window,applicable_niches,historical_pattern_match,status,evidence_summary
META023,ChatGPT Health Vertical,tech,2026-02-06,7,2,8,9,months,"N003,N002",TOOL_ARB,ACTIVE,"ChatGPT health expansion. Prompt playbook opportunity."
META024,75 Medium Challenge,fitness,2026-02-06,8,2,8,10,weeks,N002,ROUTINE,ACTIVE,"Softer 75 Hard variant. 611K TikTok + 943K IG posts on 75 Hard. Tracker app or Notion template."
META025,Japanese Interval Walking,fitness,2026-02-06,9,1,7,10,months,N002,ROUTINE,ACTIVE,"10M TikTok + 17M YouTube views. #1 fitness trend 2026 PureGym. Walking interval timer app."
META026,Sleepmaxxing Movement,wellness,2026-02-06,9,3,10,10,months,"N002,N009",ROUTINE,ACTIVE,"125M+ TikTok posts. Nose strips +3000%. Smart ring searches +529%. Bundle product opportunity."
META027,GLP-1 Supplement Gold Rush,wellness,2026-02-06,10,4,10,9,months,N002,TOOL_ARB,ACTIVE,"GLP-1 patches TikTok Shop. Berberine $2.1B market by 2033. Sales +165% YoY. Affiliate + white-label."
META028,Rucking Fitness Boom,fitness,2026-02-06,8,2,9,9,months,N002,ROUTINE,ACTIVE,"GORUCK 4000+ Amazon reviews. Burns 3x calories. Budget Basic Rucker = mass market signal."
META029,Seed Oil Free Movement,wellness,2026-02-06,8,3,9,9,months,"N002,N009",CONTROVERSY,ACTIVE,"Sales +216% Q1 2026 SPINS. Steak N Shake + Popeyes + BWW ditching seed oils. RFK backing."
META030,Scotty K Fitness Doxxing,fitness,2026-02-06,7,0,2,9,days,N002,CONTROVERSY,FADING,"4.4M TikTok. Doxxed commenters. RYSE dropped Jan 29. Time-sensitive engagement."
META031,Reformer Pilates Explosion,fitness,2026-02-06,8,1,9,9,months,N002,ROUTINE,ACTIVE,"Studio Pilates $888K avg unit vol. Market $244.5B to $583.6B by 2035."
META032,Creatine for Women,wellness,2026-02-06,8,2,9,10,months,N002,ROUTINE,ACTIVE,"Market $1.11B to $4.21B by 2030. CNN + Mel Robbins viral. Women-specific brand opportunity."
META033,Peptide Underground,wellness,2026-02-06,9,5,8,10,months,"N002,N009",NOVEL,ACTIVE,"Chinese peptides NYT Jan 2026. BPC-157 ATH searches. 50M+ TikTok views. Gray market $200/mo vs $1K Rx."
META034,Claude Opus 4.6 Agent Teams,AI,2026-02-06,10,2,9,10,weeks,N003,TOOL_ARB,ACTIVE,"Released Feb 5. 1M token context. Agent teams. MCP Tool Search. Outperforms GPT-5.2 by 144 Elo."
META035,Grok Deepfake Ban Crisis,AI,2026-02-06,9,4,5,10,weeks,N003,CONTROVERSY,ACTIVE,"6700 sexualized images/hr. Malaysia + Indonesia banned. CA stop order. EU DSA proceeding."
META036,DeepSeek R2/V4 Imminent,AI,2026-02-06,9,7,6,10,days,N003,CONTROVERSY,TIME_SENSITIVE,"Mid-Feb 2026 expected. R2 multimodal reasoning. Last release crashed tech stocks. Adjacent tokens pump on release."
META037,Vibe Coding $29B Economy,tech,2026-02-06,10,3,10,10,months,N003,TOOL_ARB,ACTIVE,"Cursor $29.3B. $1B ARR in 24mo fastest SaaS ever. 41% code AI-generated. Lovable $100M ARR in 8mo."
META038,MCP Protocol Standard War,tech,2026-02-06,8,3,8,9,months,N003,TOOL_ARB,ACTIVE,"MCP Linux Foundation AAIF. Competing: IBM ACP + Google A2A + UTCP. MCP Apps emerging."
META039,OpenAI Operator Browser Agent,AI,2026-02-06,9,4,8,10,months,N003,NOVEL,ACTIVE,"GPT-5 CUA. 87% success rate. Anthropic + Google competitors. Agent workflow templates."
META040,PumpSwap Memecoin Season,crypto,2026-02-06,9,8,5,8,weeks,N033,NOVEL,ACTIVE,"PumpSwap DEX $2B ATH. 37K+ tokens/day. PUMP ICO $1.3B. 98% fail in 24hrs."
META041,AI Agent Memecoin Convergence,crypto,2026-02-06,9,9,7,9,weeks,"N003,N033",GHIBLI,ACTIVE,"$MOLT +7000%. 30K+ autonomous agents. VIRTUAL $103M daily vol. TAO/RNDR/FET. Highest velocity crypto."
META042,RWA Tokenization Breakout,crypto,2026-02-06,8,7,8,8,months,"N007,N014",NOVEL,ACTIVE,"Most profitable narrative 2025 (185.8% avg). On-chain RWAs $5.5B to $18.6B. BlackRock BUIDL $1.7B."
META043,Sora 2 + Runway Gen-4.5,AI,2026-02-06,8,2,9,10,months,N003,TOOL_ARB,ACTIVE,"Temporal consistency solved. Sundance 2026 AI shorts. $0.10-$0.50/sec API. Cinematic quality."
META044,Frieren S2 MAL Takeover,entertainment,2026-02-06,9,6,7,10,weeks,N016,GHIBLI,ACTIVE,"9.32 MAL = #1 all-time. 6.44M viewers. 35M manga copies. First to hold #1 AND #2."
META045,Scott Galloway Tech Boycott,tech,2026-02-06,8,3,5,10,weeks,N003,CONTROVERSY,TIME_SENSITIVE,"Resist and Unsubscribe Feb 1-28. First AI company in organized boycott. 4.6M audience."
META046,JJK S3 Culling Game,entertainment,2026-02-06,8,4,6,9,weeks,N016,GHIBLI,ACTIVE,"Japan #1 Winter 2026 anime. Culling Game arc. Cross-fandom buzz."
META047,Chainsaw Man Hell Arc,entertainment,2026-02-06,8,5,5,9,months,N016,GHIBLI,ACTIVE,"Ch 225-228 Hell Arc. Power + Nayuta return. Reze movie confirmed. Locust Devil trending."
META048,Roblox Brainrot Simulators,gaming,2026-02-06,9,3,8,8,weeks,N016,NOVEL,ACTIVE,"25M CCU record. Escape Tsunami trending. Meme IP + collector + Roblox. $330M+ UGC market."
META049,Grow a Garden Roblox,gaming,2026-02-06,10,2,7,8,months,N016,NOVEL,ACTIVE,"32B+ visits. $12M/mo revenue. 22.3M peak CCU = video game history. Fastest to 1B visits (33 days)."
META050,Nintendo Switch 2 Launch,gaming,2026-02-06,9,2,6,10,months,N016,TOOL_ARB,ACTIVE,"Direct Feb 5 ~30 games. Oblivion + FF7 Rebirth + Fallout 4. Built-in webcam + mic."
META051,Resident Evil Requiem,gaming,2026-02-06,8,3,5,9,weeks,N016,GHIBLI,ACTIVE,"Feb 27 launch. Grace Ashcroft protagonist. Fortnite crossover. 5M+ guaranteed sales."
META052,AI Manga Bestseller,content,2026-02-06,8,4,7,9,months,N016,NOVEL,ACTIVE,"#1 Japan e-book platform. 100% AI art. Boycott threats + industry debate. New creation method."
META053,n8n AI Workflow Automation,tech,2026-02-06,8,2,9,9,months,N003,TOOL_ARB,ACTIVE,"$180M Series C $2.5B valuation. 173K GitHub stars. 500+ integrations. Nvidia Ventures."
META054,MAHA Seed Oil Free Gold Rush,alternative,2026-02-06,9,3,10,10,months,"N002,N009",CONTROVERSY,ACTIVE,"White House priority. Sales +216% SPINS. $5.92B market to $11.53B by 2033. Major chains switching."
META055,Beef Tallow Skincare TikTok,alternative,2026-02-06,8,2,9,10,months,"N002,N009",ROUTINE,ACTIVE,"50K+ TikTok posts. Top 33 skincare trend. Texas ranchers pivoting. Dermatologist backlash loop."
META056,Ramadan 2026 Creator Economy,faith,2026-02-06,9,2,9,10,weeks,N001,TOOL_ARB,TIME_SENSITIVE,"Ramadan Feb 17. Muslims $2.29T spending. Modest fashion $428B. Must launch by Feb 10."
META057,Lent Digital Detox Challenge,faith,2026-02-06,7,1,8,9,weeks,N001,ROUTINE,TIME_SENSITIVE,"Lent Feb 18. 40-Day Social Media Fast. 10M participants digital detox Jan. Launch by Feb 14."
META058,Hallow Prayer App Category,faith,2026-02-06,8,2,10,8,months,N001,NOVEL,ACTIVE,"$380M valuation 18M downloads $3M/mo. YouVersion 700M installs. Build Islamic prayer app."
META059,Gold Record Rally Content,finance,2026-02-06,9,4,7,10,months,"N007,N014",CONTROVERSY,ACTIVE,"Gold ATH $5595. Goldman $5400 forecast. Analysts $7615-$8491. 71% retail bullish."
META060,Tariff Wars Engagement Storm,finance,2026-02-06,10,3,6,10,weeks,N007,CONTROVERSY,ACTIVE,"25% tariffs Canada/Mexico. 50% threatened aircraft. Every announcement = engagement spike."
META061,Vibe Coding Side Hustle,tech,2026-02-06,9,3,10,10,months,"N003,N007",TOOL_ARB,ACTIVE,"Cursor $9B. Builds $300-$5K. Micro-SaaS $5-15/mo. Apps $50K-$100K+/mo."
META062,AI Agent Memecoin Meta,crypto,2026-02-06,9,9,7,9,weeks,"N003,N033",GHIBLI,ACTIVE,"$MOLT +7000% CoinDesk. 30K+ autonomous agents. VIRTUAL $103M daily. TAO/ICP/AIXBT top mcap."
META063,Prepper Market Mainstream,alternative,2026-02-06,8,3,9,9,months,N009,ROUTINE,ACTIVE,"$14.1B market to $26.7B by 2031. Survival kit ecommerce +239.8%. Smart survival mainstream."
META064,Tradwife Brand Empire,alternative,2026-02-06,8,2,10,10,months,N009,ROUTINE,ACTIVE,"Ballerina Farm 22M followers $6.5-8.3M/yr. Nara Smith 12M+. #tradwife 175M+ views."
META065,Christian Creator Economy,faith,2026-02-06,7,2,9,9,months,N001,ROUTINE,ACTIVE,"Creator economy $20.64B to $40B+. Christian retail $4.2B. Faith underserved."
META066,Dietary Guidelines Upheaval,alternative,2026-02-06,9,2,8,10,weeks,"N002,N009",CONTROVERSY,ACTIVE,"New guidelines Jan 7. More protein + full-fat dairy + less UPF. 70% grocery is UPF."
META067,Manifestation Gen Z,faith,2026-02-06,7,3,8,9,months,"N001,N009",ROUTINE,ACTIVE,"62% 18-24 spiritual. WitchTok 23B+ views. 33x3 and 55x5 methods trending."
META068,Dividend Passive Income,finance,2026-02-06,7,2,7,9,months,"N007,N014",ROUTINE,ACTIVE,"Dividend Kings 55 cos 50yr+ raises. 10% yields. 2 rate cuts expected 2026."
META069,Manosphere Adolescence Backlash,alternative,2026-02-06,8,2,6,10,weeks,N009,CONTROVERSY,ACTIVE,"Netflix 96.7M views 3 weeks. Golden Globes. UK schools. Highly polarized."
META070,18-Year Real Estate Cycle,finance,2026-02-06,7,2,8,8,months,N007,NOVEL,ACTIVE,"BiggerPockets: cycle ends 2026. House hacking strongest entry. Jacksonville KC Nashville."
META071,AI Prompt Selling Economy,tech,2026-02-06,8,2,9,9,months,N003,TOOL_ARB,ACTIVE,"Prompt marketplace side hustle. AI consulting $75-150/hr+."
META072,Sovereignty Doctrine / Hard Assets,finance,2026-02-06,8,5,7,9,months,N007,CONTROVERSY,ACTIVE,"5 assets for 2026 survival cycle. Gold $5595. Defense stocks. Currency debasement."
META073,Dopamine Menu Trend,lifestyle,2026-02-06,7,1,8,9,months,N009,ROUTINE,ACTIVE,"Low-stimulus pleasure lists. WEF coverage. 500M+ #DopamineDetox. 42% F500 digital wellness."
META074,Shy Girl Workouts,fitness,2026-02-06,7,1,7,9,months,N002,ROUTINE,ACTIVE,"315M+ TikTok views. 1 in 4 women avoid gym. At-home equipment bundles."
META075,Monk Mode / Dopamine Detox,lifestyle,2026-02-06,7,2,8,9,months,N009,ROUTINE,ACTIVE,"#monkmode 73M+ TikTok views. WEF coverage. 30/60/90 day challenges."
META076,Pickleball/Padel Racquet Sports,fitness,2026-02-06,8,2,9,8,months,N002,ROUTINE,ACTIVE,"36.5M Americans play. Market $2.2B to $9.1B by 2034. Padel 38% YoY growth."
META077,Fitness-to-Politics Pipeline,lifestyle,2026-02-06,7,3,7,10,weeks,"N002,N009",CONTROVERSY,ACTIVE,"Men's Health Feb 2026. Manosphere-fitness overlap. Political content +50% views."
META078,Hybrid Training Programs,fitness,2026-02-06,7,1,8,8,months,N002,ROUTINE,ACTIVE,"Strength + cardio + mobility combined. Hyrox feeds into this."
META079,Perplexity Comet Browser,AI,2026-02-06,8,3,7,9,months,N003,TOOL_ARB,ACTIVE,"780M queries/mo. Projected 1.2-1.5B mid-2026. First real Chrome competitor. AI-native."
META080,ElevenLabs Voice AI Economy,AI,2026-02-06,8,3,9,9,months,N003,TOOL_ARB,ACTIVE,"$330M ARR $11B valuation Feb 4. 29-language dubbing. Mr Nightmare 29M views."
META081,Manus AI Meta Acquisition,AI,2026-02-06,7,4,5,9,months,N003,CONTROVERSY,ACTIVE,"Meta acquiring $2-3B. Chinese regulatory review. 138K Discord. First general AI agent."
META082,Social Media Trial,tech,2026-02-06,7,2,4,10,weeks,N003,CONTROVERSY,ACTIVE,"Meta + YouTube + TikTok accused harming youth. Zuckerberg + Mosseri testify."
META083,GPT-5.2 Model Retirement,AI,2026-02-06,7,2,5,8,weeks,N003,TOOL_ARB,TIME_SENSITIVE,"Feb 13 retirement GPT-4o + GPT-4.1 + o4-mini. Migration urgency."
META084,AI Video + Audio Sync,AI,2026-02-06,8,2,8,9,months,N003,TOOL_ARB,ACTIVE,"Sora 2 synced dialogue. Runway Gen-4.5 cinematic physics. Sundance 2026 milestone."
META085,TRUMP Memecoin Political,crypto,2026-02-06,7,6,4,9,months,N033,CONTROVERSY,MONITORING,"$5.37B peak mcap. Dinner controversy. DOJ investigation demanded."
META086,Bad Bunny Grammy Meme,entertainment,2026-02-06,8,5,3,9,days,N033,CONTROVERSY,FADING,"AOTY viral reaction. 48-72hr engagement window. Grammy memes."
META087,TikTok Wabi-Sabi Trend,content,2026-02-06,7,2,6,8,days,N009,ROUTINE,FADING,"~500K videos KotH audio. Body positivity. POD merch angle."
META088,No Hands Dance Challenge,content,2026-02-06,7,1,3,8,days,N009,ROUTINE,FADING,"@rivernovin 30.1M likes. High participation."
META089,5120x1080 Panoramic Reels,content,2026-02-06,7,0,5,9,weeks,N009,TOOL_ARB,ACTIVE,"Ultra-wide Reels 1M+ views. Netflix + BMW using. Algorithm boost early adopters."
META090,Video Podcast YouTube Dominance,content,2026-02-06,8,1,7,9,months,N003,ROUTINE,ACTIVE,"YouTube #1 podcast platform 39%. 50.6% shows post video. 619M global listeners."
META091,Pinkfong IP Memecoin Pattern,entertainment,2026-02-06,6,8,3,5,weeks,N033,GHIBLI,MONITORING,"Baby Shark tokenized Story Protocol. $519M mcap then -90%. Licensed IP + coin pattern."
META092,Roblox UGC Creator Economy,gaming,2026-02-06,8,2,9,9,months,N016,TOOL_ARB,ACTIVE,"$740M+ dev payouts. Top 1000 avg ~$1M. UGC $330M+. 30% creator take."
META093,Gaming NFT Interoperability,gaming,2026-02-06,6,5,6,5,months,N016,NOVEL,MONITORING,"Gaming NFTs 38% of volume. $60.82B forecast. Dynamic AI-powered NFTs."
META094,Kick Drama Streaming,entertainment,2026-02-06,7,2,4,8,months,N016,CONTROVERSY,ACTIVE,"Kick Big Four platform. korekore_ch 115K peak. Drama/conspiracy content."
META095,Blue Lock Anime-to-Roblox,gaming,2026-02-06,7,3,6,8,months,N016,GHIBLI,ACTIVE,"Blue Lock Rivals 12.8K CCU. Anime IP -> Roblox pipeline."
META096,UGC Performance Marketing,content,2026-02-06,7,1,8,7,months,N003,TOOL_ARB,ACTIVE,"Market growing 27% to $18.6B by 2031. 600% ROI. 40% conversion increases."
META097,CapCut vs Canva Video War,content,2026-02-06,7,0,7,8,months,N003,TOOL_ARB,ACTIVE,"CapCut #1 viral editing. Canva Video 2.0 targeting. Both adding AI script-to-video."
META098,Oblivion Remastered Switch 2,gaming,2026-02-06,7,3,4,8,months,N016,ROUTINE,ACTIVE,"First Oblivion on Nintendo. 20yr nostalgia cycle. NPC memes evergreen."
META099,Dandadan Cross-Media,entertainment,2026-02-06,7,3,5,8,months,N016,GHIBLI,ACTIVE,"Shogakukan Award 2026. S3 confirmed. Netflix global. Supernatural sci-fi blend."
META100,AI Faceless Documentary Channels,content,2026-02-06,8,1,8,9,months,N003,TOOL_ARB,ACTIVE,"30% of viral content. Infographics Show $2.5M/yr. True crime + horror evergreen."
META101,Base Chain Memecoins,crypto,2026-02-06,7,7,5,7,months,N033,NOVEL,ACTIVE,"$585M combined ~330 tokens. Brett $173M. Coinbase ecosystem retail on-ramp."
META102,Resident Evil Requiem Launch,gaming,2026-02-06,8,3,5,9,weeks,N016,GHIBLI,ACTIVE,"Feb 27 launch. Grace Ashcroft. Fortnite crossover. 5M+ guaranteed."
