method_id,method_name,category,status,revenue_model,time_to_first_dollar,effort_level,revenue_potential,scalability,automation_level,platform_risk,legal_risk,priority,notes,source_file,monthly_potential_low,monthly_potential_high,stacks_with,synergy_score,synergy_type,cross_sell_products,shared_audience,automation_combo,revenue_multiplier,synergy_notes
CF008,FINANCE_NEWS,CONTENT_FARM,New,Affiliate + Course,,,,,Medium,,,Phase3,Money crypto news,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF009,TECH_EXPLAINERS,CONTENT_FARM,New,Affiliate + SaaS,,,,,Medium,,,Phase3,Tech AI content,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF010,SPORTS_HIGHLIGHTS,CONTENT_FARM,New,Ads + Betting Affiliate,,,,,High,,,Phase3,Sports clips,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
AI001,NICHE_EXPERTS,AI_INFLUENCER,New,Sponsorships + Courses,,,,,Medium,,,Phase1,Thought leader personas,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
AI002,FINDOM,AI_INFLUENCER,New,Tributes + Custom,,,,,Medium,,,Phase4,Financial domination,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
AI003,ONLYFANS_FANSLY,AI_INFLUENCER,New,Subs + PPV,,,,,Medium,,,Phase4,Adult content,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
AI004,ASMR,AI_INFLUENCER,New,Ads + Patreon,,,,,High,,,Phase3,Relaxation sensory,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
AI005,FITNESS_COACHES,AI_INFLUENCER,New,Programs + Affiliate,,,,,Medium,,,Phase3,Health fitness,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
AI006,LIFESTYLE_CURATORS,AI_INFLUENCER,New,Sponsorships + Affiliate,,,,,Medium,,,Phase3,Aesthetic travel,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
AI007,GAMING_PERSONAS,AI_INFLUENCER,New,Sponsorships + Merch,,,,,Medium,,,Phase3,Gaming esports,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
AI008,RELATIONSHIP_ADVICE,AI_INFLUENCER,New,Courses + Coaching,,,,,Medium,,,Phase3,Dating self-help,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM012,ALGO_TRADING,CORE,Planning,Signals + Courses,,,,,Medium,,,Phase3,Automated trading strategies + education,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM013,PAID_ADS,CORE,Planning,Traffic Arbitrage,,,,,Medium,,,Phase2,Facebook TikTok Google ads,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM014,YOUTUBE_LONGFORM,CORE,Planning,Ads + Sponsorships,,,,,Low,,,Phase3,Long-form YouTube content,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM015,NEWSLETTER,CORE,Planning,Subs + Sponsors + Affiliate,,,,,Medium,,,Phase2,Substack Beehiiv ConvertKit Ghost - $20-200 CPM sponsors 5-10% paid conversion $5-50/mo - Faith Fitness AI niches - NEWSLETTER_DEEP_DIVE.md,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM016,TIKTOK_SHOP,CORE,Planning,Product Sales,,,,,High,,,Phase2,TikTok Shop affiliate and products,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
SWARM001,SWARM_PROMOTION,STRATEGY,New,Coordinated Traffic,,,,,High,,,Phase2,Multi-account coordinated virality,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF011,CRYPTO_NEWS,CONTENT_FARM,New,Affiliate + Signals,,,,,High,,,Phase2,Crypto trading content,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF012,STOCK_RESEARCH,CONTENT_FARM,New,Affiliate + Course,,,,,Medium,,,Phase3,Stock analysis content,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
CF013,YOUTUBE_SHORTS,CONTENT_FARM,New,Ads + Creator Fund,,,,,High,,,Phase1,YouTube Shorts automation,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM017,MICRO_INFLUENCER_NETWORK,CORE,New,Performance + Retainer,,,,,Medium,,,Phase1,500 clipper model - $1/1k views network,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM018,PAYWALL_OPTIMIZATION_SERVICE,CORE,New,Retainer + Revenue Share,,,,,Low,,,Phase2,A/B testing service for apps - 2.9x conversion proven,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM019,PORTFOLIO_APP_BUILDER,CORE,Active,IAP + Subs Multi-App,,,,,Medium,,,Phase1,30-app portfolio strategy - 2-3 apps/month,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM020,X_LAUNCH_VIRAL,CORE,New,Product MRR,,,,,Low,,,Phase1,Comment-driven X launches - $10k MRR no ads proven,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM021,PERSONAL_BRAND_SEO,CORE,Active,Consulting + Courses + Sponsorships,,,,,Low,,,Phase1,Build-in-public journey - Google Jan 2026 favors authentic,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM022,ECOM_DROPSHIP,Temu/AliExpress to Etsy/eBay/Amazon arbitrage,$100-500,dropship_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM023,ECOM_ARB,Trending product arbitrage - find demand then source,$50-200,ecom_arb_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM024,PRINT_ON_DEMAND,Printful/Printify custom merch,$0-100,pod_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM025,DIGITAL_PRODUCTS,Notion templates Gumroad Lemon Squeezy,$0-50,digital_products_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM026,AMAZON_KDP,Low content books journals planners,$0-100,kdp_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM027,AI_WRAPPER,Quick wrappers around OpenAI/Claude APIs,$50-200,ai_wrapper_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM028,MICRO_SAAS,Single-feature SaaS tools,$100-500,micro_saas_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM029,LOCAL_LEAD_GEN,GMB optimization rank and rent,$100-300,local_lead_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM030,COURSE_CREATOR,Skool/Teachable/Kajabi courses,$50-200,course_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM031,COMMUNITY_PAID,Discord/Skool paid communities,$0-100,community_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM032,NEWSLETTER_PREMIUM,Substack/Ghost/Beehiiv paid,$0-50,newsletter_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM033,WHITE_LABEL,Resell software/services as own,$100-500,whitelabel_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM034,MEMECOIN_TRADING,Early memecoin identification and trading,$100-1000,memecoin_ops,,,,,,,,HIGH_RISK,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM035,YOUTUBE_AUTOMATION,Full channel management cash cow,$200-500,yt_automation_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM036,ETSY_DIGITAL,Etsy digital downloads SVGs templates,$0-50,etsy_digital_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM037,TIKTOK_CREATIVITY,TikTok creativity program (1M+ views),$0,tiktok_creativity_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM038,PINTEREST_AFFILIATE,Pinterest to affiliate offers,$0-50,pinterest_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM039,FACELESS_YOUTUBE,AI narration + stock footage channels,$100-300,faceless_yt_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM040,TWITTER_MONETIZATION,Twitter/X subscriptions + tips,$0,twitter_monetization_ops,,,,,,,,ACTIVE,,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM041,DIRECTORY_LISTING_SITES,CORE,New,Featured Listings + Subs,,,,,High,,,Phase2,Niche directories with premium placements - $100-500/mo small to $5k-50k/mo established,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM042,WAITLIST_PRESALE_SERVICE,CORE,New,Presale + Conversion,,,,,Medium,,,Phase1,25-85% conversion vs 2-4% traditional - £144k in 2 weeks proven (Jammy Digital),MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM043,INFLUENCER_REVENUE_SHARE,CORE,New,Hybrid Base + Performance,,,,,Medium,,,Phase2,Equity + revenue share partnerships emerging 2026 - align interests long-term,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM044,RAPID_BUILD_MONETIZATION,CORE,New,Featured + Sponsorships,,,,,High,,,Phase1,48-hour builds to $6k MRR - OpenAlternative $57k revenue 516% growth proof,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM045,DOMAIN_FLIPPING,CORE,New,Asset Sales 200-10000%,,,,,Medium,,,Phase2,Buy domains cheap sell high - expired catching hand reg aftermarket arb,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM046,NOTION_TEMPLATES,CORE,New,Digital Product Sales,,,,,High,,,Phase1,Notion templates on Gumroad - zero marginal cost scalable cross-sells with apps,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
MM070,WEB_REDESIGN_COLD_OUTREACH,AGENCY_SERVICES,ACTIVE,Project,,,,,High,,,Phase1,Scrape local businesses -> analyze website quality (15 signals) -> auto-generate modern landing pages -> cold email with preview link -> close at $500-2K per site. Full automation pipeline: free dependencies (requests beautifulsoup4 tqdm) 10 email templates included budget estimation by category. 25% close rate proven.,MONEY_METHODS_TRACKER.csv,,,,,,,,,,
