product_name,tagline,upvotes,category,url,source_feed,published_date,relevance_score,relevance_level,relevance_summary,scraped_date,status
Maxclaw on Mobile,"Build apps, research deeply and automate multi-step tasks",N/A,AUTOMATION,https://www.producthunt.com/products/maxclaw-on-mobile,ai_tools,2026-03-02,2,MEDIUM,Automation/scraping/API tool. Direct overlap with our automation stack.,2026-03-07,PENDING_REVIEW
getviktor.com,Your AI Coworker that proactively executes tasks,N/A,AI_MODELS,https://www.producthunt.com/products/viktor,productivity,2026-03-02,1,LOW,New AI model launch. Track for cost/capability improvements in our pipeline.,2026-03-07,PENDING_REVIEW
AgentCenter for OpenClaw,Mission Control for your OpenClaw agents.,N/A,AI_AGENTS,https://www.producthunt.com/products/agentcenter-for-openclaw,productivity,2026-03-01,2,MEDIUM,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
Kimi Claw,"OpenClaw now lives natively on Kimi, 24/7",N/A,AI_AGENTS,https://www.producthunt.com/products/kimi-ai-assistant,productivity,2026-03-01,1,LOW,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
SuperPowers AI,Real time ambient visual agents for phones and wearables,N/A,AI_AGENTS,https://www.producthunt.com/products/superpowers-ai-2,ai_tools,2026-03-01,2,MEDIUM,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
BU,Openclaw in the cloud,N/A,AI_AGENTS,https://www.producthunt.com/products/browser-use,productivity,2026-02-28,1,LOW,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
OpenFang,Open-Source Agent Operating System,N/A,AI_AGENTS,https://www.producthunt.com/products/openfang,productivity,2026-02-28,1,LOW,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
PromptURLs,"Turn any prompt into a shareable URL for ChatGPT, Claude",N/A,AI_MODELS,https://www.producthunt.com/products/prompturls,productivity,2026-02-27,2,MEDIUM,New AI model launch. Track for cost/capability improvements in our pipeline.,2026-03-07,PENDING_REVIEW
cmux,The open-source terminal built for coding agents,N/A,AI_AGENTS,https://www.producthunt.com/products/cmux,productivity,2026-02-27,3,MEDIUM,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
KatClaw,Your AI assistant to automate without scripts on Mac,N/A,AUTOMATION,https://www.producthunt.com/products/katclaw-mac-automation-made-easy,productivity,2026-02-27,2,MEDIUM,Automation/scraping/API tool. Direct overlap with our automation stack.,2026-03-07,PENDING_REVIEW
SellShots,High-converting AI product photos in seconds,N/A,AI_MODELS,https://www.producthunt.com/products/sellshots-2,marketing,2026-02-27,1,LOW,New AI model launch. Track for cost/capability improvements in our pipeline.,2026-03-07,PENDING_REVIEW
Anything API,Any website. We deliver the API.,N/A,AUTOMATION,https://www.producthunt.com/products/notte,ai_tools,2026-02-27,1,LOW,Automation/scraping/API tool. Direct overlap with our automation stack.,2026-03-07,PENDING_REVIEW
The Claw News,OpenClaw agents publishing daily news,N/A,AI_AGENTS,https://www.producthunt.com/products/the-claw-news,productivity,2026-02-27,3,MEDIUM,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
Crawler.sh,Free Local AEO & SEO Spider and a Markdown content extractor,N/A,MARKETING_SALES,https://www.producthunt.com/products/crawler-sh,marketing,2026-02-26,2,MEDIUM,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
Heywa,Tappable visual stories instead of ChatGPT text walls,N/A,MARKETING_SALES,https://www.producthunt.com/products/heywa,ai_tools,2026-02-26,2,MEDIUM,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
Voicr,"Your voice in, polished text out - in seconds",N/A,VOICE_AUDIO,https://www.producthunt.com/products/voicr,productivity,2026-02-26,1,LOW,Voice/audio AI tool. Monitor for TTS pipeline upgrades.,2026-03-07,PENDING_REVIEW
Golf,Enterprise MCP Control Plane,N/A,AI_AGENTS,https://www.producthunt.com/products/golf,ai_tools,2026-02-25,1,LOW,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
JDoodleClaw,The most user-friendly OpenClaw. Securely hosted.,N/A,AI_AGENTS,https://www.producthunt.com/products/jdoodle-claw,productivity,2026-02-25,1,LOW,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
Enia Code,Proactive AI that refines code & learns your standards,N/A,DEV_TOOLS,https://www.producthunt.com/products/enia-code,ai_tools,2026-02-24,2,MEDIUM,Dev tool for coding agents/workflows. Relevant if we can use/resell to indie devs.,2026-03-07,PENDING_REVIEW
Scenescroll,Realistic AI UGC video ads that grow your brand quickly,N/A,MARKETING_SALES,https://www.producthunt.com/products/scenescroll,marketing,2026-02-24,4,HIGH,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
DemoMe,Turn screen recordings into polished demo videos instantly,N/A,CONTENT_CREATION,https://www.producthunt.com/products/demome,marketing,2026-02-24,1,LOW,Content creation tool. Relevant to our content machine and niche accounts.,2026-03-07,PENDING_REVIEW
ClawPane,"One API. LLM routing for cost, task-fit, latency per request",N/A,AUTOMATION,https://www.producthunt.com/products/clawpane,ai_tools,2026-02-23,2,MEDIUM,Automation/scraping/API tool. Direct overlap with our automation stack.,2026-03-07,PENDING_REVIEW
Epismo Skills,Everything your agent needs to run reliably,N/A,AI_AGENTS,https://www.producthunt.com/products/epismo,productivity,2026-02-23,1,LOW,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
OpenHunt,AI-native launch layer for the post-algorithm internet,N/A,CONTENT_CREATION,https://www.producthunt.com/products/openhunt,marketing,2026-02-22,2,MEDIUM,Content creation tool. Relevant to our content machine and niche accounts.,2026-03-07,PENDING_REVIEW
Key Visual,Automate marketing visuals with AI and live CMS data,N/A,MARKETING_SALES,https://www.producthunt.com/products/key-visual,marketing,2026-02-20,3,MEDIUM,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
Arzule,Turn partnerships into predictable revenue with AI,N/A,AI_MODELS,https://www.producthunt.com/products/arzule,marketing,2026-02-19,2,MEDIUM,New AI model launch. Track for cost/capability improvements in our pipeline.,2026-03-07,PENDING_REVIEW
Notra,Turn your daily work into publish-ready content,N/A,MARKETING_SALES,https://www.producthunt.com/products/notra-3,marketing,2026-02-19,3,MEDIUM,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
Google Pomelli,Turn simple product photos into pro studio imagery instantly,N/A,CONTENT_CREATION,https://www.producthunt.com/products/google/launches/google-pomelli,marketing,2026-02-19,1,LOW,Content creation tool. Relevant to our content machine and niche accounts.,2026-03-07,PENDING_REVIEW
ChatWithAds,"From Data to AI-Assisted Decision, In One Conversation.",N/A,MARKETING_SALES,https://www.producthunt.com/products/chatwithads,marketing,2026-02-19,3,MEDIUM,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
Liftsell,Smart popups & widgets that track revenue,N/A,PRODUCTIVITY,https://www.producthunt.com/products/liftsell,marketing,2026-02-18,1,LOW,Productivity tool. Lower priority - monitor for solopreneur niche signal.,2026-03-07,PENDING_REVIEW
Reloop,Create winning ads without prompts or skills,N/A,MARKETING_SALES,https://www.producthunt.com/products/reloop/launches/reloop,marketing,2026-02-17,2,MEDIUM,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
WANotifier,All-in-one WhatsApp marketing & automation tool,N/A,MARKETING_SALES,https://www.producthunt.com/products/wanotifier,marketing,2026-02-17,3,MEDIUM,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
Omnia,Become the brand AI recommends,N/A,AI_MODELS,https://www.producthunt.com/products/omnia-2/launches/omnia-3,marketing,2026-02-17,1,LOW,New AI model launch. Track for cost/capability improvements in our pipeline.,2026-03-07,PENDING_REVIEW
Agent Monitor,Server-side analytics for AI & bot traffic,N/A,AI_AGENTS,https://www.producthunt.com/products/agent-monitor-track-ai-traffic/launches/agent-monitor,marketing,2026-02-16,3,MEDIUM,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
Marketing Agents Squad,Find AI agents to delegate your daily marketing grind,N/A,AI_AGENTS,https://www.producthunt.com/products/marketing-agents-squad/launches/marketing-agents-squad,marketing,2026-02-15,4,HIGH,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
Gemlet,"Native, keyboard-first Gemini client for macOS",N/A,AI_MODELS,https://www.producthunt.com/products/gemlet,ai_tools,2026-02-13,1,LOW,New AI model launch. Track for cost/capability improvements in our pipeline.,2026-03-07,PENDING_REVIEW
SearchSeal,Track what AI says about your brand. Get recommended.,N/A,AI_MODELS,https://www.producthunt.com/products/searchseal/launches/searchseal,marketing,2026-02-13,1,LOW,New AI model launch. Track for cost/capability improvements in our pipeline.,2026-03-07,PENDING_REVIEW
Superset,"Run an army of Claude Code, Codex, etc. on your machine",N/A,DEV_TOOLS,https://www.producthunt.com/products/superset-5,productivity,2026-02-10,2,MEDIUM,Dev tool for coding agents/workflows. Relevant if we can use/resell to indie devs.,2026-03-07,PENDING_REVIEW
Makers Page,Your hub to showcase your projects and verify your revenue,N/A,SAAS_INDIE,https://www.producthunt.com/products/makers-page/launches/makers-page,marketing,2026-02-09,2,MEDIUM,SaaS/indie tool. Market validation for niche we may already serve.,2026-03-07,PENDING_REVIEW
Atyla,"The SEO tool for ChatGPT, Gemini and AI search engines",N/A,MARKETING_SALES,https://www.producthunt.com/products/atyla/launches/atyla,marketing,2026-02-09,5,HIGH,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
Extrovert,Lead nurturing and warm outreach copilot for LinkedIn,N/A,MARKETING_SALES,https://www.producthunt.com/products/extrovert/launches/extrovert-6,marketing,2026-02-06,4,HIGH,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
Orange Slice,Claude Code for GTM,N/A,DEV_TOOLS,https://www.producthunt.com/products/orange-slice/launches/orange-slice,marketing,2026-02-05,2,MEDIUM,Dev tool for coding agents/workflows. Relevant if we can use/resell to indie devs.,2026-03-07,PENDING_REVIEW
Overlead,Find customers who are literally asking for your product,N/A,MARKETING_SALES,https://www.producthunt.com/products/overlead/launches/overlead,marketing,2026-02-05,2,MEDIUM,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
findable.,"Free marketing optimization for ChatGPT, Google AI, Claude",N/A,MARKETING_SALES,https://www.producthunt.com/products/findable-3/launches/findable-6,marketing,2026-02-02,4,HIGH,Marketing/sales automation tool. Potential competitor or integration for outbound pipeline.,2026-03-07,PENDING_REVIEW
Moltweet,Twitter for AI Agents,N/A,AI_AGENTS,https://www.producthunt.com/products/moltweet/launches/moltweet,marketing,2026-02-01,3,MEDIUM,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
Optibase: Beyond A/B Testing,"Run A/B, split, and multivariate tests directly in Webflow",N/A,PRODUCTIVITY,https://www.producthunt.com/products/a-b-testing-for-webflow/launches/optibase-beyond-a-b-testing,marketing,2026-02-01,1,LOW,Productivity tool. Lower priority - monitor for solopreneur niche signal.,2026-03-07,PENDING_REVIEW
24CallDesk,AI call agent and workflow automations for small businesses,N/A,AI_AGENTS,https://www.producthunt.com/products/24calldesk/launches/24calldesk,marketing,2026-02-01,4,HIGH,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
InboxAgents,"Smart, unified inbox for LinkedIn, email & social media.",N/A,AI_AGENTS,https://www.producthunt.com/products/inboxagents,marketing,2026-01-21,4,HIGH,AI agent infrastructure - directly relevant to our agent swarm build. Watch for MCP integrations.,2026-03-07,PENDING_REVIEW
