Date,Niche,Platform,Mode,Follows,Likes,Replies,Posts,Flags,Notes
2026-01-21,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-21,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-21,Faith,X,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-21,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-21,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-21,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-21,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-21,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-21,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-21,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-22,AI,X,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,Faith,X,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-22,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 4
2026-01-23,AI,X,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,Faith,X,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-23,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 5
2026-01-24,AI,X,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,Faith,X,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-24,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 6
2026-01-25,AI,X,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,Faith,X,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-25,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 7
2026-01-26,AI,X,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,Faith,X,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-26,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 8
2026-01-27,AI,X,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,Faith,X,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-27,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 9
2026-01-28,AI,X,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,Faith,X,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-28,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 10
2026-01-29,AI,X,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,Faith,X,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-29,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 11
2026-01-30,AI,X,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,Faith,X,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-30,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 12
2026-01-31,AI,X,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,Faith,X,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 13
2026-01-31,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 13
2026-02-01,AI,X,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,Faith,X,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 14
2026-02-01,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 14
