repo_url,repo_name,category,stars,license,last_updated,language,security_status,usefulness_score,integration_potential,description,printmaxx_use_case
https://github.com/StJudeWasHere/seonaut,seonaut,SEO_TOOLS,624,MIT,2025-12,Go,CLEAN,80,MEDIUM,"Open-source SEO site audit tool. Crawlability + indexing analysis. Customizable crawls. Bypass robots.txt. Sitemap scanning.",Audit PRINTMAXX landing site + all content pages. Identify technical SEO issues before they hurt rankings.
https://github.com/StanGirard/seo-audits-toolkit,seo-audits-toolkit,SEO_TOOLS,768,MIT,2025-06,TypeScript,CLEAN,76,MEDIUM,"SEO and security audit toolkit. Lighthouse crawler + sitemap/keyword/image extraction + summarizer.",Combined SEO + security audits for all PRINTMAXX web properties. Useful for batch auditing multiple sites.
https://github.com/freqtrade/freqtrade,freqtrade,ALGO_TRADING,30000,GPL-3.0,2026-01,Python,CLEAN,85,MEDIUM,"Free crypto trading bot. Backtesting + ML strategy optimization. Multi-exchange. Telegram/WebUI management.",Algo trading research lane (MM012). GPL = can't resell but can use for own trading. Backtesting engine useful.
https://github.com/wangzhe3224/awesome-systematic-trading,awesome-systematic-trading,ALGO_TRADING,3500,MIT,2025-12,Markdown,CLEAN,82,MEDIUM,"Curated list of systematic trading libraries and resources. Crypto/stocks/futures/options/FX.",Reference for building algo trading infrastructure. Links to backtesting frameworks + alpha research tools.
https://github.com/merovinh/best-of-algorithmic-trading,best-of-algorithmic-trading,ALGO_TRADING,2800,CC-BY-SA-4.0,2025-12,Markdown,CLEAN,78,LOW,"Ranked list of algorithmic trading OSS. Frameworks + bots + tools + books + communities.",Companion to awesome-systematic-trading. Check for new backtesting libraries and data sources.
https://github.com/openrevenueorg/openrevenueorg,openrevenue,REVENUE_TRACKING,200,MIT,2025-08,TypeScript,CLEAN,72,MEDIUM,"Open-source revenue verification + showcase. TrustMRR alternative. Cryptographic verification. Self-hosted.",Build-in-public revenue transparency for PRINTMAXX. Verify and display revenue across all methods publicly.
https://github.com/vintasoftware/production-launch-checklist,production-launch-checklist,PRODUCT_LAUNCH,900,MIT,2025-06,Markdown,CLEAN,70,LOW,"Production launch checklist. Performance + security + CDN + caching. Battle-tested by agency.",Reference checklist before shipping any app or landing page. Cross-reference with our GTM_OPTIMIZATION_CHECKLIST.
https://github.com/meSingh/product-launch-checklist,product-launch-checklist,PRODUCT_LAUNCH,650,MIT,2024-08,Markdown,CLEAN,68,LOW,"Project go-live checklist. PageSpeed + CDN + HTTP cache + TTFB targets.",Simpler checklist complement. Good for quick pre-launch validation of PRINTMAXX properties.
https://github.com/openlaunch-org/Open-Launch,open-launch,PRODUCT_LAUNCH,300,Custom (Attribution Required),2025-12,Next.js,CAUTION_LICENSE,75,MEDIUM,"Open-source Product Hunt alternative. Submit + vote + comment + premium launches. Next.js + Tailwind + Shadcn.",Self-host our own launch platform. Custom license requires attribution dofollow link. Check license before commercial use.
https://github.com/PaulleDemon/Email-automation,email-automation,COLD_OUTBOUND,400,MIT,2025-09,Python,CLEAN,74,MEDIUM,"Open-source cold email outreach tool. Jinja2 templating. Schedule + personalize + send. No Gmail/Yahoo (use SMTP).",Lightweight alternative to Instantly/Smartlead for cold outreach testing. MIT license. Python = easy to customize.
https://github.com/catin-black/meteor-emails,meteor-emails,COLD_OUTBOUND,150,MIT,2025-06,Python,CLEAN,65,LOW,"Free cold email sender. Fight sales stagnation. Basic but functional.",Backup option for cold email if primary tools fail. Very basic. Better as reference for building custom sender.
https://github.com/punkpeye/awesome-mcp-servers,awesome-mcp-servers,MCP_TOOLS,15000,MIT,2026-01,Markdown,CLEAN,92,HIGHEST,"Curated list of MCP servers. Production-ready + experimental. File access + databases + APIs + integrations.",CRITICAL for MCP_SERVER_PRODUCTS (MM050). First-mover window shrinking. Audit this list weekly for gaps to fill.
https://github.com/modelcontextprotocol/servers,mcp-reference-servers,MCP_TOOLS,12000,MIT,2026-01,TypeScript/Python,CLEAN,90,HIGHEST,"Official MCP reference servers by Anthropic. Filesystem + Git + Memory + Fetch + Sequential Thinking.",Study reference implementations before building commercial MCP servers. MIT license = fork freely.
https://github.com/wong2/awesome-mcp-servers,awesome-mcp-servers-wong,MCP_TOOLS,8000,MIT,2026-01,Markdown,CLEAN,85,HIGH,"Alternative curated MCP server list. Domain-categorized. Active community.",Cross-reference with punkpeye list for comprehensive MCP landscape view. Find gaps to build MM050 products.
https://github.com/cline/mcp-marketplace,cline-mcp-marketplace,MCP_TOOLS,2000,MIT,2026-01,Markdown,CLEAN,88,HIGH,"Official Cline MCP marketplace submission repo. Quality standards + review process. Millions of Cline users.",Submit PRINTMAXX MCP servers here for distribution to Cline's user base. High-quality submission = instant distribution.
https://github.com/docmost/docmost,docmost,KNOWLEDGE_BASE,18500,AGPL-3.0,2025-12,TypeScript,CLEAN,72,LOW,"Open-source Notion/Confluence alternative. Real-time collaboration. Spaces. Excalidraw + Mermaid.",Possible internal wiki for PRINTMAXX ops documentation. AGPL = can't resell but fine for internal use.
https://github.com/Tanq16/ExpenseOwl,expenseowl,FINANCIAL_TRACKING,800,MIT,2025-10,Python,CLEAN,70,LOW,"Simple self-hosted expense tracker. Monthly pie charts. Category-based tracking.",Lightweight alternative to manual FINANCIALS/*.csv tracking. MIT license. Could complement our expense tracking.
https://github.com/onur-celik/invester,invester,FINANCIAL_TRACKING,300,MIT,2025-08,TypeScript,CLEAN,68,LOW,"Investment tracking dashboard. 10+ real-time widgets. Portfolio performance. Market trends.",Track capital genesis investments (stocks/crypto/RE). MIT license. Customizable widgets.
https://github.com/teles/awesome-seo,awesome-seo,SEO_TOOLS,755,MIT,2025-12,Markdown,CLEAN,74,LOW,"Curated list of SEO links. Crawlers + rank trackers + backlink checkers + tools.",Reference for discovering new SEO tools. Check quarterly against our GTM stack.
https://github.com/hr98w/solopreneur,solopreneur-showcase,REFERENCE,500,MIT,2025-12,Markdown,CLEAN,60,LOW,"Solopreneur stories and indie hacker showcase. Weekly digest format.",Inspiration + case study mining. Check for new money method discoveries and success patterns.
https://github.com/zinedkaloc/aipage.dev,aipage-dev,LANDING_PAGE,800,MIT,2025-06,TypeScript,CLEAN,70,MEDIUM,"Open-source AI landing page generator. Quick page creation with AI.",Rapid landing page generation for new products/methods. Could speed up launch velocity.
https://github.com/unfolding-io/StarFunnel,starfunnel,LANDING_PAGE,200,MIT,2025-10,Astro,CLEAN,72,MEDIUM,"Astro-powered landing page builder. Funnel-focused. Modern stack.",Landing page builder with funnel mindset. Astro = fast static pages for SEO/GEO.
https://github.com/wilsonfreitas/awesome-quant,awesome-quant,ALGO_TRADING,18000,MIT,2025-12,Markdown,CLEAN,80,MEDIUM,"Curated list of quantitative finance libraries and resources. Comprehensive coverage.",Cross-reference with awesome-systematic-trading. Discovery source for new backtesting + data tools.
https://github.com/mnwato/tradingview-scraper,tradingview-scraper,ALGO_TRADING,600,MIT,2025-12,Python,CLEAN,72,MEDIUM,"TradingView data scraper. OHLCV + real-time streaming + indicators. JWT-based.",Data source for algo trading signals. Scrape TradingView without paid API. MIT license.
https://github.com/sethblack/python-seo-analyzer,python-seo-analyzer,SEO_TOOLS,500,MIT,2025-06,Python,CLEAN,68,LOW,"Python SEO analyzer. Site structure + word count + technical SEO warnings.",Quick automated SEO checks for PRINTMAXX content pages. Lightweight Python script.
