date,platform,content,hashtags,media_type
2026-02-19,instagram,"week 1 results from viral product arbitrage testing.\n\n3 products tested. $240 in ad spend.\nProduct 1: $0 revenue (killed at $80)\nProduct 2: $204 revenue (2.5x ROAS, scaling)\nProduct 3: $47 revenue (1.2x ROAS, testing new creatives)\n\nnet: -$89 but we have a winner showing signal. scaling product 2 to $50/day tomorrow.","#ecommerce #dropshipping #buildinpublic #sidehustle",carousel
2026-02-20,twitter,"fun fact: you cannot 'rip' someone's ad and run it as your own. that's copyright infringement and Meta will ban your account. every guru who says 'just rip the winning ad' is giving you advice that will get you permanently banned. create inspired versions with your own footage.","#ecom #dropshipping",text
2026-02-21,twitter,"the subscription bolt-on is where this gets interesting. a posture corrector is a one-time $29.99 sale. but a 'posture correction program' with monthly resistance band refills and exercise guides? that's $14.99/mo recurring. LTV goes from $30 to $120+. installed ReCharge on Shopify today.","#ecom #dtc #subscription",text
2026-02-22,twitter,"week 2 update on the viral product arb:\n\nproduct 2 (posture corrector): $487 revenue on $160 ad spend. 3.0x ROAS.\nscaling to $80/day.\nordered 5 more UGC creatives from Fiverr ($35 each).\n\nstill net negative overall ($-89 + $487 - $160 - $175 UGC = $63 profit). but the trendline is right.","#buildinpublic #ecom",text
2026-02-23,twitter,"everyone romanticizes $10K/day screenshots. the reality of month 1 in ecom: you spend $2K, make $1.5K back, learn which creatives convert, realize your product page sucks, fix it, test again. the screenshot comes in month 3 if you're disciplined about killing losers fast.","#ecom #realtalk",text
2026-02-24,twitter,"the 70-80% failure rate in dropshipping isn't because the model doesn't work. it's because people:\n1. pick products without FB Ad Library validation\n2. make 2-3 ads instead of 20-30\n3. keep spending on losers hoping they'll work\n4. never transition to branded sourcing\n5. ignore email/SMS (free 20-30% revenue boost)","#dropshipping #ecom",text
2026-02-24,linkedin,"Two weeks into testing viral product arbitrage. Key learnings from spending $400 on Meta ads:\n\n1. Facebook Ad Library validation before testing saves 80% of wasted ad spend\n2. Creative volume matters more than creative quality - test 10x variations\n3. The $200 kill rule prevents emotional spending on dead products\n4. iPhone footage outperformed my polished video 2.3x on CTR\n5. Abandoned cart emails recovered 8% of lost sales (set up Klaviyo day 1)\n\nRunning $80/day on one validated product. 3.0x ROAS so far. The method works when you follow the data, not your gut.","#ecommerce #startup #solopreneur",text
2026-02-25,twitter,"just set up Klaviyo abandoned cart emails. 3-email sequence. takes 30 minutes. recovered $47 in the first 24 hours on a store doing $60-80/day. that's basically free money. 8% recovery rate. every dropshipper who skips email marketing is leaving money on the table.","#ecom #emailmarketing",text
2026-02-26,twitter,"my viral product scanner found something interesting. 'mushroom lamp' has 340+ active ads in FB library. multiple advertisers running for 60+ days. source cost on 1688: $1.20. sells for $24.99-34.99. the margins after branded sourcing would be insane. adding to test queue.","#ecom #productresearch",text
2026-02-27,twitter,"day 15 numbers. honest:\n\ntotal ad spend: $820\ntotal revenue: $1,247\nCOGS + shipping: $498\ngross profit: $749\nnet after ads: -$71\n\nstill slightly negative. but ROAS has trended from 1.2x (week 1) to 3.1x (this week). the curve is going the right way. one more week of data before i contact a sourcing agent.","#buildinpublic #ecom",text
2026-02-28,twitter,"the lifecycle of every viral product:\n\nweek 1-2: detection (10-30 ads)\nweek 3-6: early movers enter (30-100 ads)\nweek 6-12: peak (100-300 ads)\nmonth 3-4: saturation (300+ ads, rising CPMs)\nmonth 5-6: decline\n\nyou want to enter at 'early movers.' by 300+ ads you're late. my scanner catches products at 50-100 ads.","#ecom #dropshipping",text
2026-03-01,twitter,"contacted 3 sourcing agents on Alibaba for the posture corrector. current cost from AliExpress: $4.80/unit. quoted prices for 500 units with custom packaging:\n\nagent 1: $2.10/unit\nagent 2: $2.45/unit\nagent 3: $1.85/unit (MOQ 1000)\n\nthat's a 56-61% cost reduction. this is where margins go from 20% to 50%.","#ecom #sourcing",text
2026-03-02,twitter,"3 weeks in. the numbers are starting to make sense:\n\nweek 1: -$360 (testing 3 products)\nweek 2: +$63 (found winner, scaling)\nweek 3: +$312 (3.1x ROAS, $80/day spend)\n\ncumulative: +$15. barely profitable but the unit economics are proven. ordering 500 branded units next week. that's when margins double.","#buildinpublic #ecom",text
2026-03-03,twitter,"the single biggest lesson from 3 weeks of viral product arb: creative fatigue is real and it hits fast. my best performing ad went from 3.1x ROAS to 1.8x ROAS in 5 days. you MUST produce new creatives constantly. i'm now doing 5 new variations per week. it's a content machine, not a set-and-forget business.","#ecom #facebookads",text
2026-03-04,twitter,"added TikTok ads today for the posture corrector. same product, same angles, different platform. CPMs are 40% lower than Meta ($8 vs $14). but conversion rate is also lower (1.2% vs 2.1%). net ROAS about the same. the play is running both to diversify risk. never depend on one ad platform.","#ecom #tiktokads",text
2026-03-05,twitter,"controversial take: the 'guru' who posted '$2K to $642K in 60 days' probably did $642K in gross revenue with $500K in ad spend and $100K in COGS. that's $42K profit on $642K revenue = 6.5% net margin. impressive top line, mediocre bottom line. always ask 'what's the NET?'","#ecom #realtalk",text
2026-03-06,twitter,"my ecom arb stack so far (total cost: $71/mo + ad spend):\n\n- shopify: $1/mo (trial)\n- vitals: $29/mo\n- klaviyo: $0 (under 250 contacts)\n- zendrop: $0 (free tier)\n- capcut: $0\n- canva: $0 (free tier)\n- my scanner: $0 (built it myself)\n- domain: $12/yr\n- ad spend: $80-120/day\n\ntool costs are nothing. ad spend is everything.","#ecom #buildinpublic",text
2026-03-07,twitter,"end of month 1 full accounting:\n\ntotal revenue: $3,847\ntotal ad spend: $2,240\ntotal COGS: $1,539\ntool costs: $42\n\nnet profit: $26\n\nlol. twenty six dollars. but here's why i'm not worried: ROAS has gone from 1.2x to 3.1x. branded sourcing arrives next week (40% cost drop). month 2 projections: $2-5K profit. the J-curve is real.","#buildinpublic #ecom",text
2026-03-08,twitter,"month 1 → month 2 transition. the branded units arrive in 8 days. the math changes:\n\ncurrent: $4.80/unit → $29.99 retail → 20% margin after ads\nbranded: $2.10/unit → $29.99 retail → 45% margin after ads\n\nsame ad spend. same revenue. double the profit. sourcing is the actual edge in this game. everyone focuses on ads. the money is in the supply chain.","#ecom #sourcing #dtc",text
2026-03-09,twitter,"open sourced my viral product scanner. python script. scans FB Ad Library, cross-refs Instagram and TikTok virality signals, checks AliExpress sourcing, outputs a 0-100 confidence score. run it against any product keyword. link in bio. use it, break it, improve it.","#buildinpublic #python #ecom",text
2026-03-10,twitter,"the 5 products i'm scanning next (all scored 65+ on my scanner):\n\n1. mushroom lamp (340 ads, $1.20 source)\n2. neck stretcher (178 ads, $2.40 source)\n3. mini projector (256 ads, $18 source - higher margin needed)\n4. scalp massager (89 ads, $0.80 source)\n5. fridge organizer set (134 ads, $3.10 source)\n\ntesting 2 per week. the pipeline never stops.","#ecom #productresearch",text
2026-03-11,twitter,"compiled everything i learned into a playbook. the viral product arb method, step by step. no fluff, just the mechanics: detection, validation, creative production, ad strategy, sourcing transition, subscription bolt-on. every number is from my actual testing. not guru math.","#ecom #buildinpublic",text
2026-03-12,twitter,"month 1 of viral product arb summarized in one sentence: you're paying for data, not products. the $2,240 in ad spend bought me: which creatives convert, which audiences buy, what ROAS to expect at scale, and proof the unit economics work before committing $2K to branded inventory. that information is worth more than the $26 profit.","#ecom #dropshipping #buildinpublic",text
# INCOME DISCLAIMER: Results not typical. Individual results vary based on effort, market conditions, and other factors.
