ContentID,Type,Niche,Platform,Title,Status,ScheduledDate,PublishedDate,Engagement,Notes,source_file,content_section,date,platform,account,niche,content_type,content_path,caption,hashtags,status,posted_url,notes,structure_id,structure_name,hook_formula,body_structure,cta_type,cta_example,performance_tier,niche_fit,source,hashtag,avg_posts,competition_level,recommended
A019,Post,AI,Instagram,AI stack for solopreneurs 2026,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A020,Post,AI,Instagram,Prompt engineering patterns that work,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A021,Post,AI,Instagram,Building with AI - mistakes to avoid,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A022,Post,AI,YouTube,ChatGPT prompts for email productivity,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A023,Post,AI,YouTube,Top 5 AI tools that replaced $3K in software,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A024,Post,AI,YouTube,How to use Claude for research,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A025,Post,AI,YouTube,Automation workflows nobody talks about,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A026,Post,AI,YouTube,AI stack for solopreneurs 2026,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A027,Post,AI,YouTube,Prompt engineering patterns that work,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A028,Post,AI,YouTube,Building with AI - mistakes to avoid,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F029,Post,Faith,X,Day 1 of my faith streak,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F030,Post,Faith,X,Scripture that changed my perspective,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F031,Post,Faith,X,Morning prayer routine breakdown,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F032,Post,Faith,X,Building consistency through faith,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F033,Post,Faith,X,Why I started a daily anchor,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F034,Post,Faith,X,Gratitude journal entry template,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F035,Post,Faith,X,Faith-based goal setting,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F036,Post,Faith,TikTok,Day 1 of my faith streak,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F037,Post,Faith,TikTok,Scripture that changed my perspective,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F038,Post,Faith,TikTok,Morning prayer routine breakdown,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F039,Post,Faith,TikTok,Building consistency through faith,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F040,Post,Faith,TikTok,Why I started a daily anchor,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F041,Post,Faith,TikTok,Gratitude journal entry template,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F042,Post,Faith,TikTok,Faith-based goal setting,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F043,Post,Faith,Instagram,Day 1 of my faith streak,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F044,Post,Faith,Instagram,Scripture that changed my perspective,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F045,Post,Faith,Instagram,Morning prayer routine breakdown,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F046,Post,Faith,Instagram,Building consistency through faith,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F047,Post,Faith,Instagram,Why I started a daily anchor,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F048,Post,Faith,Instagram,Gratitude journal entry template,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F049,Post,Faith,Instagram,Faith-based goal setting,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F050,Post,Faith,YouTube,Day 1 of my faith streak,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F051,Post,Faith,YouTube,Scripture that changed my perspective,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F052,Post,Faith,YouTube,Morning prayer routine breakdown,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F053,Post,Faith,YouTube,Building consistency through faith,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F054,Post,Faith,YouTube,Why I started a daily anchor,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F055,Post,Faith,YouTube,Gratitude journal entry template,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F056,Post,Faith,YouTube,Faith-based goal setting,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F057,Post,Fitness,X,Push-up progression 0 to 50,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F058,Post,Fitness,X,Meal prep Sunday template,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F059,Post,Fitness,X,Squats: form guide for beginners,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F060,Post,Fitness,X,Why 3 hours per week works,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F061,Post,Fitness,X,Progressive overload explained,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F062,Post,Fitness,X,Recovery is where progress happens,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F063,Post,Fitness,X,Nutrition fundamentals,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F064,Post,Fitness,TikTok,Push-up progression 0 to 50,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F065,Post,Fitness,TikTok,Meal prep Sunday template,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F066,Post,Fitness,TikTok,Squats: form guide for beginners,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F067,Post,Fitness,TikTok,Why 3 hours per week works,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F068,Post,Fitness,TikTok,Progressive overload explained,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F069,Post,Fitness,TikTok,Recovery is where progress happens,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F070,Post,Fitness,TikTok,Nutrition fundamentals,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F071,Post,Fitness,Instagram,Push-up progression 0 to 50,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F072,Post,Fitness,Instagram,Meal prep Sunday template,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F073,Post,Fitness,Instagram,Squats: form guide for beginners,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F074,Post,Fitness,Instagram,Why 3 hours per week works,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F075,Post,Fitness,Instagram,Progressive overload explained,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F076,Post,Fitness,Instagram,Recovery is where progress happens,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F077,Post,Fitness,Instagram,Nutrition fundamentals,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F078,Post,Fitness,YouTube,Push-up progression 0 to 50,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F079,Post,Fitness,YouTube,Meal prep Sunday template,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F080,Post,Fitness,YouTube,Squats: form guide for beginners,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F081,Post,Fitness,YouTube,Why 3 hours per week works,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F082,Post,Fitness,YouTube,Progressive overload explained,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F083,Post,Fitness,YouTube,Recovery is where progress happens,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
F084,Post,Fitness,YouTube,Nutrition fundamentals,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-21,X,@daily_anchor_faith,faith,devotional,CONTENT/social/faith/devotional_01.md,Started my day at 5:47am with 10 minutes of silence. No phone. No coffee yet. Just stillness. Changed how I react to my inbox all day.,#faith #morningroutine #quiettime #dailydevotion,pending,,Day 1 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-21,X,@three_hour_physique,fitness,motivation,CONTENT/social/fitness/motivation_01.md,Motivation is a lie. I've gone to the gym 312 days in the last year. Felt motivated for maybe 40 of them. The other 272 days? I just went. Didn't feel like it. Went anyway. Systems beat feelings every time.,#fitness #gym #discipline #consistency,pending,,Day 1 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-21,X,@ai_workflows_daily,ai,ai_tool_tip,CONTENT/social/ai/ai_tool_tip_001.md,ChatGPT's Continue where you left off feature breaks after 20 messages. Fix: Use Claude for long coding sessions. I've had single threads go 150+ messages without context loss. Costs $20/month but saves 2 hours per week of reexplaining context.,#AI #ChatGPT #Claude #productivity,pending,,Day 1 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-22,X,@daily_anchor_faith,faith,encouragement,CONTENT/social/faith/encouragement_01.md,,#faith #encouragement #dailyword #blessed,pending,,Day 2 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-22,X,@three_hour_physique,fitness,workout_tip,CONTENT/social/fitness/workout_tip_01.md,,#fitness #workout #gym #training,pending,,Day 2 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-22,X,@ai_workflows_daily,ai,automation_win,CONTENT/social/ai/automation_win_001.md,,#automation #AI #productivity #workflow,pending,,Day 2 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-22,Instagram,@dailyanchorfaith,faith,devotional,CONTENT/social/faith/devotional_01.md,Started my day at 5:47am with 10 minutes of silence. No phone. No coffee yet. Just stillness. Changed how I react to my inbox all day.,#faith #morningroutine #quiettime #dailydevotion #bibleverse #christian,pending,,IG repurpose,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-22,Instagram,@threehourphysique,fitness,motivation,CONTENT/social/fitness/motivation_01.md,Motivation is a lie. I've gone to the gym 312 days in the last year. Felt motivated for maybe 40 of them. The other 272 days? I just went. Didn't feel like it. Went anyway. Systems beat feelings every time.,#fitness #gym #discipline #consistency #fitfam #workout,pending,,IG repurpose,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-22,Instagram,@aiworkflowsdaily,ai,ai_tool_tip,CONTENT/social/ai/ai_tool_tip_001.md,ChatGPT's Continue where you left off feature breaks after 20 messages. Fix: Use Claude for long coding sessions. I've had single threads go 150+ messages without context loss. Costs $20/month but saves 2 hours per week of reexplaining context.,#AI #ChatGPT #Claude #productivity #tech #aitools,pending,,IG repurpose,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-23,X,@daily_anchor_faith,faith,practical,CONTENT/social/faith/practical_01.md,,#faith #practical #christianliving #dailylife,pending,,Day 3 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-23,X,@three_hour_physique,fitness,nutrition_habit,CONTENT/social/fitness/nutrition_habit_01.md,,#nutrition #fitness #healthyeating #mealprep,pending,,Day 3 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-23,X,@ai_workflows_daily,ai,productivity_hack,CONTENT/social/ai/productivity_hack_001.md,,#productivity #AI #hack #efficiency,pending,,Day 3 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-24,X,@daily_anchor_faith,faith,devotional,CONTENT/social/faith/devotional_02.md,,#faith #morningroutine #quiettime #dailydevotion,pending,,Day 4 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-24,X,@three_hour_physique,fitness,motivation,CONTENT/social/fitness/motivation_02.md,,#fitness #gym #discipline #consistency,pending,,Day 4 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-24,X,@ai_workflows_daily,ai,ai_tool_tip,CONTENT/social/ai/ai_tool_tip_002.md,,#AI #ChatGPT #Claude #productivity,pending,,Day 4 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-24,Instagram,@dailyanchorfaith,faith,encouragement,CONTENT/social/faith/encouragement_01.md,,#faith #encouragement #dailyword #blessed #christian #hope,pending,,IG midweek,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-24,Instagram,@threehourphysique,fitness,workout_tip,CONTENT/social/fitness/workout_tip_01.md,,#fitness #workout #gym #training #fitfam #exercise,pending,,IG midweek,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-24,Instagram,@aiworkflowsdaily,ai,automation_win,CONTENT/social/ai/automation_win_001.md,,#automation #AI #productivity #workflow #tech #business,pending,,IG midweek,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-25,X,@daily_anchor_faith,faith,encouragement,CONTENT/social/faith/encouragement_02.md,,#faith #encouragement #dailyword #blessed,pending,,Day 5 rotation (weekend),,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-25,X,@three_hour_physique,fitness,workout_tip,CONTENT/social/fitness/workout_tip_02.md,,#fitness #workout #gym #training,pending,,Day 5 rotation (weekend),,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-25,X,@ai_workflows_daily,ai,automation_win,CONTENT/social/ai/automation_win_002.md,,#automation #AI #productivity #workflow,pending,,Day 5 rotation (weekend),,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-26,X,@daily_anchor_faith,faith,practical,CONTENT/social/faith/practical_02.md,,#faith #practical #christianliving #dailylife,pending,,Day 6 rotation (weekend),,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-26,X,@three_hour_physique,fitness,nutrition_habit,CONTENT/social/fitness/nutrition_habit_02.md,,#nutrition #fitness #healthyeating #mealprep,pending,,Day 6 rotation (weekend),,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-26,X,@ai_workflows_daily,ai,productivity_hack,CONTENT/social/ai/productivity_hack_002.md,,#productivity #AI #hack #efficiency,pending,,Day 6 rotation (weekend),,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-27,X,@daily_anchor_faith,faith,devotional,CONTENT/social/faith/devotional_03.md,,#faith #morningroutine #quiettime #dailydevotion,pending,,Day 7 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-27,X,@three_hour_physique,fitness,motivation,CONTENT/social/fitness/motivation_03.md,,#fitness #gym #discipline #consistency,pending,,Day 7 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-27,X,@ai_workflows_daily,ai,ai_tool_tip,CONTENT/social/ai/ai_tool_tip_003.md,,#AI #ChatGPT #Claude #productivity,pending,,Day 7 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-27,Instagram,@dailyanchorfaith,faith,devotional,CONTENT/social/faith/devotional_02.md,,#faith #morningroutine #quiettime #dailydevotion #bibleverse #christian,pending,,IG weekly,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-27,Instagram,@threehourphysique,fitness,motivation,CONTENT/social/fitness/motivation_02.md,,#fitness #gym #discipline #consistency #fitfam #workout,pending,,IG weekly,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-27,Instagram,@aiworkflowsdaily,ai,ai_tool_tip,CONTENT/social/ai/ai_tool_tip_002.md,,#AI #ChatGPT #Claude #productivity #tech #aitools,pending,,IG weekly,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-28,X,@daily_anchor_faith,faith,encouragement,CONTENT/social/faith/encouragement_03.md,,#faith #encouragement #dailyword #blessed,pending,,Day 8 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-28,X,@three_hour_physique,fitness,workout_tip,CONTENT/social/fitness/workout_tip_03.md,,#fitness #workout #gym #training,pending,,Day 8 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-28,X,@ai_workflows_daily,ai,automation_win,CONTENT/social/ai/automation_win_003.md,,#automation #AI #productivity #workflow,pending,,Day 8 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-29,X,@daily_anchor_faith,faith,practical,CONTENT/social/faith/practical_03.md,,#faith #practical #christianliving #dailylife,pending,,Day 9 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-29,X,@three_hour_physique,fitness,nutrition_habit,CONTENT/social/fitness/nutrition_habit_03.md,,#nutrition #fitness #healthyeating #mealprep,pending,,Day 9 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-29,X,@ai_workflows_daily,ai,productivity_hack,CONTENT/social/ai/productivity_hack_003.md,,#productivity #AI #hack #efficiency,pending,,Day 9 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-29,Instagram,@dailyanchorfaith,faith,practical,CONTENT/social/faith/practical_01.md,,#faith #practical #christianliving #dailylife #christian #tips,pending,,IG midweek,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-29,Instagram,@threehourphysique,fitness,nutrition_habit,CONTENT/social/fitness/nutrition_habit_01.md,,#nutrition #fitness #healthyeating #mealprep #gains #diet,pending,,IG midweek,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-29,Instagram,@aiworkflowsdaily,ai,productivity_hack,CONTENT/social/ai/productivity_hack_001.md,,#productivity #AI #hack #efficiency #work #tech,pending,,IG midweek,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-30,X,@daily_anchor_faith,faith,devotional,CONTENT/social/faith/devotional_04.md,,#faith #morningroutine #quiettime #dailydevotion,pending,,Day 10 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-30,X,@three_hour_physique,fitness,motivation,CONTENT/social/fitness/motivation_04.md,,#fitness #gym #discipline #consistency,pending,,Day 10 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-30,X,@ai_workflows_daily,ai,ai_tool_tip,CONTENT/social/ai/ai_tool_tip_004.md,,#AI #ChatGPT #Claude #productivity,pending,,Day 10 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-31,X,@daily_anchor_faith,faith,encouragement,CONTENT/social/faith/encouragement_04.md,,#faith #encouragement #dailyword #blessed,pending,,Day 11 rotation,,,,,,,,,,,,,
,,,,,,,,,,CONTENT_CALENDAR_2026.csv,calendar,2026-01-31,X,@three_hour_physique,fitness,workout_tip,CONTENT/social/fitness/workout_tip_04.md,,#fitness #workout #gym #training,pending,,Day 11 rotation,,,,,,,,,,,,,
