meta_id,meta_name,niche_id,niche_name,opportunity_type,opportunity_description,applicable_methods,revenue_model,priority_score,detected_at
META007,Couple's Finance Dashboard,N008,Couples,CONTENT,Couple's Finance Dashboard content series for Couples,"MM006,CF013",Ads + Creator Fund,89,2026-02-06T03:00:51
META003,Prayer Streak Apps,N001,Faith,CONTENT,Prayer Streak Apps content series for Faith,"MM006,CF013",Ads + Creator Fund,88,2026-02-06T03:00:51
META003,Prayer Streak Apps,N003,Tech,CONTENT,Prayer Streak Apps content series for Tech,"MM006,CF013",Ads + Creator Fund,88,2026-02-06T03:00:51
META003,Prayer Streak Apps,N004,Pet,CONTENT,Prayer Streak Apps content series for Pet,"MM006,CF013",Ads + Creator Fund,88,2026-02-06T03:00:51
META006,Micro-Fasting Timers,N033,Memes,APP,Micro-Fasting Timers app for Memes niche,"MM001,MM019",IAP + Subs,85,2026-02-06T03:00:51
META006,Micro-Fasting Timers,N033,Memes,INFO_PRODUCT,Micro-Fasting Timers guide/template for Memes,"MM002,MM025,MM046",One-time sale,85,2026-02-06T03:00:51
META002,Morning Mobility Stack,N033,Memes,APP,Morning Mobility Stack app for Memes niche,"MM001,MM019",IAP + Subs,82,2026-02-06T03:00:51
META002,Morning Mobility Stack,N033,Memes,INFO_PRODUCT,Morning Mobility Stack guide/template for Memes,"MM002,MM025,MM046",One-time sale,82,2026-02-06T03:00:51
META007,Couple's Finance Dashboard,N008,Couples,INFO_PRODUCT,Couple's Finance Dashboard guide/template for Couples,"MM002,MM025,MM046",One-time sale,79,2026-02-06T03:00:51
META003,Prayer Streak Apps,N001,Faith,INFO_PRODUCT,Prayer Streak Apps guide/template for Faith,"MM002,MM025,MM046",One-time sale,78,2026-02-06T03:00:51
META003,Prayer Streak Apps,N003,Tech,INFO_PRODUCT,Prayer Streak Apps guide/template for Tech,"MM002,MM025,MM046",One-time sale,78,2026-02-06T03:00:51
META003,Prayer Streak Apps,N004,Pet,INFO_PRODUCT,Prayer Streak Apps guide/template for Pet,"MM002,MM025,MM046",One-time sale,78,2026-02-06T03:00:51
META027,GLP-1 Supplement Gold Rush,N002,Fitness,PRODUCT,GLP-1 supplement affiliate + white-label opportunity. Berberine $2.1B market. TikTok Shop patches. Sales +165% YoY.,"MM002,MM025,MM046,MM034",Affiliate + White-label,200,2026-02-06T12:00:00
META027,GLP-1 Supplement Gold Rush,N002,Fitness,CONTENT,GLP-1 supplement content: Ozempic alternatives + berberine science + TikTok Shop reviews,"MM006,CF013",Ads + Creator Fund,180,2026-02-06T12:00:00
META009,OpenClaw/Moltbot AI Agents,N003,Tech,CONTENT,OpenClaw tutorial content: YouTube + blog + Twitter. 160K stars = massive search demand. 4-8 week window.,"MM006,CF013",Ads + Creator Fund,185,2026-02-06T12:00:00
META009,OpenClaw/Moltbot AI Agents,N003,Tech,INFO_PRODUCT,OpenClaw for Business setup guide on Gumroad $29-49. MCP server marketplace.,"MM002,MM025",One-time sale,175,2026-02-06T12:00:00
META026,Sleepmaxxing Movement,N002,Fitness,PRODUCT,Sleepmaxxing product bundle: mouth tape + nose strips + blue light glasses + magnesium. Nose strips +3000%.,"MM002,MM046",Affiliate + Bundle,180,2026-02-06T12:00:00
META026,Sleepmaxxing Movement,N009,Lifestyle,CONTENT,Sleepmaxxing content series: smart ring reviews + sleep optimization + orthosomnia debate,"MM006,CF013",Ads + Creator Fund,180,2026-02-06T12:00:00
META033,Peptide Underground,N002,Fitness,CONTENT,Peptide content: BPC-157 science + Chinese peptide controversy + biohacking. 50M+ TikTok views. NYT coverage.,"MM006,CF013",Ads + Creator Fund,180,2026-02-06T12:00:00
META025,Japanese Interval Walking,N002,Fitness,CONTENT,Japanese Interval Walking content: 10M TikTok views + 17M YouTube. #1 fitness trend 2026.,"MM006,CF013",Ads + Creator Fund,180,2026-02-06T12:00:00
META025,Japanese Interval Walking,N002,Fitness,APP,Walking interval timer app. No dominant app. 30-min format 3min fast/3min slow.,"MM001,MM019",IAP + Subs,160,2026-02-06T12:00:00
META034,Claude Opus 4.6 Agent Teams,N003,Tech,CONTENT,Claude Opus 4.6 agent teams content: benchmarks + demos + Claude vs GPT-5.2 comparisons,"MM006,CF013",Ads + Creator Fund,200,2026-02-06T12:00:00
META037,Vibe Coding $29B Economy,N003,Tech,CONTENT,Vibe coding content: build-in-public + tool comparisons + $X in Y days. Cursor at $29.3B.,"MM006,CF013",Ads + Creator Fund,200,2026-02-06T12:00:00
META037,Vibe Coding $29B Economy,N003,Tech,INFO_PRODUCT,Vibe coding course + template marketplace + built-for-you service $300-$5000/build,"MM002,MM025,MM046",Course + Services,180,2026-02-06T12:00:00
META060,Tariff Wars Engagement Storm,N007,Finance,CONTENT,Tariff wars explainers: how tariffs affect prices + investment implications + prepper supply chain angle,"MM006,CF013",Ads + Creator Fund,200,2026-02-06T12:00:00
META056,Ramadan 2026 Creator Economy,N001,Faith,CONTENT,Ramadan creator content: recipes + spiritual content + modest fashion. TIME-SENSITIVE must launch by Feb 10.,"MM006,CF013",Ads + Creator Fund + Affiliate,180,2026-02-06T12:00:00
META056,Ramadan 2026 Creator Economy,N001,Faith,APP,Ramadan meal planner app / Islamic content templates. Muslim spending $2.29T globally.,"MM001,MM019",IAP + Subs,170,2026-02-06T12:00:00
META054,MAHA Seed Oil Free Gold Rush,N002,Fitness,PRODUCT,Seed oil free snack brand / tallow products / restaurant directory. Sales +216%. $5.92B market.,"MM002,MM046",Affiliate + E-commerce,180,2026-02-06T12:00:00
META054,MAHA Seed Oil Free Gold Rush,N009,Lifestyle,CONTENT,MAHA seed oil free content: controversy between MAHA vs mainstream nutrition = engagement goldmine,"MM006,CF013",Ads + Creator Fund,180,2026-02-06T12:00:00
META061,Vibe Coding Side Hustle,N003,Tech,INFO_PRODUCT,Vibe coding side hustle: course + template marketplace + build-for-you. Cursor $9B.,"MM002,MM025",Course + Services,180,2026-02-06T12:00:00
META013,AI Companion Relationships,N003,Tech,CONTENT,AI companion controversy content: lawsuits + FTC investigation + AI replacing relationships = engagement machine,"MM006,CF013",Ads + Creator Fund,170,2026-02-06T12:00:00
META013,AI Companion Relationships,N003,Tech,INFO_PRODUCT,AI Companion Industry Report 2026 on Gumroad $19-39. 337 apps + $36.8B market analysis.,"MM002,MM025",One-time sale,160,2026-02-06T12:00:00
META014,Faceless AI Content Channels,N003,Tech,CONTENT,Meta-content: teach people how to build compliant faceless channels. $117M/yr industry.,"MM006,CF013",Ads + Creator Fund + Course,168,2026-02-06T12:00:00
META014,Faceless AI Content Channels,N003,Tech,INFO_PRODUCT,YouTube AI Policy Survival Guide 2026 on Gumroad $19-49. Thousands demonetized = real pain.,"MM002,MM025",One-time sale,162,2026-02-06T12:00:00
META017,Longevity Optimization TikTok,N002,Fitness,APP,Longevity Stack Calculator: inputs age/budget/goals -> personalized supplement stack with affiliate links,"MM001,MM019,MM025",Affiliate + IAP,165,2026-02-06T12:00:00
META017,Longevity Optimization TikTok,N002,Fitness,CONTENT,Longevity on a budget content: contrarian to Bryan Johnson $2M/yr. Fiber maxxing + microplastic defense.,"MM006,CF013",Ads + Creator Fund,165,2026-02-06T12:00:00
META064,Tradwife Brand Empire,N009,Lifestyle,PRODUCT,Tradwife homestead products: sourdough starter / beeswax candles / aprons / kitchen goods. Ballerina Farm $8M/yr model.,"MM002,MM046",E-commerce + Affiliate,160,2026-02-06T12:00:00
META058,Hallow Prayer App Category,N001,Faith,APP,Islamic prayer app for Ramadan. Hallow $380M proves category. No dominant Islamic app.,"MM001,MM019",IAP + Subs,160,2026-02-06T12:00:00
META032,Creatine for Women,N002,Fitness,PRODUCT,Women-specific creatine brand. Market $1.11B to $4.21B by 2030. Pink tax works here.,"MM002,MM046",E-commerce + Affiliate,160,2026-02-06T12:00:00
META032,Creatine for Women,N002,Fitness,CONTENT,Creatine for women content: myth-busting + science + bone density + menopause benefits.,"MM006,CF013",Ads + Creator Fund,160,2026-02-06T12:00:00
META029,Seed Oil Free Movement,N002,Fitness,PRODUCT,Tallow cooking products + seed-oil-free snacks. Sales +216% Q1 2026. Steak N Shake switching.,"MM002,MM046",E-commerce + Affiliate,144,2026-02-06T12:00:00
META031,Reformer Pilates Explosion,N002,Fitness,PRODUCT,At-home reformer accessories + online classes. Market $244.5B to $583.6B by 2035.,"MM002,MM046",E-commerce + Subscriptions,144,2026-02-06T12:00:00
META028,Rucking Fitness Boom,N002,Fitness,PRODUCT,Weighted vests + ruck plates + ruck packs. GORUCK Budget Basic Rucker = mass market. Burns 3x calories.,"MM002,MM046",E-commerce + Affiliate,144,2026-02-06T12:00:00
META041,AI Agent Memecoin Convergence,N033,Memes,MEMECOIN,AI agent token monitoring. VIRTUAL $103M daily. Next $MOLT-style 10-50x breakout.,"MM034",Trading,162,2026-02-06T12:00:00
META062,AI Agent Memecoin Meta,N003,Tech,CONTENT,AI agent crypto explainers + memecoin alpha content. $MOLT +7000%. 30K+ autonomous agents.,"MM006,CF013",Ads + Creator Fund,162,2026-02-06T12:00:00
META059,Gold Record Rally Content,N007,Finance,CONTENT,Gold investing explainers + gold vs Bitcoin debate. Gold ATH $5595. Goldman $5400+ forecast.,"MM006,CF013",Ads + Creator Fund + Affiliate,160,2026-02-06T12:00:00
META066,Dietary Guidelines Upheaval,N002,Fitness,CONTENT,Dietary guidelines debate content: protein-forward + anti-UPF. 70% grocery is UPF = mass confusion.,"MM006,CF013",Ads + Creator Fund,160,2026-02-06T12:00:00
META066,Dietary Guidelines Upheaval,N009,Lifestyle,PRODUCT,Clean eating meal plans / anti-UPF grocery guide / protein-forward cookbook.,"MM002,MM025",One-time sale + Subscription,144,2026-02-06T12:00:00
META069,Manosphere Adolescence Backlash,N009,Lifestyle,CONTENT,Commentary/reaction to Netflix Adolescence + manosphere analysis. 96.7M views. Highly polarized.,"MM006,CF013",Ads + Creator Fund,160,2026-02-06T12:00:00
META049,Grow a Garden Roblox,N016,Gaming,CONTENT,Grow a Garden content farm: 32B+ visits. $12M/mo revenue template. Roblox game development guides.,"MM006,CF013",Ads + Creator Fund,160,2026-02-06T12:00:00
META044,Frieren S2 MAL Takeover,N016,Entertainment,CONTENT,Frieren S2 content: reactions + breakdowns + theories + merch reviews. #1 MAL all-time 9.32 score.,"MM006,CF013",Ads + Creator Fund + Affiliate,160,2026-02-06T12:00:00
META055,Beef Tallow Skincare TikTok,N002,Fitness,PRODUCT,Grass-fed beef tallow skincare line $15-40/unit. 50K+ TikTok posts. Top 33 skincare trend 2026.,"MM002,MM046",E-commerce + Affiliate,160,2026-02-06T12:00:00
META063,Prepper Market Mainstream,N009,Lifestyle,PRODUCT,Curated prepper starter kits / emergency food affiliate. $14.1B market to $26.7B by 2031.,"MM002,MM025,MM046",Affiliate + E-commerce,144,2026-02-06T12:00:00
META071,AI Prompt Selling Economy,N003,Tech,INFO_PRODUCT,Prompt marketplace / AI workflow course / prompt pack bundles on Gumroad.,"MM002,MM025",One-time sale + Marketplace,144,2026-02-06T12:00:00
META053,n8n AI Workflow Automation,N003,Tech,CONTENT,n8n workflow tutorials + n8n vs Zapier comparisons + automate X in 10 minutes content.,"MM006,CF013",Ads + Creator Fund + Affiliate,144,2026-02-06T12:00:00
META043,Sora 2 + Runway Gen-4.5,N003,Tech,INFO_PRODUCT,AI video production templates + SFX library + AI cinematography course.,"MM002,MM025",Course + Templates,144,2026-02-06T12:00:00
META080,ElevenLabs Voice AI Economy,N003,Tech,CONTENT,AI voiceover agency + voice template marketplace + faceless channel tutorials. $330M ARR $11B valuation.,"MM006,CF013,MM002",Ads + Agency + Templates,144,2026-02-06T12:00:00
META057,Lent Digital Detox Challenge,N001,Faith,CONTENT,Lent digital detox content: 40-day challenge series + devotional reflections. TIME-SENSITIVE Feb 14 launch.,"MM006,CF013",Ads + Creator Fund,140,2026-02-06T12:00:00
META057,Lent Digital Detox Challenge,N001,Faith,APP,Lent devotional app / 40-day digital detox journal / faith-based screen time tracker.,"MM001,MM019",IAP + Subs,120,2026-02-06T12:00:00
META036,DeepSeek R2/V4 Imminent,N003,Tech,CONTENT,DeepSeek R2/V4 release content: model comparison + implications. TIME-SENSITIVE days away.,"MM006,CF013",Ads + Creator Fund,180,2026-02-06T12:00:00
META035,Grok Deepfake Ban Crisis,N003,Tech,CONTENT,Grok deepfake crisis content: AI safety commentary + platform regulation + deepfake detection tools.,"MM006,CF013",Ads + Creator Fund,180,2026-02-06T12:00:00
META042,RWA Tokenization Breakout,N007,Finance,CONTENT,RWA explainers + BlackRock crypto content + institutional adoption narratives. 185.8% avg returns.,"MM006,CF013",Ads + Creator Fund,144,2026-02-06T12:00:00
META050,Nintendo Switch 2 Launch,N016,Gaming,CONTENT,Switch 2 first-mover content: ~30 games showcased. 6-12 month content window.,"MM006,CF013",Ads + Creator Fund + Affiliate,160,2026-02-06T12:00:00
META065,Christian Creator Economy,N001,Faith,INFO_PRODUCT,Christian creator toolkit / faith-based Gumroad templates. $4.2B retail industry underserved.,"MM002,MM025",One-time sale + Subscription,126,2026-02-06T12:00:00
META072,Sovereignty Doctrine / Hard Assets,N007,Finance,CONTENT,Anti-fiat content + hard asset investing + sovereignty/self-sufficiency. Gold $5595 ATH.,"MM006,CF013",Ads + Newsletter,128,2026-02-06T12:00:00
META070,18-Year Real Estate Cycle,N007,Finance,INFO_PRODUCT,House hacking calculator app / BRRRR deal analyzer / RE investing course.,"MM001,MM002,MM025",Course + App,112,2026-02-06T12:00:00
META067,Manifestation Gen Z,N001,Faith,PRODUCT,Manifestation journal / vision board kit / spiritual ritual subscription box.,"MM002,MM046",E-commerce + Subscription,126,2026-02-06T12:00:00
META073,Dopamine Menu Trend,N009,Lifestyle,PRODUCT,Dopamine menu journal / digital wellness app / screen time coaching.,"MM001,MM002",Product + App,126,2026-02-06T12:00:00
META092,Roblox UGC Creator Economy,N016,Gaming,CONTENT,Roblox UGC creation guides + economy analysis. $740M+ payouts. Top 1000 avg ~$1M.,"MM006,CF013",Ads + Creator Fund,144,2026-02-06T12:00:00
META100,AI Faceless Documentary Channels,N003,Tech,CONTENT,Faceless documentary channel guide. Infographics Show $2.5M/yr. True crime + horror evergreen.,"MM006,CF013",Ads + Creator Fund,144,2026-02-06T12:00:00
META076,Pickleball/Padel Racquet Sports,N002,Fitness,PRODUCT,Paddles + court booking app + training content. $2.2B to $9.1B by 2034. 36.5M players.,"MM001,MM002,MM046",E-commerce + App + Affiliate,144,2026-02-06T12:00:00
META024,75 Medium Challenge,N002,Fitness,APP,75 Medium tracker app or Notion template. 75 Hard has 611K TikTok + 943K IG posts.,"MM001,MM002",App + Digital Product,160,2026-02-06T12:00:00
META090,Video Podcast YouTube Dominance,N003,Tech,CONTENT,Video podcast content: clips-to-shorts pipeline + AI editing tools. YouTube #1 platform 39% share.,"MM006,CF013",Ads + Creator Fund,128,2026-02-06T12:00:00
