city,state,state_abbr,population,metro_population,region
Cary,North Carolina,NC,174721,1413982,South
Pembroke Pines,Florida,FL,171178,6138333,South
Garden Grove,California,CA,172646,13200998,West
Palmdale,California,CA,169450,13200998,West
Sioux Falls,South Dakota,SD,192517,284698,Midwest
Springfield,Missouri,MO,169176,462369,Midwest
Rancho Cucamonga,California,CA,177603,4599839,West
Clarksville,Tennessee,TN,166722,304584,South
Lancaster,California,CA,173516,13200998,West
Corona,California,CA,157136,4599839,West
Jackson,Mississippi,MS,153701,580166,South
Charleston,South Carolina,SC,150227,800845,South
Surprise,Arizona,AZ,152939,4945674,West
Roseville,California,CA,147773,2397382,West
Sunnyvale,California,CA,155805,1990660,West
Pomona,California,CA,151713,13200998,West
Killeen,Texas,TX,153095,460303,South
Denton,Texas,TX,148146,7637387,South
Hollywood,Florida,FL,155507,6138333,South
Murfreesboro,Tennessee,TN,152769,1989519,South
Midland,Texas,TX,146038,176832,South
McAllen,Texas,TX,142210,868707,South
Pasadena,Texas,TX,151950,7122240,South
Joliet,Illinois,IL,150362,9618502,Midwest
Paterson,New Jersey,NJ,159732,20140470,Northeast
Savannah,Georgia,GA,147780,393353,South
Macon,Georgia,GA,157346,229082,South
Bridgeport,Connecticut,CT,148529,939904,Northeast
Syracuse,New York,NY,148620,659864,Northeast
Torrance,California,CA,147067,13200998,West
Lakewood,Colorado,CO,155984,2963821,West
Naperville,Illinois,IL,149540,9618502,Midwest
Bellevue,Washington,WA,151854,4018762,West
Rockford,Illinois,IL,148655,337380,Midwest
Escondido,California,CA,151038,3338330,West
Dayton,Ohio,OH,137644,806548,Midwest
Columbia,South Carolina,SC,136632,832666,South
Gainesville,Florida,FL,141085,329128,South
Thornton,Colorado,CO,141867,2963821,West
Miramar,Florida,FL,134721,6138333,South
Hartford,Connecticut,CT,121054,1204877,Northeast
Visalia,California,CA,141384,473117,West
Sterling Heights,Michigan,MI,134346,4392041,Midwest
New Haven,Connecticut,CT,134023,862477,Northeast
Waco,Texas,TX,139236,271756,South
West Valley City,Utah,UT,140230,1257936,West
Carrollton,Texas,TX,139956,7637387,South
Elizabeth,New Jersey,NJ,137298,20140470,Northeast
Stamford,Connecticut,CT,135470,939904,Northeast
Thousand Oaks,California,CA,126966,843843,West
Concord,California,CA,129295,4749008,West
Topeka,Kansas,KS,127679,232594,Midwest
Cedar Rapids,Iowa,IA,137710,279332,Midwest
Olathe,Kansas,KS,141290,2192035,Midwest
Columbia,Missouri,MO,126254,209498,Midwest
Provo,Utah,UT,115162,636235,West
Wilmington,North Carolina,NC,122162,297051,South
Meridian,Idaho,ID,128965,764718,West
Pearland,Texas,TX,129023,7122240,South
Round Rock,Texas,TX,133372,2283371,South
Arvada,Colorado,CO,124402,2963821,West
Westminster,Colorado,CO,116317,2963821,West
Athens,Georgia,GA,127064,215274,South
Fargo,North Dakota,ND,125990,259795,Midwest
Centennial,Colorado,CO,111331,2963821,West
