category,name,description,est_revenue_low,est_revenue_high,est_revenue_range,startup_cost,time_to_first_dollar,existing_assets,next_action,priority,status,blockers,notes,scan_date
freelance,Fiverr: Video Clipping Service,Use auto_clip_pipeline.py to clip podcasts/streams into viral shorts. Charge $50-150 per batch of 10 clips. Podcasters/streamers pay $200-500/mo for ongoing clipping. Your cost: ~$2 in compute per batch.,300,2000,$300-$2000/mo,0,7-21 days,AUTOMATIONS/auto_clip_pipeline.py (yt-dlp + whisper + Claude + ffmpeg),List clipping gig on Fiverr. Run 3 demo clips from popular podcasts as portfolio samples. Price: $15/clip or $99 for 10 clips.,P1,READY_TO_LAUNCH,Need Fiverr account; Need portfolio samples,"Clipping market is booming. Podcasters and streamers pay $300-1,000/mo for ongoing clipping. Automation gives you 95%+ margins. Retainer clients are the real money.",2026-03-13
dropship,Print-on-Demand via Printful/Printify,"Upload designs to Printful/Printify connected to Etsy or standalone store. $0 upfront -- they print and ship on order. Margins: 30-60% on apparel, 40-70% on mugs/posters. Trending meme phrases convert best.",100,2000,$100-$2000/mo,0,7-30 days,AUTOMATIONS/ecom_arb_scanner.py; AUTOMATIONS/trending_products_scanner.py; MONEY_METHODS/POD/ (POD playbook + trending opportunities); POD/TRENDING_OPPORTUNITIES.csv (10 trending designs); MONEY_METHODS/TIKTOK_SHOP/ (TikTok Shop playbook),Create Printful account. Connect to Etsy. Upload 10 designs from trending phrases (check POD/TRENDING_OPPORTUNITIES.csv). Launch.,P1,READY_TO_LAUNCH,Need Printful account; Need Etsy shop or standalone store,"POD is a volume game. 100 designs, 5 will sell. The trending meme playbook at MONEY_METHODS/POD/TRENDING_MEME_POD_PLAYBOOK.md has the strategy. Best niches: faith statements, gym motivation, tech humor, pet quotes.",2026-03-13
free_tool_arb,AI Tool Arbitrage (Free API Tiers),"Claude free tier, GPT free tier, Gemini free tier, Mistral free tier. Stack free tiers across providers for ~500K tokens/day total. Sell AI-written deliverables: cold emails, product descriptions, blog posts. Charge $25-100 per deliverable, cost $0.",200,2000,$200-$2000/mo,0,7-14 days,LEDGER/TOOLS_SERVICES_MASTER.csv (56 tools with free tiers),"Stack free tiers: Claude.ai (free), ChatGPT (free), Gemini (free). Offer AI content writing service. Deliver using whichever model performs best per task.",P1,NOT_STARTED,,"The arbitrage: clients think AI content costs money. It doesn't on free tiers. You charge for expertise in prompting + editing + quality control, not the AI itself.",2026-03-13
referral,SaaS Referral Program Stack,"10 high-value SaaS referral programs. Write comparison articles ('Notion vs Obsidian', 'Best SEO Tools 2026'), embed referral links. Each article can earn $50-500/mo in referral commissions once it ranks. Stack: write articles on Medium (DA 96) with referral links. Top programs: Shopify $150, Semrush $200, Freshworks $300 per referral.",100,2000,$100-$2000/mo,0,14-60 days,Content in AI/tech niche naturally pairs with SaaS referrals,"Sign up for top 5 programs: Semrush, Shopify, ConvertKit, Surfer, Notion. Write 3 comparison/review articles on Medium with embedded referral links.",P1,NOT_STARTED,,"Referral programs compound with content. One article ranking for 'best email marketing tool' can pay $200-500/mo indefinitely. Stack with Medium Partner Program revenue. Recurring commission programs (ConvertKit, Jasper) build passive income over time.",2026-03-13
free_tool_arb,Canva Free Tier Design Service,Canva free tier gives access to thousands of templates. Offer social media design packages on Fiverr: 30 branded posts for $50-150. Your time: 30 min with Canva templates. Client's alternative: hire designer for $500+.,200,1500,$200-$1500/mo,0,7-14 days,LEDGER/TOOLS_SERVICES_MASTER.csv (56 tools with free tiers),"Create 3 portfolio samples in Canva (faith, fitness, business niches). List on Fiverr: '30 Social Media Posts - $49' as starter gig.",P1,NOT_STARTED,Need Fiverr account,Canva free -> paid service is one of the highest-margin freelance plays. Upsell: $49 for 30 posts -> $149 for 30 posts + stories + highlights. Canva Pro ($13/mo) only needed if client wants premium templates.,2026-03-13
template,Notion Template Marketplace,"Notion has a built-in template marketplace. Templates sell for $5-49. Top templates do $1K-10K/mo. Faith planner, fitness tracker, solopreneur OS, content calendar, habit tracker all convert well. Notion pays 90% of sales (10% platform fee).",50,1000,$50-$1000/mo,0,7-30 days,Existing product specs can be adapted as Notion templates,"Build 3 Notion templates: Solopreneur OS ($29), Faith Daily Planner ($9), Content Calendar ($19). Submit to Notion template marketplace + list on Gumroad.",P1,NOT_STARTED,Need to build the actual Notion templates,"Notion templates have insane margins. Build once, sell forever. The Notion marketplace has less competition than Gumroad. Gumroad + Notion marketplace + Etsy = triple distribution for same product.",2026-03-13
marketplace,Etsy Digital Downloads,"List Notion templates, printable planners, and digital guides on Etsy. Etsy's search algorithm favors new listings heavily in first 30 days. Canva templates convert at 2-5% on Etsy.",50,800,$50-$800/mo,0,3-14 days,Can repurpose Gumroad products as Etsy listings,"Create Etsy shop. Reformat 3-5 products for Etsy (mockup images, Etsy SEO tags). List.",P1,NOT_STARTED,Need Etsy seller account,Etsy charges $0.20 listing fee + 6.5% transaction fee + 3% payment processing. Higher fees than Gumroad but massive organic discovery. Notion templates and digital planners are the sweet spot.,2026-03-13
content_syndication,Substack Paid Newsletter,"Substack is free to start, takes 10% of paid subscriptions. Write in solopreneur/AI tools niche. Free tier builds audience, paid tier ($5-10/mo) for premium content. Substack Notes = built-in discovery. 1,000 free subscribers -> 30-50 paid @ $7/mo = $210-350/mo.",50,500,$50-$500/mo,0,30-90 days,"CONTENT/medium_articles/ (4 articles); CONTENT/substack_posts/; LEDGER/buffer_import_*.csv (12 CSVs ready for Buffer upload); LEDGER/CONTENT_CALENDAR_30DAY.csv (1,008 posts mapped); CONTENT/social/REPLY_TEMPLATES_100.md",Create Substack. Import/cross-post existing Medium articles. Publish 2x/week. Use Substack Notes for discovery. Enable paid tier at 500 free subscribers.,P1,READY_TO_LAUNCH,Need Substack account; Need 500+ free subscribers before paid makes sense,"Substack's recommendation algorithm can grow you faster than Medium. Cross-post between Medium and Substack (different audiences, same content). Welcome sequences already written at MONEY_METHODS/NEWSLETTER/.",2026-03-13
data_leads,Niche Lead Lists on Gumroad,"Compile lead lists from public data: Google Maps, Yelp, industry directories. Package as CSV/Excel files. Sell on Gumroad for $27-97. Niches: local dentists by city, SaaS founders with emails, Etsy top sellers by category, YouTube channels in niche. Our scraping tools already do the collection.",50,500,$50-$500/mo,0,7-14 days,AUTOMATIONS/local_biz_website_scraper.py; AUTOMATIONS/local_biz_pipeline.py,"Use local_biz_pipeline.py to scrape 500 dentists in top 10 US cities. Package as 'US Dentist Lead List - 5,000 contacts'. List on Gumroad for $47.",P1,READY_TO_LAUNCH,Verify data collection is compliant with CCPA/GDPR (public data only),"Lead lists are an evergreen product. Update monthly, charge for fresh data. Subscription model: $27/mo for monthly updated lists. Legal: only public data (business listings, public directories). No personal data scraping.",2026-03-13
directory,Mass Directory Submission (All Apps/Products),"64 directories tracked in LEDGER. Most are free. Each submission = permanent backlink + discovery traffic. Batch submission takes 2-3 hours, gives months of organic traffic.",0,200,$0-$200/mo,0,7-30 days (indirect via traffic),LEDGER/LAUNCH_DIRECTORIES.csv (64 directories tracked); APP_FACTORY/builds/prayerlock-web/ (PWA ready to deploy); APP_FACTORY/builds/biomaxx-sdk54/ (app ready); prayerlock-web/PRODUCT_HUNT_LAUNCH.md (PH launch plan written),Go through LAUNCH_DIRECTORIES.csv row by row. Submit each product to every applicable directory. Track submission date and status.,P1,NOT_STARTED,Need at least 1 deployed product,This is grunt work but high ROI per hour. Each directory submission takes 5-15 min. Do 10/day for a week = 70 submissions = months of backlink juice + discovery.,2026-03-13
clipping,Clip Army: Recruit Clippers on Revenue Share,"Model proven by @theclipgod and similar: recruit 10-50 clippers, they clip content from creators, you manage distribution and take 20-50% rev share. Zero cost. Clippers are motivated by learning + rev share. Scale: 50 clippers x 5 clips/day = 250 clips/day across platforms.",200,3000,$200-$3000/mo,0,14-30 days,AUTOMATIONS/auto_clip_pipeline.py; AUTOMATIONS/clip_post_scheduler.py,"Create Discord server for clip army. Post recruitment in r/editors, r/NewTubers, Twitter. Offer: free training + 50% rev share on clips that monetize.",P2,NOT_STARTED,Need Discord server; Need 2-3 creator partnerships for content supply,The clip army model prints because clippers do the work for free (they learn editing). You provide the distribution + creator relationships. Whop funnel teardown guide covers this exact model ($50-100K/mo proven).,2026-03-13
community,Free Discord/Telegram Community -> Premium Tier,"Start free community in strongest niche (solopreneur/AI tools recommended). Provide daily value: tool finds, alpha, tips. At 100+ members, launch premium tier ($29-99/mo). Conversion rate on engaged free -> paid: 3-8%.",100,2000,$100-$2000/mo,0,30-60 days,"MONEY_METHODS/NEWSLETTER/ (3 welcome sequences ready); 1,008 social posts ready (content to share in community)","Create Discord server with channels: #general, #tools, #alpha, #wins, #support. Invite first 20 members from Twitter followers. Post daily value for 30 days. Launch paid tier at 100+ members.",P2,NOT_STARTED,Need 100+ community members before monetizing,"Communities have the highest LTV of any digital product. $49/mo x 50 members = $2,450/mo. Skool is the premium play ($99/mo platform fee but higher perceived value). Discord/Telegram are free to run. The Whop funnel teardown shows community models printing $50K+/mo.",2026-03-13
affiliate,Impact/ShareASale/CJ Network Programs,"Aggregator networks with thousands of merchants. ShareASale has Tailwind ($15/sale), Grammarly ($20/sale), WP Engine ($200/sale). Impact has Shopify ($150 bounty), Canva ($36/sale). CJ has GoDaddy, Overstock, TurboTax.",100,1000,$100-$1000/mo,0,14-30 days,CONTENT/social/ (11 posts that can embed affiliate links); CONTENT/medium_articles/ (articles ready for affiliate integration); CONTENT/substack_posts/ (newsletter content for affiliate CTAs); LEDGER/ALPHA_STAGING.csv (132 affiliate alpha entries),"Apply to Impact, ShareASale, CJ Affiliate. Target 3 merchants per network that align with existing content.",P2,NOT_STARTED,,"Pro tip: many programs auto-approve. Apply to 20+, get accepted to 10+, focus on the 3-5 that match your content.",2026-03-13
marketplace,Lemon Squeezy Store,Lemon Squeezy handles global tax compliance (VAT/GST) automatically. Lower fees than Gumroad (5%+50c vs 10%). Built-in affiliate program. Good for non-US buyers.,50,500,$50-$500/mo,0,3-14 days,"Same products as Gumroad, just different storefront",Create Lemon Squeezy account. Mirror top 3 Gumroad products. Enable affiliate program.,P2,NOT_STARTED,Need Lemon Squeezy account,Lower priority than Gumroad/Whop due to less organic discovery. But 5% vs 10% fee makes it better for products you drive traffic to yourself.,2026-03-13
affiliate,Amazon Associates (Physical Products),"1-10% commission but massive catalog. Prayer journals, fitness equipment, tech gadgets. Low per-sale but high volume potential. Cookie lasts 24 hours (90 days if added to cart). Real money is in high-ticket categories: electronics (4%), luxury beauty (10%).",50,500,$50-$500/mo,0,14-30 days,"Content in faith, fitness, tech niches can all embed product links",Sign up for Amazon Associates. Create 3 'best of' listicle articles in each niche. Embed links in existing Medium/Substack content.,P2,NOT_STARTED,Need website with content (or social with 500+ followers for some programs),Amazon rejects applications without existing traffic. Apply after listing Gumroad products and publishing 5+ Medium articles. Alternative: use existing content on personal site.,2026-03-13
clipping,Automated Clip Pipeline for Own Content,Run auto_clip_pipeline.py on trending podcasts/streams in our niches. Post clips to TikTok/Reels/Shorts with credit. Monetize via creator programs. Also: clip our own future content for multi-platform distribution.,50,500,$50-$500/mo,0,30-60 days,AUTOMATIONS/auto_clip_pipeline.py; AUTOMATIONS/clip_post_scheduler.py,Run auto_clip_pipeline.py on 5 popular faith/fitness/tech podcasts. Post 20 clips to new TikTok account. Test engagement before scaling.,P2,READY_TO_LAUNCH,Need TikTok account,Clip accounts can grow fast (10K followers in 30 days if clips go viral). Monetization comes from TikTok Creator Fund + affiliate links in bio.,2026-03-13
ai_music,AI Ambient/Lo-fi Music on Spotify,"Generate lo-fi, ambient, worship, or study music with Suno/Udio (free tier: 10 songs/day). Distribute via DistroKid ($22/yr unlimited uploads). Spotify pays $3-5/1K streams. One album of 10 study beats can pull 5K-50K streams/mo if playlisted.",20,500,$20-$500/mo,0,30-90 days,MONEY_METHODS/CONTENT_FARM/SLEEP_YOUTUBE/ (sleep channel kit built),Generate 10 lo-fi study beats on Suno free tier. Create artist profile. Upload to DistroKid. Submit to Spotify playlists via SubmitHub (free tier) and SpotOnTrack.,P2,NOT_STARTED,Need DistroKid account ($22/yr -- cheapest tier),AI music is a compounding play. Each track earns forever. 100 tracks x 1K streams/mo each = 100K streams/mo = $300-500/mo passive. Sleep/study/worship playlists have the most consistent streams (people play them 8+ hours). The sleep YouTube kit is a synergy play.,2026-03-13
plr_mrr,PLR Product Bundle Resale,"Buy PLR (Private Label Rights) bundles for $5-27 one-time. Rebrand. Sell as your own for $17-97 each. Categories: business templates, social media kits, email sequences, ebook templates. Rebrand takes 30 min per product.",50,500,$50-$500/mo,0,3-14 days,Gumroad store (once set up) for distribution,"Browse PLRMines.com, BigProductStore.com, or InDigitalWorks.com for $0-5 PLR packs. Rebrand top 3 products. List on Gumroad/Whop.",P2,NOT_STARTED,Need to find quality PLR sources (many are low quality),"PLR quality varies wildly. The play: find decent PLR, add your expertise, rebrand with better copy and design, price 3-5x what you paid. MRR (Master Resell Rights) products can be sold AND give buyers resell rights = viral distribution mechanism.",2026-03-13
template,Canva Template Store,"Canva Creators program lets you sell templates in Canva's marketplace. Social media templates, presentation decks, Instagram story templates. Canva pays 35% royalty per use. Volume play: 100 templates x modest usage = $200-1K/mo.",50,500,$50-$500/mo,0,30-60 days,,"Apply for Canva Creator program. Build 10 social media template sets (faith quotes, fitness motivation, business tips). Submit.",P2,NOT_STARTED,Need Canva Creator approval (portfolio required),Canva Creator approval takes 2-4 weeks. Lower royalty than selling direct but massive marketplace traffic. Good passive income layer.,2026-03-13
content_syndication,dev.to + HackerNoon Technical Content,"dev.to is free to post on with massive developer audience. HackerNoon pays writers (revenue share). Both index well on Google. Write: AI tool reviews, vibe coding tutorials, automation how-tos. Each post can include affiliate links + link back to products.",20,300,$20-$300/mo,0,14-30 days,"CONTENT/medium_articles/ (4 articles); CONTENT/substack_posts/; LEDGER/buffer_import_*.csv (12 CSVs ready for Buffer upload); LEDGER/CONTENT_CALENDAR_30DAY.csv (1,008 posts mapped); CONTENT/social/REPLY_TEMPLATES_100.md","Create dev.to and HackerNoon accounts. Publish 3 articles: 'How I Built X with Vibe Coding', 'Top 10 AI Tools for Solopreneurs', 'Automating Content Distribution with Python'.",P2,NOT_STARTED,,dev.to has 1M+ monthly visitors. Canonical URL feature lets you cross-post without SEO penalties. HackerNoon editor review takes 1-3 days.,2026-03-13
domain,Expired Domain Flipping (Free Research),"Scan ExpiredDomains.net for domains with existing backlinks/DA. Register for $8-12, flip for $50-500. Target: .com domains with DA 10+, existing backlinks, brandable names in trending niches (AI, faith tech, fitness apps). Also: hand-register brandable names for $8-12 and list on Afternic/Sedo.",50,500,$50-$500/mo,0,30-90 days,Research is free. Registration costs $8-12 per domain.,"Browse ExpiredDomains.net for .com domains with DA 10+ in AI/faith/fitness niches. Register 2-3 best finds. List on Afternic, Sedo, and Dan.com.",P3,NOT_STARTED,Requires $8-12 per domain registration (not truly $0),"Domain flipping is a slower play but can hit big. Focus on AI-related names ('aiX.com' pattern) since AI domain prices are inflated right now. Brandable 2-word .coms sell for $200-2,000 on average.",2026-03-13
repo,Open Source Tool + GitHub Sponsors,"Build useful CLI tools or scripts, open-source them on GitHub. Add GitHub Sponsors. Our existing Python automations (auto_clip_pipeline, local_biz_pipeline, ecom_arb_scanner) could be packaged as open-source tools. Sponsors pay $5-100/mo. 50 sponsors at $5 = $250/mo.",0,250,$0-$250/mo,0,60-180 days,AUTOMATIONS/auto_clip_pipeline.py; AUTOMATIONS/local_biz_pipeline.py; AUTOMATIONS/ecom_arb_scanner.py,"Pick the most useful automation script. Clean it up. Create GitHub repo with good README, examples, and GitHub Sponsors enabled. Post to r/Python, HN.",P3,NOT_STARTED,Need clean public repo with good documentation,"Open source is a long game but builds reputation + backlinks + sponsors. The real monetization: open-source free version, sell premium features or hosted version. Dual-license model: MIT for personal use, commercial license for businesses.",2026-03-13
ai_music,AI Worship/Devotional Music (Faith Niche),Generate worship instrumentals and devotional ambient music. Faith music listeners are highly loyal and stream repeatedly. Cross-promote with PrayerLock app and faith newsletter.,10,200,$10-$200/mo,0,30-90 days,MONEY_METHODS/CONTENT_FARM/SLEEP_YOUTUBE/ (sleep channel kit built); PrayerLock PWA (cross-promo opportunity),"Generate 5 worship instrumentals on Suno. Title for SEO: 'Morning Prayer Piano', 'Evening Devotional Ambient', etc.",P3,NOT_STARTED,Need DistroKid account,"Synergy with faith content empire. Music links in newsletter, app, social posts. Worship music has extremely loyal repeat listeners.",2026-03-13
