alpha_id,source,source_url,category,tactic,roi_potential,priority,status,applicable_methods,applicable_niches,synergy_score,cross_sell_products,implementation_priority,engagement_authenticity,earnings_verified,extracted_method,compliance_notes,reviewer_notes,created_at
ALPHA801,Lemon8 lifestyle platform,https://blog.hootsuite.com/new-social-media-apps-platforms/,EMERGING_OPPORTUNITY,"Lemon8 by ByteDance (TikTok parent). Combines visual storytelling with long-form lifestyle content. Positioned between Instagram + Pinterest. Strong in lifestyle, fashion, beauty, home decor niches. Early growth phase 2025-2026.",MEDIUM,BACKLOG,PENDING_REVIEW,CONTENT_FARM|AFFILIATE_SITES,N002_fitness,70,Visual content → Affiliate → Products,BACKLOG,AUTHENTIC,UNVERIFIED,"Lemon8 = ByteDance platform (TikTok DNA). Visual + long-form lifestyle. Strong niches: fashion, beauty, home decor. Instagram/Pinterest hybrid. Early growth phase = low competition.","Mentioned in new platforms roundup. ByteDance confirmed.","BYTEDANCE PLATFORM: Lemon8 (visual + long-form lifestyle). Fashion/beauty/home decor sweet spot. Instagram/Pinterest positioning. Early growth 2025-2026 = opportunity window. ByteDance distribution potential.",2026-02-04
ALPHA802,YouTube 76% view growth 2025,https://sproutsocial.com/insights/social-media-trends/,PLATFORM_META,"YouTube views +76% and interactions +11% in 2025 (Sprout Social data). YouTube capturing streaming eyeballs in living room while holding creator culture influence. Still dominant for long-form + community building. Combined with Shorts = full funnel strategy.",HIGH,MEDIUM,PENDING_REVIEW,CONTENT_FARM|AI_INFLUENCER,N001_faith|N002_fitness|N003_tech,85,Shorts → Long-form → Memberships → Products,SOON,AUTHENTIC,VERIFIED,"YouTube +76% views 2025 (massive growth vs. other platforms). Living room streaming + creator culture = dual advantage. Shorts for discovery → long-form for revenue. Full funnel strategy = highest ROI.","Sprout Social 2025 data. Verified growth stats.","YOUTUBE DOMINANCE: +76% views +11% interactions 2025. Living room streaming capture. Strategy: Shorts = discovery funnel → Long-form = ad revenue + memberships → Products. Dual advantage: TV + creator culture.",2026-02-04
ALPHA803,Substack 5M paid subs,https://blog.hootsuite.com/new-social-media-apps-platforms/,EMERGING_OPPORTUNITY,"Substack: 5M people now pay to subscribe to writers (up from previous years). Platform for newsletters, podcasts, videos. Own audience (no algorithm middleman). Direct monetization. Notes feature = discovery network. Stacks with content from other platforms (repurpose Twitter threads → Substack → Newsletter).",HIGHEST,HIGH,PENDING_REVIEW,NEWSLETTER|CONTENT_FARM,N001_faith|N002_fitness|N003_tech,92,Social content → Substack → Paid subs → Products,NOW,AUTHENTIC,VERIFIED,"Substack = 5M paid subscribers across platform. No algorithm = direct audience ownership. Repurpose social content to newsletter. Notes = discovery. Stack: Twitter/X → Substack article → Newsletter → Paid tier → Products.","Verified 5M paid subs 2026 data.","NEWSLETTER GROWTH: 5M paid Substack subs. Own audience (no algorithm). Notes = discovery network. Cross-pollination: Social posts → Substack article → Newsletter → Paid subscriptions. Direct monetization + audience ownership.",2026-02-04
ALPHA804,FTC synthetic media enforcement,https://www.netinfluencer.com/global-creator-economy-regulation-what-is-scheduled-for-2026/,COMPLIANCE,"FTC expanding enforcement 2026: child-directed content, podcast ads, affiliate links, AI-generated endorsements. Higher penalties for violations. Brands + agencies equally liable (not just influencers). 2025 shift: brands must show due diligence even if not directly involved in content creation. Affiliate links + AI endorsements = new focus areas.",HIGHEST,NOW,PENDING_REVIEW,AI_INFLUENCER|AFFILIATE_SITES|CONTENT_FARM,N001_faith|N002_fitness|N003_tech,95,All AI content → Disclosure required,NOW,AUTHENTIC,VERIFIED,"FTC enforcement expanding 2026. AI-generated endorsements require disclosure. Brands + agencies liable (not just creators). Affiliate links = focus area. Child-directed content scrutiny. Podcast ads. Document due diligence.","FTC official 2026 enforcement priorities.","COMPLIANCE UPDATE: FTC targeting AI-generated endorsements, affiliate links, child content, podcast ads in 2026. Brands equally liable with creators (show due diligence). Higher penalties. AI content = mandatory disclosure. Document everything.",2026-02-04
ALPHA805,NY AI disclosure law June 2026,https://natlawreview.com/article/what-digital-marketers-need-know-about-new-yorks-new-ai-disclosure-law,COMPLIANCE,"New York S.8420-A effective June 9 2026: mandatory disclosure of 'synthetic performers' in advertising. AI-generated or AI-altered human likenesses must be clearly disclosed. Applies to advertisements distributed in NY. Penalties: $1K first offense, $5K subsequent. 'Conspicuous' disclosure required.",HIGHEST,NOW,PENDING_REVIEW,AI_INFLUENCER,N001_faith|N002_fitness|N003_tech,90,AI influencer content → Disclosure mandatory,NOW,AUTHENTIC,VERIFIED,"NY law June 9 2026: AI-generated/altered humans in ads = conspicuous disclosure required. $1K/$5K penalties. Applies to content distributed in NY (nationwide reach = compliance needed). Label synthetic performers clearly.","NY S.8420-A official law. June 9 2026 effective.","NY LAW JUNE 2026: Synthetic performer disclosure mandatory in ads (AI-generated/altered humans). Conspicuous label required. $1K first offense, $5K subsequent. Nationwide creators = comply (if NY distribution). Clear labeling = non-negotiable.",2026-02-04
ALPHA806,EU AI Act Aug 2 2026,https://www.ecija.com/en/news-and-insights/las-empresas-deberan-etiquetar-los-contenidos-generados-por-ia-a-partir-de-agosto-de-2026/,COMPLIANCE,"EU AI Act Article 50: Aug 2 2026 = all companies must label AI-generated audio, images, video, text in machine-readable format. Transparency obligations for AI systems. Applies to content created by AI (whether texts, images, audios, videos). Major compliance deadline for EU distribution.",HIGHEST,NOW,PENDING_REVIEW,AI_INFLUENCER|CONTENT_FARM,N001_faith|N002_fitness|N003_tech,92,AI content → EU distribution → Mandatory labels,NOW,AUTHENTIC,VERIFIED,"EU AI Act Aug 2 2026: All AI content (text, image, audio, video) = machine-readable labels mandatory. Applies to companies distributing in EU. Article 50 transparency obligations. Non-compliance = fines + account bans.","EU AI Act official. Article 50 Aug 2 2026 deadline.","EU COMPLIANCE: Aug 2 2026 = AI-generated content labels mandatory (machine-readable format). All media types (text, image, audio, video). Companies distributing in EU = compliance required. Article 50 transparency. Label everything.",2026-02-04
ALPHA807,Platform AI labeling Jan 19 2026,https://influencermarketinghub.com/ai-disclosure-rules/,COMPLIANCE,"YouTube, TikTok, Meta: Jan 19 2026 = creators must label realistic AI-generated media. YouTube 'Altered Content' setting. TikTok requires visible disclosure for synthetic people/events/voices. Meta disclosure for AI content. Consistent non-disclosure = YouTube Partner Program suspension. Platform-level enforcement starting.",HIGHEST,NOW,PENDING_REVIEW,AI_INFLUENCER|CONTENT_FARM,N001_faith|N002_fitness|N003_tech,94,AI content → Platform disclosure → Avoid suspension,NOW,AUTHENTIC,VERIFIED,"Jan 19 2026: YouTube, TikTok, Meta = AI disclosure mandatory. Realistic synthetic media must be labeled. YouTube: Partner Program suspension for repeat violations. TikTok: visible disclosure required. Meta: AI content flag. Comply or lose monetization.","Platform policies effective Jan 19 2026.","PLATFORM ENFORCEMENT: Jan 19 2026 = YouTube, TikTok, Meta require AI media labels. Realistic synthetic content = disclosure mandatory. YouTube Partner Program suspension for non-compliance. TikTok visible disclosure. Meta AI flag. Monetization at risk.",2026-02-04
ALPHA808,UK HFSS ad ban Jan 5 2026,https://www.netinfluencer.com/global-creator-economy-regulation-what-is-scheduled-for-2026/,COMPLIANCE,"UK Jan 5 2026: Ban on paid online advertising for 'less healthy' food/drink (high fat, sugar, salt HFSS products). Applies to paid digital advertising. Restricts HFSS advertising online. Food/beverage creators in UK = check HFSS classification before taking brand deals.",MEDIUM,SOON,PENDING_REVIEW,AFFILIATE_SITES|CONTENT_FARM,N002_fitness,70,Food/beverage content → UK compliance check,SOON,AUTHENTIC,VERIFIED,"UK Jan 5 2026: HFSS (high fat/sugar/salt) product ads banned online. Paid digital advertising restricted. Food/beverage creators = verify product classification before sponsorships. UK audience = compliance needed.","UK official law Jan 5 2026 effective.","UK FOOD AD BAN: Jan 5 2026 = HFSS (unhealthy food/drink) paid ads banned online. Digital advertising restricted. Food/beverage creators in UK = check product classification. Sponsorships = compliance risk.",2026-02-04
ALPHA809,South Korea AI ad labeling 2026,https://www.netinfluencer.com/global-creator-economy-regulation-what-is-scheduled-for-2026/,COMPLIANCE,"South Korea early 2026: Mandatory labeling for AI-generated advertising content. Ads created using AI must be clearly identified. Timeline: early 2026 (specific date TBD). Applies to advertising content specifically.",MEDIUM,SOON,PENDING_REVIEW,AI_INFLUENCER|PAID_ADS,N003_tech,75,AI-generated ads → Korea distribution → Label required,SOON,AUTHENTIC,VERIFIED,"South Korea early 2026: AI-generated ads = mandatory labels. Clear identification required. Specific date TBD (early 2026). Advertising content focus. Korea audience = compliance needed.","Official South Korea regulation early 2026.","KOREA COMPLIANCE: Early 2026 = AI-generated advertising must be labeled. Clear identification of AI content mandatory. Specific date pending. Advertising focus (not all content, just ads).",2026-02-04
ALPHA810,California AB853 AI disclosure Aug 2 2026,https://www.mayerbrown.com/en/insights/publications/2025/10/new-obligations-under-the-california-ai-transparency-act-and-companion-chatbot-law-add-to-the-compliance-list,COMPLIANCE,"California AB853: Deadline extended from Jan 1 2026 to Aug 2 2026. Covered providers must include latent + manifest disclosures in AI-generated content and make available AI-detection tool. California AI Transparency Act. Aug 2 2026 compliance deadline.",HIGHEST,NOW,PENDING_REVIEW,AI_INFLUENCER|CONTENT_FARM,N003_tech,88,AI content → California distribution → Disclosure + detection tool,NOW,AUTHENTIC,VERIFIED,"California AB853 Aug 2 2026: Latent + manifest AI disclosures required. AI-detection tool must be available. California AI Transparency Act. Nationwide creators = comply if California distribution (large audience likely).","Official California law. Aug 2 2026 deadline.","CALIFORNIA COMPLIANCE: AB853 Aug 2 2026 = latent + manifest AI disclosures required. Detection tool availability mandatory. Transparency Act. California distribution = compliance needed (most US creators affected).",2026-02-04
