meta_id,meta_name,category,velocity_score,coin_potential,product_potential,content_potential,time_window,pattern_match,evidence_summary
META044,Scott Galloway Big Tech Boycott,tech,8,3,5,10,weeks,"CONTROVERSY","'Resist and Unsubscribe' launched Feb 1 runs through Feb 28 2026. Targets: Amazon + Apple + Google + Microsoft + Netflix + Meta + Uber + X + OpenAI. First time AI company (OpenAI) grouped with big tech in organized action. 7 tech companies = 33% of S&P 500 market cap. Galloway: NYU professor + 4.6M podcast audience. Global tech backlash: France banned US tech for officials. UpScrolled surging on censorship fears. Content: boycott analysis + alternative tools guides + engagement farming on anti-tech sentiment. TIME-SENSITIVE: Feb only."
META045,Base Chain Memecoin Micro-Economy,crypto,7,7,5,7,months,"NOVEL","$585M combined market cap across ~330 meme tokens on Base. Brett (BRETT) at $173M market cap = unofficial Base mascot. Toshi (TOSHI) at $142M. Ponke +90% in 7 days. Low fees + quick swaps + strong social distribution from Coinbase ecosystem. Base = on-ramp for retail. Product: Base memecoin tracker + analytics dashboard. Content: Base ecosystem explainers + token alpha."
META046,n8n AI Workflow Automation,tech,8,2,9,9,months,"TOOL_ARB","$180M Series C at $2.5B valuation. Investors: Accel + Nvidia Ventures. 173.1K GitHub stars. 500+ app integrations + 1700+ templates. Open source = no vendor lock-in. 5267 AI automation workflows shared by community. AI agent orchestration becoming mainstream use case. Competing with Zapier AI + Make. Product: n8n template marketplace + AI workflow consulting + automation course. Content: workflow tutorials + n8n vs Zapier comparisons + 'automate X in 10 minutes' content."
META047,Perplexity Comet Browser Disruption,AI,8,3,7,9,months,"TOOL_ARB","Millions on waitlist before free launch Oct 2025. 780M queries/month May 2025 with 20%+ MoM growth. Projected 1.2-1.5B monthly queries by mid-2026. Comet browser = AI-native browsing. Background assistant for Max ($200/mo) users. CEO targeting tens to hundreds of millions of users in 2026. First real Chrome competitor with AI-first architecture. Product: Perplexity workflow guides + browser extension tools. Content: Comet vs Chrome comparisons + AI search tutorials + productivity content."
META048,Manus AI Meta Acquisition Drama,AI,7,4,5,9,months,"CONTROVERSY","Meta acquiring Manus for $2-3B (Dec 2025). Chinese regulatory review in Jan 2026 = national security concerns. Originally went viral March 2025: 138K Discord members in days + invite codes selling for thousands. First general AI agent claim. Browser automation + programmatic SEO + workflow automation in 2026. China reviewing if AI tech falls under export controls. Content: US-China AI competition analysis + autonomous agent comparisons + acquisition drama content."
META049,ElevenLabs Voice AI Economy,AI,8,3,9,9,months,"TOOL_ARB","$330M ARR. $500M raised at $11B valuation Feb 4 2026. 29-language auto-dubbing. Voice cloning for podcasts + courses + content. Mr. Nightmare style AI narration channels hitting 29M views per video. Faceless YouTube channels using AI narration = 30% of viral content. 2026 Mandatory Disclosure Policy requires AI content labeling. Product: AI voiceover agency + voice template marketplace + course on AI narration channels. Content: voice cloning demos + faceless channel tutorials + AI disclosure guides."
META050,Social Media Trial Legal Wave,tech,7,2,4,10,weeks,"CONTROVERSY","Blockbuster social media trial began Jan 27 2026 in LA Superior Court. Meta + YouTube + TikTok accused of design choices harming youth. Mark Zuckerberg + Adam Mosseri ordered to testify. Multiple countries banning young people from social platforms. France banned US tech for public officials. UpScrolled surging as censorship-fear alternative. Content: trial coverage + platform alternatives + digital wellness for teens. Engagement farming: polarized audience = high comment velocity."
META051,GPT-5.2 Model Retirement Cycle,AI,7,2,5,8,weeks,"TOOL_ARB","Feb 13 2026: GPT-4o + GPT-4.1 + o4-mini + GPT-5 Instant/Thinking all being retired from ChatGPT. GPT-5.2 Thinking Extended level restored after accidental reduction. o3-pro = most reliable reasoning model. Rapid deprecation cycle creating migration urgency. Product: model migration guides + API comparison tools + enterprise consulting. Content: which model to use guides + deprecation impact analysis + cost optimization content. TIME-SENSITIVE: Feb 13 retirement date."
META052,AI Video + Audio Sync Breakthrough,AI,8,2,8,9,months,"TOOL_ARB","Sora 2 synchronized dialogue + sound effects. Runway Gen-4.5 cinematic physics + fabric textures. Kling competing in image-to-video. Google Veo in the mix. Full HD 1080p standard output. Professional production quality reached. Sundance 2026 = legitimacy milestone for AI film. Product: AI video production templates + SFX library + AI cinematography course. Content: AI film reviews + production tutorials + 'made entirely by AI' showcase content."
META053,TRUMP Memecoin Political Crypto,crypto,7,6,4,9,months,"CONTROVERSY","$5.37B market cap at peak = largest Solana memecoin. Dinner controversy: top 220 holders invited to Trump golf club. Elizabeth Warren called it 'orgy of corruption'. DOJ investigation demanded by Dems. Token at ~$5.13 in Dec 2025 after volatile year ($3.80 low to $9.50 high). Constitutional concerns about foreign access. Content: political crypto analysis + memecoin risk content + governance debate. Coin: high-risk but tracks political cycle closely."
