keyword_id,method_id,keyword,search_volume,competition,content_type,priority,target_url,status
KW051,MM007,apollo vs zoominfo alternative,medium,medium,comparison,MEDIUM,/truth/lead-data-tools,PENDING
KW052,MM007,cold email reply rate benchmarks,low,low,blog,MEDIUM,/truth/reply-benchmarks,PENDING
KW053,MM007,email domain warmup best practices,medium,low,blog,HIGH,/truth/domain-warmup,PENDING
KW054,MM007,cold outreach sequence examples,medium,medium,blog,HIGH,/truth/outreach-sequences,PENDING
KW055,MM007,how to avoid spam folder cold email,medium,medium,blog,HIGH,/truth/avoid-spam,PENDING
KW056,MM007,dedicated sending domain setup,low,low,blog,MEDIUM,/truth/sending-domain,PENDING
KW057,MM007,cold email compliance gdpr can-spam,low,low,blog,MEDIUM,/truth/email-compliance,PENDING
KW058,MM007,linkedin connection request templates,medium,medium,blog,MEDIUM,/truth/linkedin-templates,PENDING
KW059,MM007,cold email subject line testing,medium,medium,blog,MEDIUM,/truth/subject-line-testing,PENDING
KW060,MM007,email deliverability monitoring tools,low,low,blog,MEDIUM,/truth/deliverability-tools,PENDING
KW061,MM009,how to create ai influencer,low,very_low,blog,HIGHEST,/truth/ai-influencer-guide,PENDING
KW062,MM009,ai influencer monetization,low,very_low,blog,HIGHEST,/truth/ai-influencer-monetize,PENDING
KW063,MM009,virtual influencer marketing,medium,low,blog,HIGH,/truth/virtual-influencer,PENDING
KW064,MM009,ai generated persona content,low,very_low,blog,HIGH,/truth/ai-persona-content,PENDING
KW065,MM009,ftc compliance ai content 2026,low,very_low,blog,HIGHEST,/truth/compliance-for-affiliate-ai-influencer-content-ftc-safe,PENDING
KW066,MM009,ai influencer tools heygen d-id,low,low,comparison,HIGH,/truth/ai-influencer-tools,PENDING
KW067,MM009,ai asmr content creation,low,very_low,blog,MEDIUM,/truth/ai-asmr,PENDING
KW068,MM009,fitness influencer ai persona,low,very_low,blog,MEDIUM,/truth/ai-fitness-persona,PENDING
KW069,MM009,ai influencer disclosure requirements,low,very_low,blog,HIGH,/truth/ai-disclosure,PENDING
KW070,MM009,ai ugc creator business model,low,very_low,blog,HIGH,/truth/ai-ugc-business,PENDING
KW071,MM009,how to make money with ai avatars,low,low,blog,HIGH,/truth/ai-avatar-money,PENDING
KW072,MM009,virtual model agency,low,low,blog,MEDIUM,/truth/virtual-model-agency,PENDING
KW073,MM009,ai influencer platform comparison,low,very_low,comparison,HIGH,/truth/ai-platform-compare,PENDING
KW074,MM009,ai generated social media content,medium,medium,blog,MEDIUM,/truth/ai-social-content,PENDING
KW075,MM009,ai personality creation guide,low,very_low,blog,HIGH,/truth/ai-personality,PENDING
KW076,MM009,how to scale ai personas,low,very_low,blog,MEDIUM,/truth/scale-ai-personas,PENDING
KW077,MM009,ai influencer ethics and law,low,very_low,blog,HIGH,/truth/ai-influencer-ethics,PENDING
KW078,MM009,deepfake disclosure rules 2026,low,very_low,blog,MEDIUM,/truth/deepfake-rules,PENDING
KW079,MM009,ai content creator income,low,very_low,blog,MEDIUM,/truth/ai-creator-income,PENDING
KW080,MM009,faceless ai influencer strategy,low,very_low,blog,HIGH,/truth/faceless-ai-strategy,PENDING
KW081,MM015,how to start a newsletter 2026,high,high,blog,HIGH,/truth/start-newsletter,PENDING
KW082,MM015,beehiiv newsletter setup guide,medium,medium,blog,HIGH,/truth/beehiiv-setup,PENDING
KW083,MM015,newsletter monetization strategies,medium,medium,blog,HIGH,/truth/newsletter-monetize,PENDING
KW084,MM015,beehiiv vs substack comparison,medium,medium,comparison,HIGH,/truth/beehiiv-vs-substack,PENDING
KW085,MM015,newsletter growth tactics 2026,medium,low,blog,HIGH,/truth/newsletter-growth,PENDING
KW086,MM015,faith newsletter ideas,low,very_low,blog,HIGHEST,/truth/faith-newsletter,PENDING
KW087,MM015,fitness newsletter content ideas,low,low,blog,HIGH,/truth/fitness-newsletter,PENDING
KW088,MM015,newsletter sponsorship rates 2026,low,low,blog,MEDIUM,/truth/newsletter-sponsors,PENDING
KW089,MM015,email list building strategies,high,high,blog,MEDIUM,/truth/email-list-building,PENDING
KW090,MM015,newsletter referral program setup,low,low,blog,MEDIUM,/truth/referral-program,PENDING
KW091,MM015,newsletter welcome sequence,medium,low,blog,HIGH,/truth/welcome-sequence,PENDING
KW092,MM015,paid newsletter strategy,medium,medium,blog,MEDIUM,/truth/paid-newsletter,PENDING
KW093,MM015,newsletter lead magnets that work,medium,medium,blog,HIGH,/truth/newsletter-magnets,PENDING
KW094,MM015,newsletter content calendar template,low,low,blog,MEDIUM,/truth/newsletter-calendar,PENDING
KW095,MM015,how to get 1000 newsletter subscribers,medium,medium,blog,HIGH,/truth/first-1000-subs,PENDING
KW096,MM015,morning newsletter format,low,very_low,blog,HIGH,/truth/morning-newsletter,PENDING
KW097,MM015,newsletter ad network comparison,low,low,comparison,MEDIUM,/truth/newsletter-ads,PENDING
KW098,MM015,automated newsletter workflow,low,low,blog,MEDIUM,/truth/auto-newsletter,PENDING
KW099,MM015,newsletter niche selection guide,low,low,blog,HIGH,/truth/newsletter-niche,PENDING
KW100,MM015,beehiiv boost program guide,low,very_low,blog,MEDIUM,/truth/beehiiv-boost,PENDING
KW101,MM024,notion template business 2026,medium,medium,blog,HIGH,/truth/notion-template-biz,PENDING
KW102,MM024,how to sell digital products,high,high,blog,MEDIUM,/truth/sell-digital-products,PENDING
KW103,MM024,gumroad selling guide,medium,medium,blog,HIGH,/truth/gumroad-guide,PENDING
KW104,MM024,best notion templates to sell,medium,medium,blog,HIGH,/truth/notion-templates-sell,PENDING
KW105,MM024,digital product ideas 2026,medium,medium,blog,HIGH,/truth/digital-product-ideas,PENDING
KW106,MM024,notion template pricing strategy,low,low,blog,HIGH,/truth/template-pricing,PENDING
KW107,MM024,etsy digital products guide,medium,medium,blog,MEDIUM,/truth/etsy-digital,PENDING
KW108,MM024,canva template business,medium,medium,blog,MEDIUM,/truth/canva-templates,PENDING
KW109,MM024,faith digital products ideas,low,very_low,blog,HIGHEST,/truth/faith-digital-products,PENDING
KW110,MM024,fitness digital products,low,low,blog,HIGH,/truth/fitness-digital,PENDING
KW111,MM024,how to create notion template,medium,medium,blog,MEDIUM,/truth/create-notion-template,PENDING
KW112,MM024,digital product launch checklist,low,low,blog,HIGH,/truth/product-launch-checklist,PENDING
KW113,MM024,gumroad vs lemonsqueezy,low,low,comparison,MEDIUM,/truth/gumroad-vs-lemon,PENDING
KW114,MM024,passive income digital products,high,high,blog,LOW,/truth/passive-digital,PENDING
KW115,MM024,printable planner business,medium,medium,blog,MEDIUM,/truth/planner-business,PENDING
KW116,MM024,digital product marketing strategy,medium,medium,blog,MEDIUM,/truth/digital-marketing-strategy,PENDING
KW117,MM024,lead magnet ideas that convert,medium,medium,blog,HIGH,/truth/lead-magnet-factory-3-month-experimentation-system,PENDING
KW118,MM024,ebook creation workflow ai,low,low,blog,MEDIUM,/truth/ebook-ai-workflow,PENDING
KW119,MM024,sell templates on twitter,low,very_low,blog,HIGH,/truth/sell-templates-twitter,PENDING
KW120,MM024,digital product niche research,low,low,blog,HIGH,/truth/dp-niche-research,PENDING
