repo_name,url,stars,description,printmaxx_use_case,reusable_patterns
appcypher/awesome-mcp-servers,https://github.com/appcypher/awesome-mcp-servers,5100,Awesome MCP Servers - A curated list of Model Context Protocol servers.,Alternative MCP directory with different curation.,MCP categorization; server patterns
wong2/awesome-mcp-servers,https://github.com/wong2/awesome-mcp-servers,3400,A curated list of Model Context Protocol (MCP) servers.,Third MCP list for cross-reference and discovery.,MCP server discovery patterns
AmoyLab/Unla,https://github.com/AmoyLab/Unla,2000,MCP Gateway - A lightweight gateway service that transforms existing MCP Servers and APIs into MCP servers with zero code.,API to MCP converter! Turn any API into MCP server instantly.,API-to-MCP patterns; gateway architecture; zero-code conversion
chatmcp/mcpso,https://github.com/chatmcp/mcpso,2000,Directory for Awesome MCP Servers with searchable web interface.,Searchable MCP directory. Reference for building our own tool directory.,Directory UI patterns; MCP search
ruvnet/claude-flow,https://github.com/ruvnet/claude-flow,12900,"The leading agent orchestration platform for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows.",Multi-agent orchestration for complex tasks. Scale ralph loops with swarms.,Multi-agent patterns; swarm coordination; workflow orchestration
Upsonic/Upsonic,https://github.com/Upsonic/Upsonic,7800,Agent Framework For Fintech and Banks. Production-ready with MCP support.,Enterprise agent patterns. Reliability patterns for production.,MCP integration; reliability patterns; fintech compliance
griptape-ai/griptape,https://github.com/griptape-ai/griptape,2500,Modular Python framework for AI agents and workflows with chain-of-thought reasoning tools and memory.,Python agent framework with memory. Good for complex research loops.,Chain-of-thought; memory patterns; tool composition
MiroMindAI/MiroFlow,https://github.com/MiroMindAI/MiroFlow,2300,"Agent framework that enables tool-use agent tasks, featuring a reproducible GAIA score of 82.4%.",High-accuracy agent framework. Benchmark patterns for reliability.,GAIA benchmark; reproducibility; tool-use patterns
sdi2200262/agentic-project-management,https://github.com/sdi2200262/agentic-project-management,1900,Framework for managing complex projects with AI assistants through structured multi-agent workflows.,Project management with AI. Relevant for managing PRINTMAXX ops.,Multi-agent project management; structured workflows
AgentEra/Agently,https://github.com/AgentEra/Agently,1500,GenAI Application Development Framework - Build GenAI application quick and easy.,Rapid agent app building. Good for quick prototypes.,Rapid development; GenAI patterns; easy integration
parruda/swarm,https://github.com/parruda/swarm,1600,"Ruby gems for general-purpose AI agent systems: automation, research, data processing, content creation.",Ruby agent gems. Content creation automation is directly relevant.,Ruby patterns; content automation; research agents
cgoinglove/better-chatbot,https://github.com/cgoinglove/better-chatbot,992,Just a Better Chatbot. Powered by Agent & MCP & Workflows.,Agent + MCP + Workflows combo. Good reference architecture.,Agent-MCP integration; workflow UI patterns
wesammustafa/Claude-Code-Everything-You-Need-to-Know,https://github.com/wesammustafa/Claude-Code-Everything-You-Need-to-Know,763,"The ultimate all-in-one guide to mastering Claude Code. From setup, prompt engineering, commands, hooks, workflows, automation.",Comprehensive guide. Good for training and reference.,Documentation patterns; onboarding; setup guides
jbexta/AgentPilot,https://github.com/jbexta/AgentPilot,527,"Versatile workflow automation platform to create, organize, and execute AI workflows.",Workflow automation GUI. Reference for building visual workflow editor.,Visual workflow; GUI patterns; workflow organization
makafeli/n8n-workflow-builder,https://github.com/makafeli/n8n-workflow-builder,472,AI assistant integration for n8n workflow automation through MCP. Connect Claude Desktop and ChatGPT.,n8n + Claude MCP integration! Direct integration for our automation stack.,n8n integration; MCP bridge; workflow automation
BerriAI/litellm,https://github.com/BerriAI/litellm,34500,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI format, with cost tracking and guardrails.",Proxy for all LLMs. Use for cost optimization and model routing.,Model routing; cost tracking; API proxy patterns
AgentOps-AI/agentops,https://github.com/AgentOps-AI/agentops,5200,"Python SDK for AI agent monitoring, LLM cost tracking, benchmarking. Integrates with most LLMs.",Monitor agent costs and performance. Essential for overnight builds.,Cost tracking; monitoring; benchmarking patterns
strands-agents/sdk-python,https://github.com/strands-agents/sdk-python,4900,A model-driven approach to building AI agents in just a few lines of code.,Simple agent building. Good for quick prototypes and testing.,Minimal agent patterns; rapid prototyping
anthropics/anthropic-sdk-python,https://github.com/anthropics/anthropic-sdk-python,2700,Official Anthropic Python SDK.,Official SDK reference. Use as base for all Claude integrations.,Official patterns; API best practices
e2b-dev/code-interpreter,https://github.com/e2b-dev/code-interpreter,2200,Python & JS/TS SDK for running AI-generated code/code interpreting in your AI app.,Sandbox for running generated code safely. Essential for code generation.,Code sandboxing; safe execution; interpreter patterns
e2b-dev/open-computer-use,https://github.com/e2b-dev/open-computer-use,1800,AI computer use powered by open source LLMs and E2B Desktop Sandbox.,Computer use in sandbox. Safe browser automation pattern.,Computer use; sandbox patterns; browser automation
deedy/mac_computer_use,https://github.com/deedy/mac_computer_use,831,Fork of Anthropic Computer Use for Mac - give Claude autonomous access to your computer.,Mac computer use. Direct automation on macOS for PRINTMAXX ops.,Mac automation; computer use; autonomous control
CodeUpdaterBot/ClickUi,https://github.com/CodeUpdaterBot/ClickUi,414,The best way to use AI on your own computer. Local or paid API models with ctrl+k hotkey.,Local AI with hotkeys. Good UX pattern for quick access.,Hotkey patterns; local AI; quick access UI
LLmHub-dev/open-computer-use,https://github.com/LLmHub-dev/open-computer-use,300,"Open Framework for autonomous virtual computer agents at scale, fully open-source.",Scaled computer agents. Pattern for running many browser sessions.,Scaled automation; virtual computers; agent swarms
disler/big-3-super-agent,https://github.com/disler/big-3-super-agent,295,Gemini 2.5 Computer Use + OpenAI Realtime API + Claude Code Multi-Agent Experiment.,Multi-model agent experiment. Use best model for each task.,Multi-model routing; best-model selection; agent composition
OneWave-AI/claude-skills,https://github.com/OneWave-AI/claude-skills,27,100 Production-Ready Claude Code Skills - comprehensive collection for sales business automation and content creation.,100 production skills! Sales and content creation directly relevant.,Production skills; sales automation; content creation
toki-plus/ai-mixed-cut,https://github.com/toki-plus/ai-mixed-cut,22,AI video content creation engine with deconstruction-reconstruction mode. AIGC video generation with FFmpeg.,AI video generation. Relevant for Remotion alternative or complement.,Video generation; FFmpeg patterns; content automation
christancho/Blogging-with-N8N,https://github.com/christancho/Blogging-with-N8N,20,AI-Powered Blog Automation Suite - Complete N8N workflow for automated content creation and SEO.,Blog automation with n8n. Directly relevant for content farm.,Blog automation; SEO workflow; n8n patterns
aminblm/linkedin-engagement-assistant,https://github.com/aminblm/linkedin-engagement-assistant,18,Boost Your LinkedIn Game with Revolutionary Automation Features: Likes Comments and More.,LinkedIn automation. Relevant for cold outbound and social presence.,LinkedIn automation; engagement patterns; social automation
Forgemind-git/Gmail-automation,https://github.com/Forgemind-git/Gmail-automation,9,Automates Gmail tasks using n8n and Gemini for bulk emails. Perfect for solopreneurs.,Gmail + n8n + Gemini for bulk email. Relevant for cold outreach.,Email automation; n8n patterns; bulk email
liyupi/ai-guide,https://github.com/liyupi/ai-guide,5000,"AI resources: Vibe Coding, model selection guide (DeepSeek/GPT/Gemini/Claude), prompts, RAG/MCP/A2A.",Comprehensive AI resource guide. Good for learning and reference.,Resource curation; model selection; learning patterns
